id,meeting_id,parent_id,position,title,description,linked_policy_id,linked_objective_id,time_allocated,created_at,updated_at
4e7fa7f7-34a2-4589-8f97-7ef3e1fbafc6,3bcc68bd-7d9d-433a-8888-d2905a8a74ed,,1,Assessment Alignment #3,Review supporting documents.,,,60,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
3020c413-c2a4-4d37-8cb0-d531a21ef5b8,3bcc68bd-7d9d-433a-8888-d2905a8a74ed,,2,Assessment Alignment #4,Public comment period included.,,,15,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
28d6c972-300c-4ec4-9008-1e74e6b7c98c,3bcc68bd-7d9d-433a-8888-d2905a8a74ed,4e7fa7f7-34a2-4589-8f97-7ef3e1fbafc6,3,Old Business #6,Discussion led by chair.,,,45,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
bf359c1a-ee1d-42e3-919e-c7697805079c,3bcc68bd-7d9d-433a-8888-d2905a8a74ed,,4,New Business #4,Discussion led by chair.,,,45,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
1b6e3af0-f247-4cf7-8a5b-f3aad59ec457,3bcc68bd-7d9d-433a-8888-d2905a8a74ed,4e7fa7f7-34a2-4589-8f97-7ef3e1fbafc6,5,Community Input #5,Review supporting documents.,,,30,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
93968e06-782d-46d1-898b-e8e7973c1c84,3bcc68bd-7d9d-433a-8888-d2905a8a74ed,,6,Program Update #3,Review supporting documents.,,,45,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
124c3565-8b4b-482e-a7fa-da66fe8fc753,3bcc68bd-7d9d-433a-8888-d2905a8a74ed,4e7fa7f7-34a2-4589-8f97-7ef3e1fbafc6,7,Assessment Alignment #5,Public comment period included.,,,10,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
95909f6e-a11b-460d-97ef-c66a52e7e8b6,e09507d3-ab49-40b3-8013-9d96299f33bb,,1,Opening Remarks #1,Public comment period included.,,,30,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
3ca43ee6-e3d7-43a9-bfdd-d619e4a1c02e,e09507d3-ab49-40b3-8013-9d96299f33bb,,2,Community Input #6,Public comment period included.,,,5,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
b046fe3b-e392-43cf-abbe-ab8542bb50e4,e09507d3-ab49-40b3-8013-9d96299f33bb,95909f6e-a11b-460d-97ef-c66a52e7e8b6,3,Program Update #5,,,,15,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
cbe3dd20-0787-4fea-8cf7-f56799181a37,e09507d3-ab49-40b3-8013-9d96299f33bb,,4,Old Business #6,,,,5,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
04cdcb40-2ac2-415d-b9a8-575faa2f1489,e09507d3-ab49-40b3-8013-9d96299f33bb,,5,Opening Remarks #6,Discussion led by chair.,,,15,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
c718a2d6-c555-40fc-bd39-9b7ae64896b9,e09507d3-ab49-40b3-8013-9d96299f33bb,,6,New Business #2,Public comment period included.,,,30,2025-09-05T17:34:24.338505+00:00,2025-09-05T17:34:24.338505+00:00
