section_name,course_name,term_name,section_number,name,weight
English 9 | Fall Semester 2025 | Section 001,English 9,Fall Semester 2025,001,Homework,40.00
English 9 | Fall Semester 2025 | Section 001,English 9,Fall Semester 2025,001,Quizzes,30.00
English 9 | Fall Semester 2025 | Section 001,English 9,Fall Semester 2025,001,Final Exam,30.00
English 10 | Fall Semester 2025 | Section 001,English 10,Fall Semester 2025,001,Homework,40.00
English 10 | Fall Semester 2025 | Section 001,English 10,Fall Semester 2025,001,Quizzes,30.00
English 10 | Fall Semester 2025 | Section 001,English 10,Fall Semester 2025,001,Final Exam,30.00
English 11 | Fall Semester 2025 | Section 001,English 11,Fall Semester 2025,001,Homework,40.00
English 11 | Fall Semester 2025 | Section 001,English 11,Fall Semester 2025,001,Quizzes,30.00
English 11 | Fall Semester 2025 | Section 001,English 11,Fall Semester 2025,001,Final Exam,30.00
English 12 | Fall Semester 2025 | Section 001,English 12,Fall Semester 2025,001,Homework,40.00
English 12 | Fall Semester 2025 | Section 001,English 12,Fall Semester 2025,001,Quizzes,30.00
English 12 | Fall Semester 2025 | Section 001,English 12,Fall Semester 2025,001,Final Exam,30.00
Literature | Fall Semester 2025 | Section 001,Literature,Fall Semester 2025,001,Homework,40.00
Literature | Fall Semester 2025 | Section 001,Literature,Fall Semester 2025,001,Quizzes,30.00
Literature | Fall Semester 2025 | Section 001,Literature,Fall Semester 2025,001,Final Exam,30.00
Writing/Composition | Fall Semester 2025 | Section 001,Writing/Composition,Fall Semester 2025,001,Homework,40.00
Writing/Composition | Fall Semester 2025 | Section 001,Writing/Composition,Fall Semester 2025,001,Quizzes,30.00
Writing/Composition | Fall Semester 2025 | Section 001,Writing/Composition,Fall Semester 2025,001,Final Exam,30.00
Journalism | Fall Semester 2025 | Section 001,Journalism,Fall Semester 2025,001,Homework,40.00
Journalism | Fall Semester 2025 | Section 001,Journalism,Fall Semester 2025,001,Quizzes,30.00
Journalism | Fall Semester 2025 | Section 001,Journalism,Fall Semester 2025,001,Final Exam,30.00
Speech/Communications | Fall Semester 2025 | Section 001,Speech/Communications,Fall Semester 2025,001,Homework,40.00
Speech/Communications | Fall Semester 2025 | Section 001,Speech/Communications,Fall Semester 2025,001,Quizzes,30.00
Speech/Communications | Fall Semester 2025 | Section 001,Speech/Communications,Fall Semester 2025,001,Final Exam,30.00
Reading | Fall Semester 2025 | Section 001,Reading,Fall Semester 2025,001,Homework,40.00
Reading | Fall Semester 2025 | Section 001,Reading,Fall Semester 2025,001,Quizzes,30.00
Reading | Fall Semester 2025 | Section 001,Reading,Fall Semester 2025,001,Final Exam,30.00
Math 6 | Fall Semester 2025 | Section 001,Math 6,Fall Semester 2025,001,Homework,40.00
Math 6 | Fall Semester 2025 | Section 001,Math 6,Fall Semester 2025,001,Quizzes,30.00
Math 6 | Fall Semester 2025 | Section 001,Math 6,Fall Semester 2025,001,Final Exam,30.00
Pre-Algebra | Fall Semester 2025 | Section 001,Pre-Algebra,Fall Semester 2025,001,Homework,40.00
Pre-Algebra | Fall Semester 2025 | Section 001,Pre-Algebra,Fall Semester 2025,001,Quizzes,30.00
Pre-Algebra | Fall Semester 2025 | Section 001,Pre-Algebra,Fall Semester 2025,001,Final Exam,30.00
Algebra I | Fall Semester 2025 | Section 001,Algebra I,Fall Semester 2025,001,Homework,40.00
Algebra I | Fall Semester 2025 | Section 001,Algebra I,Fall Semester 2025,001,Quizzes,30.00
Algebra I | Fall Semester 2025 | Section 001,Algebra I,Fall Semester 2025,001,Final Exam,30.00
Geometry | Fall Semester 2025 | Section 001,Geometry,Fall Semester 2025,001,Homework,40.00
Geometry | Fall Semester 2025 | Section 001,Geometry,Fall Semester 2025,001,Quizzes,30.00
Geometry | Fall Semester 2025 | Section 001,Geometry,Fall Semester 2025,001,Final Exam,30.00
Algebra II | Fall Semester 2025 | Section 001,Algebra II,Fall Semester 2025,001,Homework,40.00
Algebra II | Fall Semester 2025 | Section 001,Algebra II,Fall Semester 2025,001,Quizzes,30.00
Algebra II | Fall Semester 2025 | Section 001,Algebra II,Fall Semester 2025,001,Final Exam,30.00
Precalculus | Fall Semester 2025 | Section 001,Precalculus,Fall Semester 2025,001,Homework,40.00
Precalculus | Fall Semester 2025 | Section 001,Precalculus,Fall Semester 2025,001,Quizzes,30.00
Precalculus | Fall Semester 2025 | Section 001,Precalculus,Fall Semester 2025,001,Final Exam,30.00
Calculus | Fall Semester 2025 | Section 001,Calculus,Fall Semester 2025,001,Homework,40.00
Calculus | Fall Semester 2025 | Section 001,Calculus,Fall Semester 2025,001,Quizzes,30.00
Calculus | Fall Semester 2025 | Section 001,Calculus,Fall Semester 2025,001,Final Exam,30.00
Statistics | Fall Semester 2025 | Section 001,Statistics,Fall Semester 2025,001,Homework,40.00
Statistics | Fall Semester 2025 | Section 001,Statistics,Fall Semester 2025,001,Quizzes,30.00
Statistics | Fall Semester 2025 | Section 001,Statistics,Fall Semester 2025,001,Final Exam,30.00
Earth Science | Fall Semester 2025 | Section 001,Earth Science,Fall Semester 2025,001,Homework,40.00
