course_name,term_name,section_number,section_name,category_name,name,due_date,points_possible
English 9,Fall Semester 2025,001,English 9 | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
English 9,Fall Semester 2025,001,English 9 | Fall Semester 2025 | Section 001,,Midterm,,100
English 9,Fall Semester 2025,001,English 9 | Fall Semester 2025 | Section 001,,Final,,100
English 10,Fall Semester 2025,001,English 10 | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
English 10,Fall Semester 2025,001,English 10 | Fall Semester 2025 | Section 001,,Midterm,,100
English 10,Fall Semester 2025,001,English 10 | Fall Semester 2025 | Section 001,,Final,,100
English 11,Fall Semester 2025,001,English 11 | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
English 11,Fall Semester 2025,001,English 11 | Fall Semester 2025 | Section 001,,Midterm,,100
English 11,Fall Semester 2025,001,English 11 | Fall Semester 2025 | Section 001,,Final,,100
English 12,Fall Semester 2025,001,English 12 | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
English 12,Fall Semester 2025,001,English 12 | Fall Semester 2025 | Section 001,,Midterm,,100
English 12,Fall Semester 2025,001,English 12 | Fall Semester 2025 | Section 001,,Final,,100
Literature,Fall Semester 2025,001,Literature | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Literature,Fall Semester 2025,001,Literature | Fall Semester 2025 | Section 001,,Midterm,,100
Literature,Fall Semester 2025,001,Literature | Fall Semester 2025 | Section 001,,Final,,100
Writing/Composition,Fall Semester 2025,001,Writing/Composition | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Writing/Composition,Fall Semester 2025,001,Writing/Composition | Fall Semester 2025 | Section 001,,Midterm,,100
Writing/Composition,Fall Semester 2025,001,Writing/Composition | Fall Semester 2025 | Section 001,,Final,,100
Journalism,Fall Semester 2025,001,Journalism | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Journalism,Fall Semester 2025,001,Journalism | Fall Semester 2025 | Section 001,,Midterm,,100
Journalism,Fall Semester 2025,001,Journalism | Fall Semester 2025 | Section 001,,Final,,100
Speech/Communications,Fall Semester 2025,001,Speech/Communications | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Speech/Communications,Fall Semester 2025,001,Speech/Communications | Fall Semester 2025 | Section 001,,Midterm,,100
Speech/Communications,Fall Semester 2025,001,Speech/Communications | Fall Semester 2025 | Section 001,,Final,,100
Reading,Fall Semester 2025,001,Reading | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Reading,Fall Semester 2025,001,Reading | Fall Semester 2025 | Section 001,,Midterm,,100
Reading,Fall Semester 2025,001,Reading | Fall Semester 2025 | Section 001,,Final,,100
Math 6,Fall Semester 2025,001,Math 6 | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Math 6,Fall Semester 2025,001,Math 6 | Fall Semester 2025 | Section 001,,Midterm,,100
Math 6,Fall Semester 2025,001,Math 6 | Fall Semester 2025 | Section 001,,Final,,100
Pre-Algebra,Fall Semester 2025,001,Pre-Algebra | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Pre-Algebra,Fall Semester 2025,001,Pre-Algebra | Fall Semester 2025 | Section 001,,Midterm,,100
Pre-Algebra,Fall Semester 2025,001,Pre-Algebra | Fall Semester 2025 | Section 001,,Final,,100
Algebra I,Fall Semester 2025,001,Algebra I | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Algebra I,Fall Semester 2025,001,Algebra I | Fall Semester 2025 | Section 001,,Midterm,,100
Algebra I,Fall Semester 2025,001,Algebra I | Fall Semester 2025 | Section 001,,Final,,100
Geometry,Fall Semester 2025,001,Geometry | Fall Semester 2025 | Section 001,,Syllabus Quiz,,10
Geometry,Fall Semester 2025,001,Geometry | Fall Semester 2025 | Section 001,,Midterm,,100
