id,student_id,intervention,start_date,end_date,created_at,updated_at
bbc738df-cd8c-4126-ac47-50cee8822b4d,5b3a6cc6-895c-4df3-aaa3-1c4688986916,Small-group counseling,2025-05-05,2025-05-22,2025-09-05T17:34:23.566155+00:00,2025-09-05T17:34:23.566155+00:00
2a59bf0f-3b4c-4130-86be-065503c112d6,cc920ed3-341b-495c-bbbb-05c505d9a04c,Check-in/Check-out (CICO),2025-05-30,,2025-09-05T17:34:23.566210+00:00,2025-09-05T17:34:23.566210+00:00
e884b759-0578-465d-aba5-054941fbbee4,b8177dd1-8c7d-4370-8e54-db2ecf25e5a7,Small-group counseling,2025-03-27,2025-05-15,2025-09-05T17:34:23.566231+00:00,2025-09-05T17:34:23.566231+00:00
8ea432dd-f3fc-4463-9460-6303041079fe,b8177dd1-8c7d-4370-8e54-db2ecf25e5a7,Daily behavior report card,2025-01-17,2025-01-30,2025-09-05T17:34:23.566249+00:00,2025-09-05T17:34:23.566249+00:00
a1d3897f-b1d2-42d6-829c-63457c19f8e0,c151150b-a12c-41a0-a43f-8357bc1e8c20,Social skills coaching,2025-04-25,2025-06-23,2025-09-05T17:34:23.566267+00:00,2025-09-05T17:34:23.566267+00:00
cc5b6b8f-7197-450e-b178-07a8ca15ad65,5497bab3-8c03-4960-b086-0852fffb6d0d,Social skills coaching,2025-01-09,2025-02-24,2025-09-05T17:34:23.566284+00:00,2025-09-05T17:34:23.566284+00:00
f5840571-8ad9-4b7a-b150-09cefad2674f,544e394a-b65c-499d-8919-81dfbd6eb6f7,Parent/guardian meeting,2025-08-02,,2025-09-05T17:34:23.566300+00:00,2025-09-05T17:34:23.566300+00:00
3e831b8c-b43f-49fc-9c9c-be519a8509cc,6122ff63-dbfd-40f4-81ee-e93f9190d653,Scheduled movement breaks,2025-05-08,,2025-09-05T17:34:23.566315+00:00,2025-09-05T17:34:23.566315+00:00
fa1ce94b-29f3-4a45-a025-7908546a313b,f788999c-6132-45da-85eb-827d975d8814,Preferential seating,2025-03-23,2025-05-20,2025-09-05T17:34:23.566331+00:00,2025-09-05T17:34:23.566331+00:00
e273f11d-bf54-4627-a838-b187a11b3eb6,a47736c6-6639-44c6-bfaf-f722b7f4ad20,Individual counseling,2025-03-25,,2025-09-05T17:34:23.566346+00:00,2025-09-05T17:34:23.566346+00:00
4f3c64c0-7994-49a3-a328-4c53a9b30724,130bac8c-248c-4f46-ad42-c4854bd2e630,Small-group counseling,2025-04-22,2025-05-16,2025-09-05T17:34:23.566363+00:00,2025-09-05T17:34:23.566363+00:00
07ddd70c-efb5-438e-9497-014ec4951b35,1faa09eb-9b75-42a4-8573-529fcb02c2b1,Check-in/Check-out (CICO),2025-01-04,2025-03-04,2025-09-05T17:34:23.566380+00:00,2025-09-05T17:34:23.566380+00:00
88acb64b-5e0c-4b57-9efd-a327e138d492,ad95ed1a-62c5-47e7-96d7-ea9f02f301a0,Goal setting & self-monitoring,2025-06-24,2025-07-02,2025-09-05T17:34:23.566397+00:00,2025-09-05T17:34:23.566397+00:00
6e88696d-15fd-42ac-b3bb-ce5166ac5759,8d32e9de-90b8-47c2-8220-e49110eeb2fa,Restorative conference,2025-04-14,2025-04-23,2025-09-05T17:34:23.566414+00:00,2025-09-05T17:34:23.566414+00:00
e33dbac6-2451-4db9-805c-10ae6826ab1f,a9299f20-a26d-4f77-8e7b-b79df3b0305a,Restorative conference,2025-02-09,2025-03-02,2025-09-05T17:34:23.566430+00:00,2025-09-05T17:34:23.566430+00:00
2f85874d-8e8d-4642-b421-b983c54b9513,2943f113-0386-4947-8c41-8e16aca00798,Behavior intervention plan (BIP),2025-01-25,2025-03-16,2025-09-05T17:34:23.566448+00:00,2025-09-05T17:34:23.566448+00:00
9582672e-24ab-4921-9fe8-d98276ce653a,cc920ed3-341b-495c-bbbb-05c505d9a04c,Behavior intervention plan (BIP),2025-02-19,2025-03-04,2025-09-05T17:34:23.566464+00:00,2025-09-05T17:34:23.566464+00:00
9fe615d9-47f7-474d-9948-4ed483f965cb,81c62899-b0e4-4cf7-8d93-6bf550ab66d3,Daily behavior report card,2025-05-26,,2025-09-05T17:34:23.566480+00:00,2025-09-05T17:34:23.566480+00:00
b4892c15-073b-49c3-bd66-1746134b10cd,ef75f5d1-0189-455a-ae54-9f3cb07ebda6,Behavior contract,2025-07-14,,2025-09-05T17:34:23.566494+00:00,2025-09-05T17:34:23.566494+00:00
d2c72aa9-2574-4807-8289-068553152b5a,130bac8c-248c-4f46-ad42-c4854bd2e630,Functional behavior assessment (FBA),2025-02-21,2025-04-09,2025-09-05T17:34:23.566511+00:00,2025-09-05T17:34:23.566511+00:00
620ddda2-804f-43ee-943e-123f74623445,ad95ed1a-62c5-47e7-96d7-ea9f02f301a0,Behavior contract,2025-03-13,2025-04-03,2025-09-05T17:34:23.566528+00:00,2025-09-05T17:34:23.566528+00:00
d99158e5-a49f-4ed3-9439-ec2e20d3c9f4,9a19f3e4-370c-425f-b5f3-9f509eba2d16,Social skills coaching,2025-08-07,,2025-09-05T17:34:23.566543+00:00,2025-09-05T17:34:23.566543+00:00
0c9136f8-e640-4138-97d3-70f6bd0a89f8,130bac8c-248c-4f46-ad42-c4854bd2e630,Functional behavior assessment (FBA),2025-01-15,,2025-09-05T17:34:23.566557+00:00,2025-09-05T17:34:23.566557+00:00
a7147cf8-9290-4391-babc-64dcd9286906,dcb16f9b-cb82-4e94-8d3a-98576662a525,Functional behavior assessment (FBA),2025-01-06,2025-02-21,2025-09-05T17:34:23.566573+00:00,2025-09-05T17:34:23.566573+00:00
92277731-f8db-40db-8e6a-04870dacb45d,a47736c6-6639-44c6-bfaf-f722b7f4ad20,Parent/guardian meeting,2025-01-29,,2025-09-05T17:34:23.566588+00:00,2025-09-05T17:34:23.566588+00:00
8761eb04-2b2d-468a-b353-be28413fbfde,5d8813cf-6b4b-4b4e-b1d5-0d9d6e1c5474,Scheduled movement breaks,2025-06-24,,2025-09-05T17:34:23.566603+00:00,2025-09-05T17:34:23.566603+00:00
ef6ec772-4721-4cc8-8999-ef8bf575aa16,5b3a6cc6-895c-4df3-aaa3-1c4688986916,Preferential seating,2025-06-09,,2025-09-05T17:34:23.566618+00:00,2025-09-05T17:34:23.566618+00:00
3611dee0-9d72-4ea3-9a8a-af53e5eed775,544e394a-b65c-499d-8919-81dfbd6eb6f7,Individual counseling,2025-07-12,2025-08-30,2025-09-05T17:34:23.566634+00:00,2025-09-05T17:34:23.566634+00:00
8a61d857-d7fb-4f0f-8178-570c8b98e6a9,544e394a-b65c-499d-8919-81dfbd6eb6f7,Preferential seating,2025-02-11,2025-02-24,2025-09-05T17:34:23.566651+00:00,2025-09-05T17:34:23.566651+00:00
7ee886f5-9012-40ef-a8e8-afde9de2908c,dcb16f9b-cb82-4e94-8d3a-98576662a525,Check-in/Check-out (CICO),2025-04-09,2025-05-04,2025-09-05T17:34:23.566667+00:00,2025-09-05T17:34:23.566667+00:00
d2976932-3674-4c26-bd9e-f67b7e092058,2931ba3c-91c3-4887-8b89-4d7e2769b177,PBIS Tier 2 supports,2025-01-20,2025-03-09,2025-09-05T17:34:23.566683+00:00,2025-09-05T17:34:23.566683+00:00
f16cb302-d221-4e81-b8be-2c9b1ff45907,ad95ed1a-62c5-47e7-96d7-ea9f02f301a0,Goal setting & self-monitoring,2025-03-24,2025-04-25,2025-09-05T17:34:23.566700+00:00,2025-09-05T17:34:23.566700+00:00
7027632b-7754-47fa-806e-72b72a360f17,c151150b-a12c-41a0-a43f-8357bc1e8c20,Restorative conference,2025-02-21,2025-04-06,2025-09-05T17:34:23.566716+00:00,2025-09-05T17:34:23.566716+00:00
56dad8df-fdda-4d19-9e96-fb964836ce04,5b3a6cc6-895c-4df3-aaa3-1c4688986916,Individual counseling,2025-08-02,2025-09-05,2025-09-05T17:34:23.566732+00:00,2025-09-05T17:34:23.566732+00:00
72b15ae5-093a-4c89-b4d2-401f5562354e,6ace31c2-2761-4594-bf27-05741275c293,Mentoring,2025-05-07,,2025-09-05T17:34:23.566747+00:00,2025-09-05T17:34:23.566747+00:00
6b7d20fb-12fc-4c96-be00-ce8b07d0fd4a,4a75ce3b-6df4-45f2-9cc9-397ca40e4c6e,Check-in/Check-out (CICO),2025-06-22,2025-07-23,2025-09-05T17:34:23.566763+00:00,2025-09-05T17:34:23.566763+00:00
9eb603ae-7c36-4cf8-8464-b4991f63ed67,ee9634bf-b92f-4093-89ba-fe9f20ed2adb,Social skills coaching,2025-03-16,2025-03-31,2025-09-05T17:34:23.566779+00:00,2025-09-05T17:34:23.566779+00:00
0fe087b0-58a5-45c4-a26b-c96dce47d28a,891a7e69-73c7-4f9f-b38a-6bf90053de9c,Social skills coaching,2025-06-10,,2025-09-05T17:34:23.566795+00:00,2025-09-05T17:34:23.566795+00:00
535ea69c-661b-492d-9e5e-b6d4b5a42175,5fdd5c1a-1196-4433-ab63-622cec4994a7,Behavior intervention plan (BIP),2025-08-02,,2025-09-05T17:34:23.566809+00:00,2025-09-05T17:34:23.566809+00:00
ae6ab174-8113-4b9e-99fb-db2293c8fca8,4a75ce3b-6df4-45f2-9cc9-397ca40e4c6e,Functional behavior assessment (FBA),2025-03-10,,2025-09-05T17:34:23.566824+00:00,2025-09-05T17:34:23.566824+00:00
e8182326-f039-4802-aaf7-0e65fbad366e,2943f113-0386-4947-8c41-8e16aca00798,Social skills coaching,2025-03-13,,2025-09-05T17:34:23.566840+00:00,2025-09-05T17:34:23.566840+00:00
ed70c78c-2c15-4e63-849f-ae8221d36f7d,ae1ea90c-f0eb-4eec-8074-aa59762e34c7,Functional behavior assessment (FBA),2025-08-21,,2025-09-05T17:34:23.566855+00:00,2025-09-05T17:34:23.566855+00:00
d88c5f3b-de87-4234-abc0-48648f3b3013,544e394a-b65c-499d-8919-81dfbd6eb6f7,Behavior contract,2025-08-07,,2025-09-05T17:34:23.566870+00:00,2025-09-05T17:34:23.566870+00:00
0088bd1f-fc05-4713-8ed2-6e2c28ddc8a5,aab6fa5c-ceb8-4cbd-8af5-fc3989b4ef4e,Individual counseling,2025-04-14,2025-04-29,2025-09-05T17:34:23.566886+00:00,2025-09-05T17:34:23.566886+00:00
642fc64d-0342-409a-8404-4d3b249cbb14,739d9103-c19c-4bd6-9885-8ca94d530ec1,Social skills coaching,2025-07-29,2025-08-09,2025-09-05T17:34:23.566903+00:00,2025-09-05T17:34:23.566903+00:00
718b9eda-0a56-4a19-ba3d-248ee0368bd0,aaf386f3-6ac7-41fe-9ed6-a083ff6e405b,Check-in/Check-out (CICO),2025-02-18,,2025-09-05T17:34:23.566918+00:00,2025-09-05T17:34:23.566918+00:00
bd946ce3-164e-4d90-96e6-7ef2f2ce7df1,5d8813cf-6b4b-4b4e-b1d5-0d9d6e1c5474,Functional behavior assessment (FBA),2024-12-24,2025-01-10,2025-09-05T17:34:23.566934+00:00,2025-09-05T17:34:23.566934+00:00
a204796c-eb9c-4355-b84a-c90e1203e138,ae1ea90c-f0eb-4eec-8074-aa59762e34c7,Mentoring,2025-05-08,2025-06-16,2025-09-05T17:34:23.566950+00:00,2025-09-05T17:34:23.566950+00:00
135cd97f-0f10-4818-97e9-f7d512611286,a47736c6-6639-44c6-bfaf-f722b7f4ad20,Functional behavior assessment (FBA),2025-05-12,,2025-09-05T17:34:23.566965+00:00,2025-09-05T17:34:23.566965+00:00
712acd06-e08a-4a77-a155-c37cf516f62c,5d8813cf-6b4b-4b4e-b1d5-0d9d6e1c5474,Individual counseling,2025-07-18,2025-08-28,2025-09-05T17:34:23.566981+00:00,2025-09-05T17:34:23.566981+00:00
c291a5d0-13c0-442f-b4f6-07508076c5f2,5adbbd09-5b39-4bc3-9bf5-ace96a75ff95,Daily behavior report card,2025-02-25,,2025-09-05T17:34:23.566996+00:00,2025-09-05T17:34:23.566996+00:00
992145d1-a0a1-4610-a37d-63fd725f3356,5b3a6cc6-895c-4df3-aaa3-1c4688986916,Daily behavior report card,2024-12-18,,2025-09-05T17:34:23.567010+00:00,2025-09-05T17:34:23.567010+00:00
f0026e25-33eb-4f11-a4e5-94702e14ec19,f788999c-6132-45da-85eb-827d975d8814,Preferential seating,2025-08-05,,2025-09-05T17:34:23.567024+00:00,2025-09-05T17:34:23.567024+00:00
