school_name,name,created_at,updated_at
Dallas Center Elementary,Late Start,2024-10-30T09:53:25Z,2024-12-05T16:45:25Z
Dallas Center Elementary,Finals Day B,2024-10-01T14:27:25Z,2025-01-07T18:14:25Z
Dallas Center Elementary,Assembly,2025-07-18T03:08:25Z,2025-08-23T11:24:25Z
Dallas Center-Grimes High School,Early Release,2025-01-30T01:26:25Z,2025-05-29T21:13:25Z
Dallas Center-Grimes High School,Late Start,2024-12-18T00:36:25Z,2025-04-15T11:48:25Z
Dallas Center-Grimes High School,Finals Day A,2024-10-26T11:05:25Z,2025-01-07T13:07:25Z
Dallas Center-Grimes Middle School,Regular Day,2024-09-10T03:08:25Z,2024-12-29T22:45:25Z
Dallas Center-Grimes Middle School,Finals Day B,2025-03-22T02:41:25Z,2025-05-20T11:55:25Z
DC-G Oak View,Regular Day,2024-10-13T10:13:25Z,2024-11-26T21:13:25Z
DC-G Oak View,Finals Day A,2025-01-16T19:17:25Z,2025-02-04T07:33:25Z
DC-G Oak View,Early Release,2024-09-11T17:45:25Z,2024-11-12T16:35:25Z
Heritage Elementary,Finals Day A,2025-06-02T02:13:25Z,2025-08-01T17:05:25Z
Heritage Elementary,Late Start,2024-12-23T06:18:25Z,2025-03-04T08:21:25Z
Heritage Elementary,Regular Day,2025-01-02T05:21:25Z,2025-02-09T10:30:25Z
North Ridge Elementary,Late Start,2025-01-31T15:33:25Z,2025-04-12T02:09:25Z
North Ridge Elementary,Finals Day A,2025-03-20T23:24:25Z,2025-06-10T21:33:25Z
South Prairie Elementary,Finals Day B,2025-08-11T05:07:25Z,2025-08-22T15:05:25Z
South Prairie Elementary,Late Start,2024-09-17T09:56:25Z,2024-12-06T10:14:25Z
