course_name,term_name,section_number,capacity,school_name
English 9,Fall Semester 2025,001,30,Dallas Center Elementary
English 10,Fall Semester 2025,001,30,Dallas Center Elementary
English 11,Fall Semester 2025,001,30,Dallas Center Elementary
English 12,Fall Semester 2025,001,30,Dallas Center Elementary
Literature,Fall Semester 2025,001,30,Dallas Center Elementary
Writing/Composition,Fall Semester 2025,001,30,Dallas Center Elementary
Journalism,Fall Semester 2025,001,30,Dallas Center Elementary
Speech/Communications,Fall Semester 2025,001,30,Dallas Center Elementary
Reading,Fall Semester 2025,001,30,Dallas Center Elementary
Math 6,Fall Semester 2025,001,30,Dallas Center Elementary
Pre-Algebra,Fall Semester 2025,001,30,Dallas Center Elementary
Algebra I,Fall Semester 2025,001,30,Dallas Center Elementary
Geometry,Fall Semester 2025,001,30,Dallas Center Elementary
Algebra II,Fall Semester 2025,001,30,Dallas Center Elementary
Precalculus,Fall Semester 2025,001,30,Dallas Center Elementary
Calculus,Fall Semester 2025,001,30,Dallas Center Elementary
Statistics,Fall Semester 2025,001,30,Dallas Center Elementary
Earth Science,Fall Semester 2025,001,30,Dallas Center Elementary
Physical Science,Fall Semester 2025,001,30,Dallas Center Elementary
Biology,Fall Semester 2025,001,30,Dallas Center Elementary
Chemistry,Fall Semester 2025,001,30,Dallas Center Elementary
Physics,Fall Semester 2025,001,30,Dallas Center Elementary
Environmental Science,Fall Semester 2025,001,30,Dallas Center Elementary
Anatomy & Physiology,Fall Semester 2025,001,30,Dallas Center Elementary
World History,Fall Semester 2025,001,30,Dallas Center Elementary
U.S. History,Fall Semester 2025,001,30,Dallas Center Elementary
Government/Civics,Fall Semester 2025,001,30,Dallas Center Elementary
Economics,Fall Semester 2025,001,30,Dallas Center Elementary
Geography,Fall Semester 2025,001,30,Dallas Center Elementary
Psychology,Fall Semester 2025,001,30,Dallas Center Elementary
Sociology,Fall Semester 2025,001,30,Dallas Center Elementary
Spanish I,Fall Semester 2025,001,30,Dallas Center Elementary
Spanish II,Fall Semester 2025,001,30,Dallas Center Elementary
French I,Fall Semester 2025,001,30,Dallas Center Elementary
French II,Fall Semester 2025,001,30,Dallas Center Elementary
German I,Fall Semester 2025,001,30,Dallas Center Elementary
German II,Fall Semester 2025,001,30,Dallas Center Elementary
Art I,Fall Semester 2025,001,30,Dallas Center Elementary
Art II,Fall Semester 2025,001,30,Dallas Center Elementary
Drawing,Fall Semester 2025,001,30,Dallas Center Elementary
Painting,Fall Semester 2025,001,30,Dallas Center Elementary
Sculpture,Fall Semester 2025,001,30,Dallas Center Elementary
Digital Art,Fall Semester 2025,001,30,Dallas Center Elementary
Band,Fall Semester 2025,001,30,Dallas Center Elementary
Choir,Fall Semester 2025,001,30,Dallas Center Elementary
Orchestra,Fall Semester 2025,001,30,Dallas Center Elementary
Jazz Band,Fall Semester 2025,001,30,Dallas Center Elementary
Music Theory,Fall Semester 2025,001,30,Dallas Center Elementary
PE 9,Fall Semester 2025,001,30,Dallas Center Elementary
PE 10,Fall Semester 2025,001,30,Dallas Center Elementary
Weight Training,Fall Semester 2025,001,30,Dallas Center Elementary
Lifetime Fitness,Fall Semester 2025,001,30,Dallas Center Elementary
Health,Fall Semester 2025,001,30,Dallas Center Elementary
