document_title,filename,version_no,checksum,created_by_email,created_at,published_at
Finance Training Report,finance_training_report_v1.txt,1,282859a9aea16d0f7ae7218fbd6ea0a7215520b1,,2025-02-19T00:36:47Z,
Finance Training Report,finance_training_report_v2.md,2,d9915f521feeeb9195516fb1f1d467877f263f6c,,2024-10-31T13:24:47Z,2024-11-22T13:24:47Z
Safety HVAC Outline,safety_hvac_outline_v1.docx,1,e94ad20a5409d4980d850f9027393ae12857f420,,2024-12-04T08:45:47Z,
Maintenance Custodial Form,maintenance_custodial_form_v1.docx,1,26f63156bb4a1751b22d99ebdb97a69457758dee,,2025-07-08T18:24:47Z,
Maintenance Custodial Form,maintenance_custodial_form_v2.md,2,ad45f6dca04a40302260cf740591defcc75a2f3b,,2024-12-30T13:03:47Z,
Maintenance Custodial Form,maintenance_custodial_form_v3.txt,3,66e1cad2cfd74702a3d9aee49b01a608f853e7e4,,2025-01-17T05:26:47Z,
Procurement Budget Summary,procurement_budget_summary_v1.pptx,1,19740baf47b135d89f60a6ffdfd4675d7a446357,,2024-12-23T18:35:47Z,2025-01-05T18:35:47Z
Procurement Budget Summary,procurement_budget_summary_v2.xlsx,2,8d243a4354cf82c4a4b4cb0c620af288774d9c5b,,2025-05-16T21:28:47Z,2025-05-29T21:28:47Z
Procurement Budget Summary,procurement_budget_summary_v3.xlsx,3,1466699449e7dc05f2a548527d65454853bfd158,,2025-02-12T20:33:47Z,2025-02-20T20:33:47Z
IT Inventory Memo,it_inventory_memo_v1.pdf,1,02c903177a24a65becab20bbb93f9bea12f8a4b2,,2024-10-23T04:35:47Z,
IT Inventory Memo,it_inventory_memo_v2.md,2,5c774443b2cb3c016577779950e70c298642986e,,2025-03-19T22:37:47Z,
IT Inventory Memo,it_inventory_memo_v3.txt,3,bdec2c968a52bb529d5bad469cfd514078dda066,,2025-05-21T00:32:47Z,2025-06-18T00:32:47Z
Safety Compliance Procedure,safety_compliance_procedure_v1.xlsx,1,46d7263cefa3aebbee55df095d72f02c2c6d0ab9,,2024-12-06T15:48:47Z,2024-12-15T15:48:47Z
Transport Custodial SOP,transport_custodial_sop_v1.md,1,8808a883ecf7ff6c57c0767bb4b4a7ea27159e64,,2025-06-04T17:52:47Z,2025-06-08T17:52:47Z
Admin Security Form,admin_security_form_v1.pptx,1,f961c9a376bf6a0741c61f05c08445e56675580d,,2025-07-04T10:36:47Z,2025-07-31T10:36:47Z
Finance Custodial Procedure,finance_custodial_procedure_v1.pdf,1,9df5eec0b72c6407fc998d2224995ca4fe9ab726,,2025-02-18T04:25:47Z,
Finance Custodial Procedure,finance_custodial_procedure_v2.xlsx,2,bee71f45efd4d8dade85fb5d0b3dc48419336cda,,2025-03-09T22:12:47Z,2025-04-06T22:12:47Z
Facilities Inventory Form,facilities_inventory_form_v1.txt,1,0c1426bb341d3d6001ca93885fa03ba00da921f6,,2025-03-25T00:41:47Z,
Facilities Inventory Form,facilities_inventory_form_v2.md,2,ad5b3e40ecec747b67055fe890bc3ba5eae4acda,,2025-05-31T07:21:47Z,2025-06-01T07:21:47Z
Procurement Vendors Policy,procurement_vendors_policy_v1.md,1,747c2c616bff9d649919a5d88122bf64daf290c0,,2025-04-10T00:17:47Z,
Procurement Vendors Policy,procurement_vendors_policy_v2.txt,2,c7a215f2881b4cb25d1ed620e911098efe8947de,,2025-06-29T11:02:47Z,
Procurement Vendors Policy,procurement_vendors_policy_v3.xlsx,3,9ccf0a1f57ae244dde7b04ac69a66250ef65e2c8,,2024-09-13T12:52:47Z,
Maintenance Budget Notice,maintenance_budget_notice_v1.xlsx,1,3815ecba3f3668f0b7efee73dfc9530b73402d0d,,2025-03-16T21:53:47Z,
Maintenance Budget Notice,maintenance_budget_notice_v2.pdf,2,776ddee6cdd0c084cd4f8906b6d4536acef3418e,,2025-03-27T13:57:47Z,
HR Emergency Procedure,hr_emergency_procedure_v1.docx,1,3be62fd7a30baec51d5e7d85fb16426591d3639f,,2025-03-20T19:01:47Z,
HR Emergency Procedure,hr_emergency_procedure_v2.pptx,2,fd9e1dc610a4a0611d94958b5ca2fed7cbd6957e,,2024-10-18T03:29:47Z,2024-11-17T03:29:47Z
HR Emergency Procedure,hr_emergency_procedure_v3.pptx,3,119142f2271830bf44059d05683eae068f694dff,,2025-06-09T03:31:47Z,2025-07-01T03:31:47Z
Athletics Training Procedure,athletics_training_procedure_v1.md,1,f4cfef1cd8fa52ae373f25edaa43e2b846d48890,,2025-07-07T21:03:47Z,
