id,school_id,activity_id,title,summary,starts_at,ends_at,venue,status,attributes,created_at,updated_at
18a5ed70-d7bb-4d98-84c8-20feb05b612e,07e53f0e-5e7d-4bbc-959d-4c22e6b04530,df73b7fe-e82f-441d-8592-df92b98e866d,Science Fair 2025,Public meeting—agenda to be published.,2025-09-13T15:40:24.453585+00:00,2025-09-13T16:45:24.453585+00:00,Cafeteria,published,"{""featured"": false, ""color"": ""purple"", ""tags"": [""academics"", ""students"", ""family""]}",2025-09-05T17:34:24.453620+00:00,2025-09-05T17:34:24.453620+00:00
368be43d-ead6-4256-ac6b-89a56937665c,07e53f0e-5e7d-4bbc-959d-4c22e6b04530,8e53bd7c-5e47-4297-9d27-5652a8bd7c94,Math Olympiad – Evening,Public meeting—agenda to be published.,2025-10-03T15:38:24.453678+00:00,2025-10-03T18:54:24.453678+00:00,Library,draft,"{""featured"": false, ""color"": ""red"", ""tags"": [""family"", ""sports""]}",2025-09-05T17:34:24.453697+00:00,2025-09-05T17:34:24.453697+00:00
ff0c3a12-dfe8-4546-ac80-29d006ae7e15,f8d14dee-9788-4690-9a8f-00c54b1dc122,df73b7fe-e82f-441d-8592-df92b98e866d,Science Fair,Join us for an evening of learning and celebration.,2025-12-20T06:28:24.453730+00:00,2025-12-20T10:19:24.453730+00:00,Main Auditorium,published,,2025-09-05T17:34:24.453741+00:00,2025-09-05T17:34:24.453741+00:00
5bb7471f-ac69-4989-ac36-81566b4e3866,bf90c016-a579-44c2-aeda-728162af45ae,8e53bd7c-5e47-4297-9d27-5652a8bd7c94,Science Fair 2025,Join us for an evening of learning and celebration.,2025-12-29T02:08:24.453764+00:00,2025-12-29T04:00:24.453764+00:00,Main Auditorium,cancelled,"{""featured"": false, ""color"": ""blue"", ""tags"": [""family"", ""students""]}",2025-09-05T17:34:24.453778+00:00,2025-09-05T17:34:24.453778+00:00
c25be91c-8dc1-4eb8-81ec-cfa6a6ec47c5,9648ac8b-7b56-4ffe-bf30-ae930fbc9ae8,4ffb8e1d-d88d-4ebe-a734-35360fc153d4,Open House – Community,Public meeting—agenda to be published.,2025-10-29T13:52:24.453807+00:00,2025-10-29T17:37:24.453807+00:00,Community Hall,draft,,2025-09-05T17:34:24.453816+00:00,2025-09-05T17:34:24.453816+00:00
a356b79c-a1ab-4a71-a5b0-d3a5dff8469f,6f727dfe-30c3-49db-af13-908138c4454f,,STEM Expo (K-8),Join us for an evening of learning and celebration.,2025-12-28T20:08:24.453837+00:00,2025-12-28T23:36:24.453837+00:00,Community Hall,published,"{""featured"": true, ""color"": ""orange"", ""tags"": [""students"", ""family"", ""community""]}",2025-09-05T17:34:24.453852+00:00,2025-09-05T17:34:24.453852+00:00
ad96a18d-033d-4bf7-be64-34b24e049ed0,bf90c016-a579-44c2-aeda-728162af45ae,57d06388-1385-4311-a44c-34b008994339,Choir Concert – Community,Information session with Q&A.,2025-08-30T13:56:24.453880+00:00,,Main Auditorium,draft,"{""featured"": false, ""color"": ""green"", ""tags"": [""academics"", ""community""]}",2025-09-05T17:34:24.453893+00:00,2025-09-05T17:34:24.453893+00:00
82b2b5b4-b155-4aee-973d-9413641360d0,f8d14dee-9788-4690-9a8f-00c54b1dc122,,Drama Club Performance (K-8),Student-led event featuring exhibitions and performances.,2025-10-12T05:40:24.453922+00:00,2025-10-12T09:18:24.453922+00:00,,published,,2025-09-05T17:34:24.453934+00:00,2025-09-05T17:34:24.453934+00:00
cab034cb-f0c8-4a62-ba34-748796587176,f8d14dee-9788-4690-9a8f-00c54b1dc122,,Athletics Awards & Info Session,Public meeting—agenda to be published.,2025-07-09T10:23:24.453958+00:00,2025-07-09T13:15:24.453958+00:00,Cafeteria,published,"{""featured"": false, ""color"": ""blue"", ""tags"": [""family"", ""staff""]}",2025-09-05T17:34:24.453973+00:00,2025-09-05T17:34:24.453973+00:00
7ad48611-b697-49ba-9bab-68b56ef8e49b,07e53f0e-5e7d-4bbc-959d-4c22e6b04530,df73b7fe-e82f-441d-8592-df92b98e866d,Board Meeting – Evening,Student-led event featuring exhibitions and performances.,2025-08-30T07:08:24.454000+00:00,,Cafeteria,published,"{""featured"": true, ""color"": ""red"", ""tags"": [""music"", ""family"", ""students""]}",2025-09-05T17:34:24.454013+00:00,2025-09-05T17:34:24.454013+00:00
