storage_key,filename,size,mime_type,created_by_email,created_at,updated_at
uploads/2025/08/f89acf23f81a45bf9209069063fb2d2b_Athletics_Policy_d284cb.json,Athletics_Policy_d284cb.json,1897423,application/json,,2025-05-09T17:07:25Z,2025-08-07T08:09:17Z
uploads/2025/08/1bceba437acc468391aa8911090f676b_Procurement_Report_18a3fe.json,Procurement_Report_18a3fe.json,1246186,application/json,,2025-08-04T06:06:38Z,2025-05-07T23:33:33Z
uploads/2025/08/80176eec2d324bf5b8d3676d2b3a08b4_Operations_Plan_2f6485.json,Operations_Plan_2f6485.json,7357026,application/json,,2025-08-22T20:11:23Z,2024-11-09T00:28:11Z
uploads/2025/08/a874c8c5e25e4d13b90d573ffb84b60b_Safety_Plan_8f12d1.docx,Safety_Plan_8f12d1.docx,4121533,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2024-11-10T20:46:57Z,2024-11-26T01:51:15Z
uploads/2025/08/26f9eae2b92a452fb8ff7c8275406627_Athletics_Outline_342e40.png,Athletics_Outline_342e40.png,4998045,image/png,,2025-06-27T07:14:02Z,2025-05-14T12:44:17Z
uploads/2025/08/c29a7658098a4af8b7b6e1a2f44b8285_Operations_Memo_091adc.json,Operations_Memo_091adc.json,6354242,application/json,,2025-04-18T09:08:38Z,2024-11-30T00:20:14Z
uploads/2025/08/80c214ed7e28462e968c7ca4b0f73197_IT_Summary_406af8.xlsx,IT_Summary_406af8.xlsx,4709625,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,2025-04-21T14:08:49Z,2024-09-01T17:37:18Z
uploads/2025/08/3e0a0b51ef07443c8c47dd1b346fa41f_Finance_Checklist_8cfd43.docx,Finance_Checklist_8cfd43.docx,1254277,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2024-09-20T15:18:04Z,2025-08-05T20:21:12Z
uploads/2025/08/97bebcee3fda46359b3a79af04a49d25_Facilities_Policy_16d73e.md,Facilities_Policy_16d73e.md,6829005,text/markdown,,2024-10-13T11:03:17Z,2024-11-18T05:44:41Z
uploads/2025/08/e1fbfafad2ca4f3db532ed8c20f1ccca_Procurement_Guide_9dcc7c.docx,Procurement_Guide_9dcc7c.docx,2398833,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2025-02-27T08:21:34Z,2025-07-10T05:39:09Z
uploads/2025/08/e19731b4c0fe498bb939d8c5d10bf2d5_Admin_Policy_8c2379.json,Admin_Policy_8c2379.json,70637,application/json,,2025-03-10T21:47:10Z,2024-12-17T06:22:34Z
uploads/2025/08/0e7105542398433a876babe99ccc40ec_Finance_Summary_ed150f.pdf,Finance_Summary_ed150f.pdf,6221665,application/pdf,,2025-06-15T16:13:09Z,2024-10-04T10:29:34Z
uploads/2025/08/14ff946849bb450ba4b778b0cc886213_HR_Outline_a0a6d1.txt,HR_Outline_a0a6d1.txt,3488850,text/plain,,2025-02-01T15:15:35Z,2025-06-25T03:22:00Z
uploads/2025/08/e816aa34d3c14ae2af8fdbc87ab39a89_Maintenance_Plan_99a668.docx,Maintenance_Plan_99a668.docx,1843853,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2024-11-21T03:16:18Z,2024-12-22T07:09:57Z
uploads/2025/08/bdbe965e2fd94be28154a51fd4702ece_HR_Notice_035455.jpg,HR_Notice_035455.jpg,6635059,image/jpeg,,2024-09-03T23:08:18Z,2024-11-14T13:05:47Z
uploads/2025/08/a47fda8b365b40a28cacf4a6aadcaaad_Finance_Memo_cc7408.png,Finance_Memo_cc7408.png,1009413,image/png,,2025-07-28T03:20:32Z,2025-03-01T16:55:10Z
uploads/2025/08/e091256795ab44f3b0aa43470bd303e1_Operations_Report_02dba0.jpg,Operations_Report_02dba0.jpg,1614807,image/jpeg,,2024-10-12T15:53:21Z,2025-05-14T14:41:05Z
uploads/2025/08/a877e92bc85b4058ae7574ba57c3fec8_Maintenance_SOP_911550.xlsx,Maintenance_SOP_911550.xlsx,4022326,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,2024-12-27T19:38:12Z,2025-06-07T10:24:51Z
uploads/2025/08/3742a86048fc423c819e8f4c088b7627_Facilities_Checklist_e20e07.txt,Facilities_Checklist_e20e07.txt,6521653,text/plain,,2024-10-24T00:28:36Z,2025-01-05T01:59:00Z
uploads/2025/08/2bac7a8920c445eaae1c94e7f153e06e_Finance_Schedule_4121ad.json,Finance_Schedule_4121ad.json,6891389,application/json,,2024-09-13T21:14:06Z,2025-02-12T00:15:26Z
uploads/2025/08/2e229ddf34e64b1c8f84331fc55b7359_Athletics_Memo_d3aa3c.xlsx,Athletics_Memo_d3aa3c.xlsx,6362315,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,2024-09-08T17:58:21Z,2025-07-13T20:30:04Z
uploads/2025/08/640b4cc1a58a43cdbb8e83dbb44114df_Operations_Plan_2639a9.docx,Operations_Plan_2639a9.docx,5122140,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2025-08-01T13:46:24Z,2025-03-14T16:04:45Z
uploads/2025/08/11360c39c00c46f3914a7c9958908ddd_Admin_Plan_dc3f28.json,Admin_Plan_dc3f28.json,6175532,application/json,,2025-02-26T02:37:52Z,2025-08-16T17:50:16Z
uploads/2025/08/1de915b62110400194716bc5bbd8c758_Athletics_Handbook_f84035.md,Athletics_Handbook_f84035.md,6291294,text/markdown,,2024-12-01T13:33:15Z,2024-11-09T10:18:06Z
uploads/2025/08/d2a00e617e0046a1a8d564adac1345ff_Safety_Handbook_c0828f.md,Safety_Handbook_c0828f.md,3129207,text/markdown,,2025-01-18T01:11:51Z,2024-10-23T01:29:18Z
uploads/2025/08/a3e8ec4931414a2cab8d99474631c881_HR_Schedule_7b5ab0.png,HR_Schedule_7b5ab0.png,6994209,image/png,,2024-09-26T18:26:16Z,2024-12-04T11:11:53Z
uploads/2025/08/374a6688473544f78acd23ba28e9e6fb_Operations_Policy_5eb890.md,Operations_Policy_5eb890.md,3888228,text/markdown,,2024-12-16T10:34:41Z,2025-08-05T21:51:19Z
uploads/2025/08/d641d635291647c7a4cb92278706dd97_FoodService_Schedule_76f779.pdf,FoodService_Schedule_76f779.pdf,6121337,application/pdf,,2025-07-29T10:36:15Z,2025-05-19T06:43:30Z
uploads/2025/08/573e0a31818446779d1191b94cd31659_HR_Procedure_66583c.json,HR_Procedure_66583c.json,5070112,application/json,,2024-10-12T05:47:28Z,2025-06-15T07:09:47Z
uploads/2025/08/167bedfe9cff41e4af96543569baee57_Safety_SOP_020be3.csv,Safety_SOP_020be3.csv,2861229,text/csv,,2025-08-16T07:58:55Z,2024-11-07T02:23:10Z
uploads/2025/08/3499e8cda9694c89a4a204c2125b1c11_Facilities_SOP_182485.xlsx,Facilities_SOP_182485.xlsx,3669378,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,2025-07-19T01:42:36Z,2025-02-20T00:07:44Z
uploads/2025/08/798354c7e744461194f431f2f2958457_FoodService_Notice_c8530e.pptx,FoodService_Notice_c8530e.pptx,37550,application/vnd.openxmlformats-officedocument.presentationml.presentation,,2025-04-06T04:01:30Z,2025-01-11T09:55:21Z
uploads/2025/08/43d4bf203b124623a1b159a7be772ada_Transport_Checklist_81ccfe.xlsx,Transport_Checklist_81ccfe.xlsx,1568385,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,2024-10-07T20:53:06Z,2025-03-01T15:28:51Z
uploads/2025/08/2694c65b242a4728ab9d4fe3fdcb86ac_Safety_Procedure_6c186a.png,Safety_Procedure_6c186a.png,403875,image/png,,2025-05-30T22:29:28Z,2025-08-07T04:16:38Z
uploads/2025/08/789644adb403466583c94f98d97aa5ab_Finance_Guide_1ac958.pdf,Finance_Guide_1ac958.pdf,1785235,application/pdf,,2024-10-04T01:44:56Z,2025-07-30T03:49:41Z
uploads/2025/08/649496c392314b10802569fde7c32973_HR_Plan_4461bc.jpg,HR_Plan_4461bc.jpg,6672426,image/jpeg,,2024-09-11T18:03:44Z,2024-10-20T02:08:23Z
uploads/2025/08/0e57503e9fbb4bd3a5d9097bb3254c41_Admin_Procedure_783a28.json,Admin_Procedure_783a28.json,3919068,application/json,,2024-12-23T02:56:46Z,2025-06-16T21:04:41Z
uploads/2025/08/cc63b21b945f4629a0c8bc7d51841ad7_Safety_Handbook_421f79.png,Safety_Handbook_421f79.png,2517601,image/png,,2025-02-10T19:53:58Z,2025-07-14T00:23:07Z
uploads/2025/08/08a8c835e63943b484df72d31bdc49ed_Transport_Procedure_5b9b5d.pdf,Transport_Procedure_5b9b5d.pdf,5374442,application/pdf,,2025-04-03T23:35:48Z,2025-04-01T14:34:47Z
uploads/2025/08/0d9c0ca8bc0a43c9b087369956c35df3_Operations_Schedule_e0bd49.pptx,Operations_Schedule_e0bd49.pptx,276877,application/vnd.openxmlformats-officedocument.presentationml.presentation,,2025-04-20T14:47:27Z,2025-07-20T02:04:34Z
uploads/2025/08/84cf05cd4de54914a2438a601caebec2_Finance_Template_266b86.png,Finance_Template_266b86.png,4142083,image/png,,2024-10-02T04:34:05Z,2025-02-28T23:30:42Z
uploads/2025/08/cf5c63a0009b4a4b8d0bc856ecf08b9d_Safety_Guide_591f22.png,Safety_Guide_591f22.png,4670659,image/png,,2025-02-09T21:27:16Z,2025-04-29T03:08:48Z
uploads/2025/08/cb0b9dd62caa44478d11f0d5da205a5b_Athletics_Guide_6bac50.pdf,Athletics_Guide_6bac50.pdf,1468363,application/pdf,,2024-12-17T14:07:36Z,2024-12-20T08:25:34Z
uploads/2025/08/b9485c47e34d4218945950ed6c7e22be_Athletics_Policy_ebb997.pptx,Athletics_Policy_ebb997.pptx,1473647,application/vnd.openxmlformats-officedocument.presentationml.presentation,,2024-11-27T18:55:44Z,2025-02-04T09:31:36Z
uploads/2025/08/2d693ef37ac543aab278973a3a1452bf_Procurement_Checklist_762e0d.md,Procurement_Checklist_762e0d.md,6169545,text/markdown,,2025-08-08T00:13:44Z,2024-10-01T02:33:41Z
uploads/2025/08/8eb35b7791a44cbd9c3e6bce8ea4e2f2_HR_Schedule_715ed8.xlsx,HR_Schedule_715ed8.xlsx,6392802,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,2024-09-10T11:21:01Z,2025-05-22T22:58:10Z
uploads/2025/08/baa01ebe58e84c90b9fbe1cee23e1fbb_HR_Policy_8083c7.png,HR_Policy_8083c7.png,1694022,image/png,,2025-04-01T14:25:45Z,2025-05-31T12:10:51Z
uploads/2025/08/663ecc427740491b9607f6fe19872f81_Maintenance_Outline_d70c10.pdf,Maintenance_Outline_d70c10.pdf,7629460,application/pdf,,2024-09-04T02:32:10Z,2024-12-16T19:20:08Z
uploads/2025/08/91456e30982e42cea4b6d52c3ac7e3ff_Transport_Template_a54ae4.pptx,Transport_Template_a54ae4.pptx,7071739,application/vnd.openxmlformats-officedocument.presentationml.presentation,,2025-02-03T02:50:40Z,2024-09-11T12:27:49Z
uploads/2025/08/04b65d02b14b44c3932d38774f1caa29_FoodService_Policy_fb9a20.png,FoodService_Policy_fb9a20.png,69562,image/png,,2024-09-16T05:08:52Z,2024-11-21T12:16:14Z
uploads/2025/08/5f46c3ce30da4433871e3bdeffd47147_IT_SOP_50dc08.txt,IT_SOP_50dc08.txt,6003348,text/plain,,2024-12-28T16:37:32Z,2025-01-28T11:15:24Z
uploads/2025/08/307818d712984432a7cce1328c249d04_Maintenance_Notice_45d488.pdf,Maintenance_Notice_45d488.pdf,4383536,application/pdf,,2024-12-03T07:24:37Z,2025-04-27T16:18:59Z
uploads/2025/08/fc25b3feaa67466dbc84e49c8925aed6_Admin_Policy_7e431c.txt,Admin_Policy_7e431c.txt,781669,text/plain,,2024-12-09T03:48:00Z,2024-11-10T11:11:39Z
uploads/2025/08/75f8c8b73fad4b29b86410f2194e9bce_Admin_Form_aa77a3.jpg,Admin_Form_aa77a3.jpg,6413522,image/jpeg,,2025-03-27T00:59:29Z,2024-11-03T18:39:48Z
uploads/2025/08/363d14e761a848f3a43d003ca559f874_Safety_Procedure_868a16.txt,Safety_Procedure_868a16.txt,4122153,text/plain,,2025-06-20T18:54:41Z,2024-11-25T12:51:14Z
uploads/2025/08/20b13351ae9645b283a49f09c68700fb_IT_Outline_5de26e.pptx,IT_Outline_5de26e.pptx,1721123,application/vnd.openxmlformats-officedocument.presentationml.presentation,,2024-09-19T11:24:41Z,2024-10-05T04:42:07Z
uploads/2025/08/caa2875334304c47ad9aac161f8213ff_Safety_Report_538537.docx,Safety_Report_538537.docx,2727068,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2025-01-29T21:10:07Z,2025-01-22T13:50:55Z
uploads/2025/08/e265c2aaecd547a4962dba8be951eb50_Safety_Summary_f85aec.txt,Safety_Summary_f85aec.txt,7514733,text/plain,,2025-01-26T14:01:39Z,2025-02-07T22:29:44Z
uploads/2025/08/498058f060e94d928d0bdf9093a89fcc_Finance_Policy_114d85.txt,Finance_Policy_114d85.txt,1896738,text/plain,,2024-09-10T20:40:19Z,2025-02-03T11:10:07Z
uploads/2025/08/d446700d1b26494c8c2f15302dce6b1a_Athletics_Form_ed038d.pdf,Athletics_Form_ed038d.pdf,5980542,application/pdf,,2024-11-11T15:57:58Z,2025-03-07T14:24:24Z
