org_id,name,type,created_at,updated_at
05400000,Board of Education,council,2022-06-08T16:35:08Z,2022-08-22T16:35:08Z
05400000,School Leadership Team,committee,2022-09-09T16:35:08Z,2022-11-29T16:35:08Z
05400000,Curriculum Council,team,2024-07-23T16:35:08Z,2024-10-09T16:35:08Z
05400000,Finance & Audit Committee,council,2023-04-12T16:35:08Z,2023-05-01T16:35:08Z
05400000,Safety & Security Committee,committee,2025-02-11T16:35:08Z,2025-03-12T16:35:08Z
05400000,Technology Advisory Council,board,2023-01-16T16:35:08Z,2023-03-18T16:35:08Z
05400000,Special Education Advisory Committee,council,2024-08-10T16:35:08Z,2024-10-21T16:35:08Z
05400000,Athletics Council,committee,2022-10-22T16:35:08Z,2022-10-29T16:35:08Z
05400000,Family & Community Engagement Council,board,2023-02-24T16:35:08Z,2023-03-30T16:35:08Z
05400000,Assessment & Data Governance Committee,team,2025-01-10T16:35:08Z,2025-02-24T16:35:08Z
