school_name,name,ordinal
Dallas Center Elementary,Kindergarten,0
Dallas Center Elementary,Grade 1,1
Dallas Center Elementary,Grade 2,2
Dallas Center Elementary,Grade 3,3
Dallas Center Elementary,Grade 4,4
Dallas Center Elementary,Grade 5,5
Dallas Center Elementary,Grade 6,6
Dallas Center Elementary,Grade 7,7
Dallas Center Elementary,Grade 8,8
Dallas Center Elementary,Grade 9,9
Dallas Center Elementary,Grade 10,10
Dallas Center Elementary,Grade 11,11
Dallas Center Elementary,Grade 12,12
Dallas Center-Grimes High School,Kindergarten,0
Dallas Center-Grimes High School,Grade 1,1
Dallas Center-Grimes High School,Grade 2,2
Dallas Center-Grimes High School,Grade 3,3
Dallas Center-Grimes High School,Grade 4,4
Dallas Center-Grimes High School,Grade 5,5
Dallas Center-Grimes High School,Grade 6,6
Dallas Center-Grimes High School,Grade 7,7
Dallas Center-Grimes High School,Grade 8,8
Dallas Center-Grimes High School,Grade 9,9
Dallas Center-Grimes High School,Grade 10,10
Dallas Center-Grimes High School,Grade 11,11
Dallas Center-Grimes High School,Grade 12,12
Dallas Center-Grimes Middle School,Kindergarten,0
Dallas Center-Grimes Middle School,Grade 1,1
Dallas Center-Grimes Middle School,Grade 2,2
Dallas Center-Grimes Middle School,Grade 3,3
Dallas Center-Grimes Middle School,Grade 4,4
Dallas Center-Grimes Middle School,Grade 5,5
Dallas Center-Grimes Middle School,Grade 6,6
Dallas Center-Grimes Middle School,Grade 7,7
Dallas Center-Grimes Middle School,Grade 8,8
Dallas Center-Grimes Middle School,Grade 9,9
Dallas Center-Grimes Middle School,Grade 10,10
Dallas Center-Grimes Middle School,Grade 11,11
Dallas Center-Grimes Middle School,Grade 12,12
DC-G Oak View,Kindergarten,0
DC-G Oak View,Grade 1,1
DC-G Oak View,Grade 2,2
DC-G Oak View,Grade 3,3
DC-G Oak View,Grade 4,4
DC-G Oak View,Grade 5,5
DC-G Oak View,Grade 6,6
DC-G Oak View,Grade 7,7
DC-G Oak View,Grade 8,8
DC-G Oak View,Grade 9,9
DC-G Oak View,Grade 10,10
DC-G Oak View,Grade 11,11
DC-G Oak View,Grade 12,12
Heritage Elementary,Kindergarten,0
Heritage Elementary,Grade 1,1
Heritage Elementary,Grade 2,2
Heritage Elementary,Grade 3,3
Heritage Elementary,Grade 4,4
Heritage Elementary,Grade 5,5
Heritage Elementary,Grade 6,6
Heritage Elementary,Grade 7,7
Heritage Elementary,Grade 8,8
Heritage Elementary,Grade 9,9
Heritage Elementary,Grade 10,10
Heritage Elementary,Grade 11,11
Heritage Elementary,Grade 12,12
North Ridge Elementary,Kindergarten,0
North Ridge Elementary,Grade 1,1
North Ridge Elementary,Grade 2,2
North Ridge Elementary,Grade 3,3
North Ridge Elementary,Grade 4,4
North Ridge Elementary,Grade 5,5
North Ridge Elementary,Grade 6,6
North Ridge Elementary,Grade 7,7
North Ridge Elementary,Grade 8,8
North Ridge Elementary,Grade 9,9
North Ridge Elementary,Grade 10,10
North Ridge Elementary,Grade 11,11
North Ridge Elementary,Grade 12,12
South Prairie Elementary,Kindergarten,0
South Prairie Elementary,Grade 1,1
South Prairie Elementary,Grade 2,2
South Prairie Elementary,Grade 3,3
South Prairie Elementary,Grade 4,4
South Prairie Elementary,Grade 5,5
South Prairie Elementary,Grade 6,6
South Prairie Elementary,Grade 7,7
South Prairie Elementary,Grade 8,8
South Prairie Elementary,Grade 9,9
South Prairie Elementary,Grade 10,10
South Prairie Elementary,Grade 11,11
South Prairie Elementary,Grade 12,12
