school_name,building_name,space_name,asset_tag,status,priority,summary,description,converted_work_order_id,attributes,created_at,updated_at
Dallas Center-Grimes Middle School,Cafeteria & Kitchen,Gym 205,ASSET-000801,in_progress,normal,Door handle loose,Door handle loose — auto-generated request d6761f.,,"{""source"":""web"",""reporter_role"":""staff"",""requires_access"":false,""attachments"":[]}",2025-07-18T08:42:43Z,2025-07-18T21:42:43Z
Heritage Elementary,Administration,Gym 103,ASSET-000758,blocked,urgent,Ceiling tile damaged,Ceiling tile damaged — auto-generated request 67b9ae.,,"{""source"":""mobile"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-06-10T05:40:51Z,2025-06-10T13:40:51Z
Dallas Center-Grimes High School,Bus Garage,Science Lab 112,ASSET-000197,assigned,normal,Water stain on ceiling,Water stain on ceiling — auto-generated request 4718af.,,"{""source"":""email"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-06-10T08:19:18Z,2025-06-10T22:19:18Z
South Prairie Elementary,Bus Garage,Classroom 111,ASSET-000267,cancelled,urgent,HVAC making noise,HVAC making noise — auto-generated request 18df24.,,"{""source"":""kiosk"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-05-18T07:08:14Z,2025-05-18T09:08:14Z
South Prairie Elementary,Maintenance Shop,Cafeteria 114,ASSET-000374,blocked,high,Ceiling tile damaged,Ceiling tile damaged — auto-generated request c3b733.,,"{""source"":""mobile"",""reporter_role"":""visitor"",""requires_access"":false,""attachments"":[]}",2025-08-18T17:08:52Z,2025-08-20T06:08:52Z
Dallas Center-Grimes High School,Main Academic Building,Storage 103,ASSET-000284,assigned,high,Projector not working,Projector not working — auto-generated request 39482d.,,"{""source"":""web"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-08-30T19:26:49Z,2025-09-02T19:26:49Z
North Ridge Elementary,Library/Media Center,Gym 207,ASSET-000271,triage,high,Ceiling tile damaged,Ceiling tile damaged — auto-generated request e9aa80.,,"{""source"":""kiosk"",""reporter_role"":""staff"",""requires_access"":true,""attachments"":[]}",2025-06-21T01:31:19Z,2025-06-23T14:31:19Z
South Prairie Elementary,Field House,Library/Media Center B108,ASSET-000699,cancelled,urgent,Room too cold,Room too cold — auto-generated request a87155.,,"{""source"":""mobile"",""reporter_role"":""teacher"",""requires_access"":false,""attachments"":[]}",2025-07-06T09:29:16Z,2025-07-06T18:29:16Z
Heritage Elementary,Performing Arts Center,Computer Lab 116,ASSET-000449,cancelled,urgent,Projector not working,Projector not working — auto-generated request c3b00f.,,"{""source"":""web"",""reporter_role"":""student"",""requires_access"":false,""attachments"":[]}",2025-07-21T14:36:28Z,2025-07-23T01:36:28Z
Dallas Center-Grimes High School,Field House,Science Lab 109,ASSET-000218,assigned,low,Vending machine stuck,Vending machine stuck — auto-generated request 9c1c08.,,"{""source"":""mobile"",""reporter_role"":""teacher"",""requires_access"":true,""attachments"":[]}",2025-05-28T23:32:23Z,2025-05-31T02:32:23Z
