id,event_id,purchaser_user_id,total_cents,currency,status,external_ref,attributes,created_at,updated_at
38b6a73b-f4ba-42a7-ad5f-26f1acdd8844,18a5ed70-d7bb-4d98-84c8-20feb05b612e,79dbe26a-a110-45ff-8dc4-9fab323105cd,2500,USD,refunded,ch_b8d05c3cc7e84e0f8fc768,"{""source"": ""web"", ""promo"": ""WELCOME10"", ""notes"": """"}",2025-08-05T11:34:24.553627+00:00,2025-08-05T16:35:24.553627+00:00
b7d944bb-61a8-47ac-bcad-0f7d980dbb8d,18a5ed70-d7bb-4d98-84c8-20feb05b612e,abd8aa25-9410-45cb-804e-8edd64b6c319,0,USD,paid,ch_731e5b540a6a4f79bc3c8b,"{""source"": ""web"", ""promo"": """", ""notes"": """"}",2025-06-11T14:34:24.553686+00:00,2025-06-11T14:51:24.553686+00:00
534b650c-aadb-4da5-b4b6-11869c580031,18a5ed70-d7bb-4d98-84c8-20feb05b612e,,6000,USD,paid,,,2025-06-18T07:34:24.553717+00:00,2025-06-18T11:53:24.553717+00:00
ef290e61-c375-4820-ad6a-2474cdfba1dc,18a5ed70-d7bb-4d98-84c8-20feb05b612e,,3000,USD,pending,,,2025-07-11T16:34:24.553741+00:00,2025-07-11T17:13:24.553741+00:00
a48dc180-22cc-4120-9760-febbf6c4be27,18a5ed70-d7bb-4d98-84c8-20feb05b612e,740ec595-b4f1-4b8e-b0c5-ea3a0072aefb,4500,USD,pending,,,2025-07-13T06:34:24.553763+00:00,2025-07-13T07:00:24.553763+00:00
7644a354-d1a6-40bb-bde9-461fb098e29f,18a5ed70-d7bb-4d98-84c8-20feb05b612e,c7d0c7f6-9290-4944-8f85-5c40be338c49,10000,USD,refunded,,,2025-08-14T16:34:24.553784+00:00,2025-08-14T17:57:24.553784+00:00
e9ad9123-4462-4e6f-af42-e85efd138dac,18a5ed70-d7bb-4d98-84c8-20feb05b612e,adab39b6-1a8c-421e-8bcd-a008e40ca8a5,1000,USD,pending,,,2025-08-28T06:34:24.553803+00:00,2025-08-28T06:51:24.553803+00:00
a5c8712d-6fa9-4e57-b8ca-13392ffadb47,18a5ed70-d7bb-4d98-84c8-20feb05b612e,,3000,USD,paid,ch_a6a662278fe14ffd909194,,2025-07-05T16:34:24.553835+00:00,2025-07-05T17:41:24.553835+00:00
7ca03750-479b-4949-b6ab-57fe5eeabe82,18a5ed70-d7bb-4d98-84c8-20feb05b612e,,0,USD,paid,,,2025-07-20T07:34:24.553856+00:00,2025-07-20T11:50:24.553856+00:00
aa91e158-4d09-4242-8dda-cdd5096bbcd5,18a5ed70-d7bb-4d98-84c8-20feb05b612e,ebd6fb24-fffa-4b81-ae33-433cd7e5dc51,3000,USD,paid,,"{""source"": ""mobile"", ""promo"": ""EARLYBIRD"", ""notes"": ""Employee purchase""}",2025-07-20T08:34:24.553878+00:00,2025-07-20T10:26:24.553878+00:00
