code,description
sis.organizations.read,View districts/organizations
sis.schools.read,View schools
sis.schools.manage,Create/update/delete schools
sis.users.read,View user accounts
sis.users.manage,Create/update/deactivate users
sis.roles.read,View roles & mappings
sis.roles.manage,Create/update roles; assign permissions
sis.persons.read,View person biographic data
sis.persons.manage,Manage person biographic data
sis.students.read,View student profiles
sis.students.manage,Create/update students; demographics
sis.guardians.read,View guardians
sis.guardians.manage,Manage guardians & relationships
sis.contacts.read,View contact endpoints (phone/email)
sis.contacts.manage,Create/update contact endpoints
sis.addresses.read,View addresses
sis.addresses.manage,Manage addresses
sis.enrollment.read,View school/program enrollments
sis.enrollment.manage,Enroll/withdraw; manage programs
sis.transfers.process,Approve inbound/outbound transfers
sis.terms.read,View academic terms & grading periods
sis.terms.manage,Manage terms & grading periods
sis.calendars.read,View calendars & bell schedules
sis.calendars.manage,"Manage calendars, days, bells, periods"
sis.scheduling.view,View courses/sections/timetables
sis.scheduling.manage,Build master schedule; manage sections
sis.requests.manage,Manage student course requests
sis.sections.read,View course sections & rosters
sis.assignments.manage_own,Create/manage assignments (own sections)
sis.gradebook.edit_own,Enter/modify scores (own sections)
sis.gradebook.override,Override grades beyond standard rules
sis.final_grades.submit_own,Submit final grades (own sections)
sis.final_grades.manage_all,Manage final grades for any section
sis.grade_scales.manage,Create/modify grade scales & bands
sis.attendance.view,View attendance (daily/period)
sis.attendance.submit_own,Take attendance for own sections
sis.attendance.manage,Office—edit/clear/override attendance
sis.attendance.codes.manage,Manage attendance codes
sis.incidents.view,View behavior incidents
sis.incidents.create,Create behavior incidents
sis.incidents.manage,Edit incidents; assign consequences
sis.behavior.codes.manage,Manage behavior/consequence codes
sis.health.view,View health profiles (min. PHI)
sis.health.manage,"Manage immunizations, meds, nurse visits"
sis.sped.view,View IEP/504/ELL/accommodations
sis.sped.manage,Create/update IEP/504/ELL records
sis.fees.manage,"Create fees, invoices, payments, waivers"
sis.meals.view,View meal accounts & eligibility
sis.meals.manage,Post transactions; set eligibility
sis.library.manage,"Manage items, checkouts, holds, fines"
sis.transport.manage,"Manage routes, stops, assignments"
sis.tests.manage,Manage standardized tests & results
sis.reports.view,Run standard reports & exports
sis.analytics.view,View analytics & dashboards
sis.imports.run,Run SIS import/ETL jobs
sis.settings.manage,Global SIS settings
sis.search.index.manage,Manage search indices
sis.files.upload,Upload files to records
cic.channels.manage,Create channels; manage audiences
cic.posts.create,Create posts/messages
cic.posts.edit,Edit posts/messages
cic.posts.publish,Publish/schedule posts
cic.pages.manage,Manage web pages
cic.subscriptions.manage,Manage subscriptions & deliveries
cic.alerts.send,Send mass/emergency alerts
cic.meetings.manage,Create meetings; agendas; minutes
cic.policies.manage,Create policies; versions; approvals
cic.policies.publish,Publish policies & updates
cmms.assets.read,View assets & locations
cmms.assets.manage,Create/update assets & locations
cmms.work_orders.create,Create work orders/requests
cmms.work_orders.assign,Assign work orders
cmms.work_orders.update,Add notes/time; change status
cmms.work_orders.close,Close/complete work orders
cmms.work_orders.approve,Approve WOs & purchases
cmms.pm.manage,Manage preventive maintenance plans
cmms.inventory.read,View inventory
cmms.inventory.manage,Receive/issue/adjust inventory
cmms.vendors.manage,Manage vendors & contracts
cmms.reports.view,View CMMS reports
cmms.settings.manage,CMMS configuration
