asset_tag,facility_name,name,frequency,next_due_at,last_completed_at,active,procedure,attributes,created_at,updated_at
ASSET-000037,North Ridge Elementary,Safety Check for ASSET-000037,annual,2025-11-30T01:22:17.493412Z,2025-03-06T01:22:17.493412Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""medium"", ""est_minutes"": 45}",2025-08-31T01:22:17.493479Z,2025-08-31T01:22:17.493481Z
ASSET-000331,North Ridge Elementary,Inspection for ASSET-000331,monthly,2025-09-27T01:22:17.493486Z,2025-08-16T01:22:17.493486Z,False,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""high"", ""est_minutes"": 60}",2025-08-31T01:22:17.493638Z,2025-08-31T01:22:17.493642Z
ASSET-000426,South Prairie Elementary,Inspection for ASSET-000426,monthly,2025-12-25T01:22:17.493646Z,2025-05-21T01:22:17.493646Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 60}",2025-08-31T01:22:17.493670Z,2025-08-31T01:22:17.493672Z
ASSET-000224,Heritage Elementary,Filter Replacement for ASSET-000224,annual,2025-09-19T01:22:17.493675Z,2024-12-18T01:22:17.493675Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 60}",2025-08-31T01:22:17.493696Z,2025-08-31T01:22:17.493698Z
ASSET-000294,North Ridge Elementary,Safety Check for ASSET-000294,annual,2025-11-12T01:22:17.493701Z,2025-06-03T01:22:17.493701Z,False,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""medium"", ""est_minutes"": 60}",2025-08-31T01:22:17.493722Z,2025-08-31T01:22:17.493724Z
ASSET-000264,Dallas Center-Grimes High School,Filter Replacement for ASSET-000264,quarterly,2025-11-24T01:22:17.493728Z,2025-02-07T01:22:17.493728Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""high"", ""est_minutes"": 45}",2025-08-31T01:22:17.493748Z,2025-08-31T01:22:17.493750Z
ASSET-000380,Dallas Center-Grimes High School,Inspection for ASSET-000380,monthly,2025-11-09T01:22:17.493753Z,2025-01-27T01:22:17.493753Z,False,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""high"", ""est_minutes"": 30}",2025-08-31T01:22:17.493773Z,2025-08-31T01:22:17.493775Z
ASSET-000608,Heritage Elementary,Inspection for ASSET-000608,semiannual,2025-12-07T01:22:17.493793Z,2025-01-31T01:22:17.493793Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 60}",2025-08-31T01:22:17.493818Z,2025-08-31T01:22:17.493820Z
ASSET-000280,DC-G Oak View,Calibration for ASSET-000280,monthly,2025-10-07T01:22:17.493824Z,2024-12-07T01:22:17.493824Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""medium"", ""est_minutes"": 60}",2025-08-31T01:22:17.493844Z,2025-08-31T01:22:17.493858Z
ASSET-000233,Dallas Center Elementary,Inspection for ASSET-000233,quarterly,2025-09-11T01:22:17.493863Z,2024-12-14T01:22:17.493863Z,True,"[{""step"": 1, ""task"": ""Power down unit safely""}, {""step"": 2, ""task"": ""Inspect belts and pulleys""}, {""step"": 3, ""task"": ""Replace filters if needed""}]","{""priority"": ""low"", ""est_minutes"": 60}",2025-08-31T01:22:17.493883Z,2025-08-31T01:22:17.493885Z
