section_id,day_of_week,period_id,room_id
06c9fa9b-ee97-4ccb-a995-621373167e97,1,,
06c9fa9b-ee97-4ccb-a995-621373167e97,2,,
07cf938f-b524-4adc-9bc2-6a4fa2e8813b,2,,
07cf938f-b524-4adc-9bc2-6a4fa2e8813b,3,,
0c6fe000-9ba2-4c4f-9cf9-45d7e7888eb5,3,,
0c6fe000-9ba2-4c4f-9cf9-45d7e7888eb5,4,,
0dab3a5c-25a0-4142-a266-63a439f94695,4,,
0dab3a5c-25a0-4142-a266-63a439f94695,5,,
1bdfbb90-afbf-4353-809b-7de45d4d7c8c,5,,
1bdfbb90-afbf-4353-809b-7de45d4d7c8c,1,,
1c62dfb7-653b-4959-829e-6f940cef18a8,1,,
1c62dfb7-653b-4959-829e-6f940cef18a8,2,,
1c812c3b-45a1-4fba-836d-3c439fb5636e,2,,
1c812c3b-45a1-4fba-836d-3c439fb5636e,3,,
1f01d812-69e9-4d35-b33d-778aef81034a,3,,
1f01d812-69e9-4d35-b33d-778aef81034a,4,,
1f4c5aff-e6b3-4cb6-b123-f5443809e01a,4,,
1f4c5aff-e6b3-4cb6-b123-f5443809e01a,5,,
20620ea3-5f62-42c3-ade1-a344e15c3da2,5,,
20620ea3-5f62-42c3-ade1-a344e15c3da2,1,,
22573c46-6dd8-4964-8c57-35a6717f1c83,1,,
22573c46-6dd8-4964-8c57-35a6717f1c83,2,,
28564fea-6527-4ae9-8a70-0fe964275032,2,,
28564fea-6527-4ae9-8a70-0fe964275032,3,,
28e050c9-e50c-4ca0-9c80-3782e6065474,3,,
28e050c9-e50c-4ca0-9c80-3782e6065474,4,,
297f22af-58bb-4cc4-9f69-5074fc14ced0,4,,
297f22af-58bb-4cc4-9f69-5074fc14ced0,5,,
2d271c5a-7dac-49ab-a005-7f36955024dc,5,,
2d271c5a-7dac-49ab-a005-7f36955024dc,1,,
2f574384-40ab-495d-b0b2-a475769d5a78,1,,
2f574384-40ab-495d-b0b2-a475769d5a78,2,,
35ade884-1f33-4c44-9cf2-c7d39f115973,2,,
35ade884-1f33-4c44-9cf2-c7d39f115973,3,,
368a5e6b-69f7-48da-a358-a5af88b976a0,3,,
368a5e6b-69f7-48da-a358-a5af88b976a0,4,,
3add2246-dc84-4353-8356-d692775b3d34,4,,
3add2246-dc84-4353-8356-d692775b3d34,5,,
3cafb70a-4be8-499b-a4d2-b7ada064b100,5,,
3cafb70a-4be8-499b-a4d2-b7ada064b100,1,,
3f1bf888-fc62-4d73-a785-c3dde6996c89,1,,
3f1bf888-fc62-4d73-a785-c3dde6996c89,2,,
3fe464af-e6cb-4942-b49e-30a2c88a1fd2,2,,
3fe464af-e6cb-4942-b49e-30a2c88a1fd2,3,,
401e7a12-cac5-43c4-9b36-b54e44920aa9,3,,
401e7a12-cac5-43c4-9b36-b54e44920aa9,4,,
536d2ef0-3e69-45b7-937c-d573c74781d4,4,,
536d2ef0-3e69-45b7-937c-d573c74781d4,5,,
5567f939-ea46-4733-ae47-e0ec8dfef449,5,,
5567f939-ea46-4733-ae47-e0ec8dfef449,1,,
5892919e-a35b-4f64-a7a9-3e3bd355e6c6,1,,
5892919e-a35b-4f64-a7a9-3e3bd355e6c6,2,,
58ba1fbf-51f6-4d7d-8fe0-119530f714f3,2,,
58ba1fbf-51f6-4d7d-8fe0-119530f714f3,3,,
5c27f5d0-99a6-46fc-bd9c-f2d89d4e0df1,3,,
5c27f5d0-99a6-46fc-bd9c-f2d89d4e0df1,4,,
611f2b3d-6d67-48f8-9184-5ec5aa4d2e47,4,,
611f2b3d-6d67-48f8-9184-5ec5aa4d2e47,5,,
62eaef66-c2cd-466e-974b-8f218a02bb0a,5,,
62eaef66-c2cd-466e-974b-8f218a02bb0a,1,,
6567b6fa-66bb-4c16-8766-627820685bab,1,,
6567b6fa-66bb-4c16-8766-627820685bab,2,,
6c6d857a-abe5-4cd7-8dba-e7a78f71db15,2,,
6c6d857a-abe5-4cd7-8dba-e7a78f71db15,3,,
6c8a41db-eef8-4837-b7c1-3b86384ae57e,3,,
6c8a41db-eef8-4837-b7c1-3b86384ae57e,4,,
6c9cf860-343e-4e40-a68b-e42e620934dc,4,,
6c9cf860-343e-4e40-a68b-e42e620934dc,5,,
6d150c2e-cdc1-4b08-aef4-14bbd4eb2c71,5,,
6d150c2e-cdc1-4b08-aef4-14bbd4eb2c71,1,,
7750e51e-ba76-43ad-96e6-f344ac62425a,1,,
7750e51e-ba76-43ad-96e6-f344ac62425a,2,,
7a1f8634-2abb-4f75-9e2b-f053fcf88984,2,,
7a1f8634-2abb-4f75-9e2b-f053fcf88984,3,,
7af1c920-872b-4995-b0fb-4c3d8e7d778c,3,,
7af1c920-872b-4995-b0fb-4c3d8e7d778c,4,,
84622871-9a65-4daa-a0cd-e72d8b7bf6e7,4,,
84622871-9a65-4daa-a0cd-e72d8b7bf6e7,5,,
88f05682-28b1-42cc-bf53-600f9dfa8411,5,,
88f05682-28b1-42cc-bf53-600f9dfa8411,1,,
8910fc85-bd90-4fb4-8a7c-b0a47e2aafe1,1,,
8910fc85-bd90-4fb4-8a7c-b0a47e2aafe1,2,,
8a7022fd-cba5-4514-b35d-6dbdd77081e6,2,,
8a7022fd-cba5-4514-b35d-6dbdd77081e6,3,,
8e90c42b-f94e-4fba-9322-b0b071b66d29,3,,
8e90c42b-f94e-4fba-9322-b0b071b66d29,4,,
8ecafc03-3183-4798-a5ce-1bbb62e6ef20,4,,
8ecafc03-3183-4798-a5ce-1bbb62e6ef20,5,,
8f978b3b-1a0b-4402-a6fa-334607c550b4,5,,
8f978b3b-1a0b-4402-a6fa-334607c550b4,1,,
900e3a44-c202-468c-84bb-653865f984e9,1,,
900e3a44-c202-468c-84bb-653865f984e9,2,,
92442f9f-c62d-4a00-a418-d9b05180f63b,2,,
92442f9f-c62d-4a00-a418-d9b05180f63b,3,,
95567546-8e81-4211-b994-7a270aa68dc0,3,,
95567546-8e81-4211-b994-7a270aa68dc0,4,,
95755e62-b2d6-4c0e-a89c-c83450deffc6,4,,
95755e62-b2d6-4c0e-a89c-c83450deffc6,5,,
967fd000-578b-4843-9d2f-15d791183b77,5,,
967fd000-578b-4843-9d2f-15d791183b77,1,,
9861313f-a23c-4ca7-a362-ae266cf4f007,1,,
9861313f-a23c-4ca7-a362-ae266cf4f007,2,,
99ce33bb-e1f5-43b1-85ad-d9c5a4ee5817,2,,
99ce33bb-e1f5-43b1-85ad-d9c5a4ee5817,3,,
9bdb7e14-a0c1-4cc4-a43a-0d508d511813,3,,
9bdb7e14-a0c1-4cc4-a43a-0d508d511813,4,,
9e352be0-872f-4085-8da3-25886e4390f1,4,,
9e352be0-872f-4085-8da3-25886e4390f1,5,,
a573d700-a456-492f-982f-72d413357016,5,,
