building_code,floor_level_code,code,name,space_type,area_sqft,capacity
FAC-109-BLDG-01,1,101,Classroom 101,Classroom,1029.00,28
FAC-109-BLDG-01,1,102,Classroom 102,Classroom,721.00,23
FAC-109-BLDG-01,1,103,Computer Lab 103,Computer Lab,1079.00,21
FAC-109-BLDG-01,1,104,Science Lab 104,Science Lab,916.00,18
FAC-109-BLDG-01,1,105,Classroom 105,Classroom,769.00,20
FAC-109-BLDG-01,1,106,Science Lab 106,Science Lab,1266.00,28
FAC-109-BLDG-01,1,107,Conference Room 107,Conference Room,414.00,9
FAC-109-BLDG-01,1,108,Office 108,Office,171.00,1
FAC-109-BLDG-01,1,109,Gym 109,Gym,6115.00,158
FAC-109-BLDG-01,1,110,Classroom 110,Classroom,729.00,26
FAC-109-BLDG-01,1,111,Restroom 111,Restroom,123.00,0
FAC-109-BLDG-01,1,112,Classroom 112,Classroom,844.00,23
FAC-109-BLDG-01,1,113,Office 113,Office,188.00,3
FAC-109-BLDG-01,1,114,Cafeteria 114,Cafeteria,6263.00,217
FAC-109-BLDG-01,1,115,Classroom 115,Classroom,843.00,22
FAC-109-BLDG-01,1,116,Science Lab 116,Science Lab,1324.00,28
FAC-109-BLDG-01,1,117,Science Lab 117,Science Lab,1341.00,23
FAC-109-BLDG-01,1,118,Science Lab 118,Science Lab,1260.00,19
FAC-109-BLDG-01,2,201,Computer Lab 201,Computer Lab,1195.00,24
FAC-109-BLDG-01,2,202,Restroom 202,Restroom,189.00,0
FAC-109-BLDG-01,2,203,Classroom 203,Classroom,701.00,32
FAC-109-BLDG-01,2,204,Classroom 204,Classroom,975.00,31
FAC-109-BLDG-01,2,205,Classroom 205,Classroom,831.00,26
FAC-109-BLDG-01,2,206,Computer Lab 206,Computer Lab,1159.00,30
FAC-109-BLDG-01,2,207,Computer Lab 207,Computer Lab,1111.00,30
FAC-109-BLDG-01,2,208,Classroom 208,Classroom,1023.00,27
FAC-109-BLDG-01,3,301,Office 301,Office,169.00,2
FAC-109-BLDG-01,3,302,Computer Lab 302,Computer Lab,1193.00,32
FAC-109-BLDG-01,3,303,Classroom 303,Classroom,1070.00,21
FAC-109-BLDG-01,3,304,Cafeteria 304,Cafeteria,5786.00,148
FAC-109-BLDG-01,3,305,Classroom 305,Classroom,940.00,30
FAC-109-BLDG-01,3,306,Classroom 306,Classroom,905.00,32
FAC-109-BLDG-01,3,307,Storage 307,Storage,142.00,0
FAC-109-BLDG-01,3,308,Office 308,Office,167.00,2
FAC-109-BLDG-01,3,309,Classroom 309,Classroom,937.00,28
FAC-109-BLDG-01,3,310,Conference Room 310,Conference Room,419.00,15
FAC-109-BLDG-02,1,101,Office 101,Office,135.00,4
FAC-109-BLDG-02,1,102,Classroom 102,Classroom,674.00,23
FAC-109-BLDG-02,1,103,Classroom 103,Classroom,731.00,33
FAC-109-BLDG-02,1,104,Science Lab 104,Science Lab,1097.00,24
FAC-109-BLDG-02,1,105,Science Lab 105,Science Lab,1139.00,26
FAC-109-BLDG-02,1,106,Classroom 106,Classroom,933.00,20
FAC-109-BLDG-02,1,107,Computer Lab 107,Computer Lab,858.00,30
FAC-109-BLDG-02,1,108,Storage 108,Storage,156.00,0
FAC-109-BLDG-02,1,109,Classroom 109,Classroom,978.00,30
FAC-109-BLDG-02,1,110,Classroom 110,Classroom,872.00,25
FAC-109-BLDG-02,1,111,Office 111,Office,167.00,2
FAC-109-BLDG-02,1,112,Office 112,Office,127.00,3
FAC-109-BLDG-02,1,113,Storage 113,Storage,124.00,0
FAC-109-BLDG-02,1,114,Science Lab 114,Science Lab,978.00,23
FAC-109-BLDG-02,2,201,Office 201,Office,235.00,1
FAC-109-BLDG-02,2,202,Science Lab 202,Science Lab,1150.00,18
FAC-109-BLDG-02,2,203,Classroom 203,Classroom,835.00,29
FAC-109-BLDG-02,2,204,Classroom 204,Classroom,773.00,22
FAC-109-BLDG-02,2,205,Classroom 205,Classroom,898.00,22
FAC-109-BLDG-02,2,206,Restroom 206,Restroom,148.00,0
FAC-109-BLDG-02,2,207,Gym 207,Gym,5603.00,171
FAC-109-BLDG-02,2,208,Restroom 208,Restroom,101.00,0
FAC-109-BLDG-02,2,209,Classroom 209,Classroom,1096.00,33
FAC-109-BLDG-02,2,210,Restroom 210,Restroom,198.00,0
FAC-109-BLDG-03,1,101,Gym 101,Gym,6795.00,129
FAC-109-BLDG-03,1,102,Office 102,Office,195.00,4
FAC-109-BLDG-03,1,103,Storage 103,Storage,117.00,0
FAC-109-BLDG-03,1,104,Classroom 104,Classroom,765.00,22
FAC-109-BLDG-03,1,105,Classroom 105,Classroom,951.00,27
FAC-109-BLDG-03,1,106,Science Lab 106,Science Lab,903.00,19
FAC-109-BLDG-03,1,107,Conference Room 107,Conference Room,230.00,9
FAC-109-BLDG-03,1,108,Classroom 108,Classroom,666.00,30
FAC-109-BLDG-03,1,109,Classroom 109,Classroom,771.00,28
FAC-109-BLDG-03,1,110,Computer Lab 110,Computer Lab,909.00,28
FAC-109-BLDG-03,1,111,Classroom 111,Classroom,942.00,35
FAC-109-BLDG-03,1,112,Classroom 112,Classroom,892.00,33
FAC-109-BLDG-03,1,113,Classroom 113,Classroom,699.00,33
FAC-109-BLDG-03,1,114,Office 114,Office,205.00,4
FAC-109-BLDG-03,1,115,Storage 115,Storage,66.00,0
FAC-109-BLDG-03,1,116,Computer Lab 116,Computer Lab,1130.00,21
FAC-109-BLDG-04,B1,B101,Office B101,Office,186.00,1
FAC-109-BLDG-04,B1,B102,Classroom B102,Classroom,747.00,34
FAC-109-BLDG-04,B1,B103,Classroom B103,Classroom,743.00,28
FAC-109-BLDG-04,B1,B104,Office B104,Office,119.00,4
FAC-109-BLDG-04,1,101,Classroom 101,Classroom,983.00,20
FAC-109-BLDG-04,1,102,Restroom 102,Restroom,198.00,0
FAC-109-BLDG-04,1,103,Gym 103,Gym,7372.00,92
FAC-109-BLDG-04,1,104,Office 104,Office,223.00,2
FAC-109-BLDG-04,1,105,Storage 105,Storage,175.00,0
FAC-109-BLDG-04,1,106,Classroom 106,Classroom,844.00,20
FAC-109-BLDG-04,1,107,Restroom 107,Restroom,113.00,0
FAC-109-BLDG-04,1,108,Storage 108,Storage,160.00,0
FAC-109-BLDG-04,1,109,Office 109,Office,208.00,4
FAC-109-BLDG-04,1,110,Classroom 110,Classroom,801.00,26
FAC-109-BLDG-04,1,111,Restroom 111,Restroom,154.00,0
