student_id,reason,amount,granted_on
a5a7c462-ea1e-4445-ae62-ac43a0d63a7f,Merit-based waiver,50.00,2025-07-06
ad8013c3-0d83-44f2-8577-addfed5bb9cf,Merit-based waiver,50.00,2025-07-03
739d9103-c19c-4bd6-9885-8ca94d530ec1,Fee error correction,125.00,2025-08-06
c151150b-a12c-41a0-a43f-8357bc1e8c20,Financial hardship,100.00,2025-08-09
c48e6e6a-28df-4744-b568-f19b3a4a7ac5,Merit-based waiver,125.00,2025-07-01
482244a9-322c-414d-905e-4c180337d8a9,Merit-based waiver,75.00,2025-05-18
2931ba3c-91c3-4887-8b89-4d7e2769b177,Administrative adjustment,100.00,2025-08-18
9a19f3e4-370c-425f-b5f3-9f509eba2d16,Merit-based waiver,50.00,2025-06-21
5fdd5c1a-1196-4433-ab63-622cec4994a7,Administrative adjustment,125.00,2025-06-25
e99454af-2372-4152-bba8-3c6bf9e53745,Administrative adjustment,125.00,2025-05-18
aab6fa5c-ceb8-4cbd-8af5-fc3989b4ef4e,Fee error correction,75.00,2025-08-25
dcb16f9b-cb82-4e94-8d3a-98576662a525,Needs-based waiver,75.00,2025-08-26
a47736c6-6639-44c6-bfaf-f722b7f4ad20,Fee error correction,25.00,2025-06-30
2943f113-0386-4947-8c41-8e16aca00798,Needs-based waiver,125.00,2025-05-23
8d32e9de-90b8-47c2-8220-e49110eeb2fa,Fee error correction,50.00,2025-08-08
3ef0b431-dbb8-4fe9-a50d-4e57d7928965,Special program,25.00,2025-07-11
a9299f20-a26d-4f77-8e7b-b79df3b0305a,Administrative adjustment,50.00,2025-05-13
83d75f92-d03f-46d0-8b2e-2319a4cd4f19,Financial hardship,100.00,2025-06-16
6df281b6-9e3e-4efb-a0fa-16b5b0fae2ab,Merit-based waiver,50.00,2025-06-10
5497bab3-8c03-4960-b086-0852fffb6d0d,Fee error correction,125.00,2025-08-05
