asset_tag,vendor_name,policy_no,start_date,end_date,terms,attributes
ASSET-000118,Oakstone Technology Inc.,WAR-7E310157,2023-09-26,2026-09-25,Standard parts and labor warranty.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""NBD"",""notes"":""""}"
ASSET-000051,Oakstone Technology Inc.,WAR-B07AA7AE,2024-04-11,2025-04-11,Standard parts and labor warranty.,"{""coverage"":""parts"",""pm_included"":false,""service_level"":""NBD"",""notes"":""""}"
ASSET-000052,Granite Technology Co.,WAR-7DB1B4BC,2025-06-13,2025-12-10,Extended coverage for parts only; labor excluded.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000297,Granite Technology Co.,WAR-67A3F39E,2023-02-08,2024-02-08,Extended coverage for parts only; labor excluded.,"{""coverage"":""full"",""pm_included"":false,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000301,Summit Maintenance Inc.,WAR-5A78BEBB,2024-01-07,2024-04-06,Depot repair only; shipping not included.,"{""coverage"":""limited"",""pm_included"":true,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000459,Vertex Textbooks Group,WAR-E38A8A90,2024-09-20,2027-09-20,Full coverage with on-site support within 48 hours.,"{""coverage"":""labor"",""pm_included"":false,""service_level"":""72h"",""notes"":""""}"
ASSET-000703,Summit Maintenance Inc.,WAR-0DBF2ABF,2023-05-02,2024-05-01,Standard parts and labor warranty.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000097,Westfield Consulting Systems,WAR-1CFEC9E5,2023-08-14,2024-08-13,Preventive maintenance visits included (2 per year).,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""72h"",""notes"":""Proof of purchase required""}"
ASSET-000352,Terrace Wellness Ltd.,WAR-47C8DAED,2024-04-22,2024-07-21,Preventive maintenance visits included (2 per year).,"{""coverage"":""full"",""pm_included"":false,""service_level"":""Depot"",""notes"":""Proof of purchase required""}"
ASSET-000815,Redwood Wellness Partners,WAR-35627017,2022-12-25,2024-12-24,Extended coverage for parts only; labor excluded.,"{""coverage"":""parts"",""pm_included"":true,""service_level"":""72h"",""notes"":""Requires RMA""}"
ASSET-000403,Nimbus Services Ltd.,WAR-77154FEC,2024-01-01,2026-12-31,Depot repair only; shipping not included.,"{""coverage"":""labor"",""pm_included"":true,""service_level"":""NBD"",""notes"":""Requires RMA""}"
