work_order_id,part_id,qty,unit_cost,extended_cost,notes
3d16d9b3-7635-410f-8b12-1d67e89c9656,015e5614-e82a-4849-b389-52c309701ae5,1.00,29.70,29.70,
5540c0fb-ea49-4044-a38f-9aa65baafb34,0b9555ad-90ed-4893-9bb8-a647295e0382,1.00,25.06,25.06,
5c49ac45-d721-4eb2-bde6-d84f1a6a7e81,1007d830-e892-4775-85ba-eab21a4f74ba,1.00,4.20,4.20,
ff0797a2-b5bf-4ddf-9c5b-72f30b34c933,1122c2bb-9431-4b9e-88b7-502d3eced492,1.00,21.80,21.80,
7b709ff7-b692-4f10-82d9-1cfd7f93458f,1460895d-a11d-436d-a977-6a865b636087,1.00,36.73,36.73,
78c9a284-388f-4aca-9351-cea110941308,16021e22-2c05-4e1b-bab1-e9c955793b76,1.00,6.58,6.58,
53ac6635-8ba3-4ffb-92f5-60d726a2daab,16da0bcf-d539-482a-97b9-1c4135e7d6ce,1.00,6.22,6.22,
4a88e583-dc03-488b-83ef-84b29bef4d71,183ecd2d-cdeb-4ac9-88c1-5cc98e8f05b4,1.00,11.25,11.25,
c90afa69-d18a-4c5a-a7be-e0bd0dd059b2,1d90914f-8dd6-484d-97ee-5018c64ad417,1.00,0.65,0.65,
3e0d3e12-2242-4242-91d8-b0d9a6e0f029,1fcec895-4ccf-4132-b69e-5976ce1b13c2,1.00,97.56,97.56,
50d8c63f-e84c-4c41-a6fd-079e3a5b195a,252a9d53-7b96-4cd0-a4ec-60907f9aa0d3,1.00,9.92,9.92,
6e0a862a-f8ab-429c-b473-d04045bb5c53,2716740c-d96f-43d2-8752-d41923410a0e,1.00,186.88,186.88,
321034e7-8434-47ea-9d5a-d478a6c76804,2784f863-cffc-4224-9d8b-6e9f58585b97,1.00,33.35,33.35,
03947eb8-2fb5-4f7c-ba08-c30e2b6e1724,2b1a8172-1b1e-4d6a-af5d-fa6fbae0f279,1.00,3.66,3.66,
20fa223c-58ca-41a7-a621-2ef66b5d3f2d,2f8dfe63-9bd3-40b4-b5f9-6a50d34c9495,1.00,25.05,25.05,
f650e6f3-903b-43cd-8e33-81af33e88040,3362358e-c276-4460-b2b9-a7b3a4a72803,1.00,35.72,35.72,
fa620d1c-ea6c-4ad7-845e-4f00de3a331e,3392ac79-f9b2-4566-9780-a2f84bc29c4d,1.00,9.30,9.30,
427b81aa-1ea3-4027-bdf6-d9ff47a65084,372da2b4-ef1c-43b7-a042-2fa831880229,1.00,27.41,27.41,
c6f6ab27-add2-43ba-87af-8e4610f9e9d6,396c357d-ae6d-44ea-b4fa-322483dd98ee,1.00,1.39,1.39,
6c882a1d-8358-4fb5-b091-e483eede23f6,3f2283ae-2f74-4028-96b6-574db403aca5,1.00,3.10,3.10,
5314ab7e-ad9a-45c8-b12a-0d657b46cb85,3f4017f9-6c5a-4801-8e2d-bab9f46a3be1,1.00,5.65,5.65,
fb1fc6fd-ea4a-41c0-b76b-97bb1d2b3e53,562f0e4c-6323-4b46-bb29-cad74f652a60,1.00,6.31,6.31,
9da3d4de-c2f2-473a-9fee-571ffdb14ef9,576d64ca-d3dc-4f49-9732-bd89e58ceb00,1.00,8.13,8.13,
20a4bbaa-a611-4731-b767-e71f91ffb950,58c7e5ae-8620-4daf-b87e-90d03420248e,1.00,22.70,22.70,
e2c3e1d8-a375-4776-aacd-d3a45baf0332,6d009771-8deb-4cc3-bbba-dea63ad30730,1.00,74.17,74.17,
215f8e00-4f67-4d98-81be-baf66933ff03,6d477c52-5b0f-498d-bb9f-d63a25861dfe,1.00,13.35,13.35,
bc6a2ece-6999-4c04-9f6a-5ba0a397e684,720868c3-8851-45bb-bada-4fdc8896b70f,1.00,5.97,5.97,
09799251-c45e-4953-adfd-74c295c7cf4c,7acc138f-c3df-47a2-a267-3579ac58efc2,1.00,71.03,71.03,
b60938df-f6b7-4953-9a8c-87e78a5ed83b,7c7826ad-672f-4835-98b0-e107fcc2064e,1.00,141.02,141.02,
25945968-578a-47fb-b976-14553f4133f0,8081b9e3-6f34-4464-a589-35b5aa7ca74b,1.00,9.45,9.45,
0c3d9bb2-fbd2-4ba3-a00c-487e02e390a3,8a98506f-372c-4e09-98f7-6696ea5dd539,1.00,2.39,2.39,
f10203c7-356c-46a5-9da7-50d09dba4076,8d8f7dd9-3047-45e0-9be1-0a61bcbb7009,1.00,1.63,1.63,
115be8b0-56d0-45c7-93e0-6d5430ef9cc2,9437a495-f3c4-4a1a-9e82-e1fffc969685,1.00,10.32,10.32,
0e1c19ca-0c02-4dac-b419-c3f5f59fde9a,9724e5bf-7b8e-4b99-8935-41c5086c0c70,1.00,69.41,69.41,
d7abe95b-5314-4243-b328-d277e1bc488b,9e873e9b-f2e2-4eba-b3fb-b79ac708cfdf,1.00,2.45,2.45,
609bf697-7c3c-4494-8818-793dad7c381a,ad160051-1c6e-4924-bf68-fa91a107ce03,1.00,4.21,4.21,
b2fd7f28-d8eb-46e1-9130-da72ff247b49,b3d7a594-f8c2-4040-af23-daa06ae2b5e8,1.00,0.55,0.55,
e0742c13-9cf1-411f-9feb-0c39b0a0b2ce,b4d54636-7cb1-4785-a6fd-9a1ad728b6d1,1.00,14.49,14.49,
2cb7e64b-d8c3-43f0-a92c-58b4d208ddc5,b6b55586-d686-4eac-8804-cc4100a8ab96,1.00,29.29,29.29,
108fa1fe-33c5-47b6-98af-7f79662b68c4,baffdc81-6f40-4580-b2e9-4ede3dd1a32c,1.00,25.23,25.23,
4b1aafd7-657a-49c5-93c5-24e9bb879786,cc60524d-d73b-47d0-86d4-91ba11d28a21,1.00,12.91,12.91,
7e59f907-08a0-41fe-81d2-20de3a42f96b,ddc62476-f0b5-41c1-9204-dd812ca0a36b,1.00,5.75,5.75,
cb0c15cf-8fae-45d4-99d5-f20bebd76e0c,de31a1be-2037-4411-903f-46240ee2d1eb,1.00,45.95,45.95,
bbbb1012-967f-44b8-a092-8f8415cf5691,e61213e8-eee6-40cb-9bf4-764cc316dc76,1.00,74.84,74.84,
