work_order_id,user_id,started_at,ended_at,hours,hourly_rate,cost,notes
6be47d13-3158-4260-8b86-e7c674f38c2d,a2bf22eb-df6b-412e-b676-e0d5811922db,2025-07-15T17:03:03.299720+00:00,2025-07-15T17:50:22.565153+00:00,0.79,22.50,17.78,Emergency call
f2f929fc-363b-463d-bc68-72faeabee693,aa18e589-82e5-45f5-81cf-4ff6732c1ebd,2025-09-02T07:39:03.299720+00:00,2025-09-02T12:53:21.069747+00:00,5.24,30.00,157.20,Emergency call
03947eb8-2fb5-4f7c-ba08-c30e2b6e1724,a5d0625a-430f-4c1b-a1ac-daeea63b5d39,2025-08-22T11:21:03.299720+00:00,2025-08-22T13:16:22.340719+00:00,1.92,30.00,57.60,Emergency call
b368c36c-529c-4b0e-8fb9-fa6564545ceb,95cec794-65fb-4056-ad26-b328e41b8960,2025-07-09T11:13:03.299720+00:00,2025-07-09T13:08:22.160256+00:00,1.92,20.00,38.40,Preventive check
f6a52872-98ae-4b83-a207-5b1950ad4a8e,767e648c-0d40-42be-9f62-c499af838a70,2025-08-07T23:52:03.299720+00:00,2025-08-08T01:46:23.081792+00:00,1.91,25.00,47.75,Preventive check
f10203c7-356c-46a5-9da7-50d09dba4076,2a0e1451-aba1-4afc-82ef-a90428c7fa43,2025-07-14T02:51:03.299720+00:00,2025-07-14T07:05:39.118234+00:00,4.24,45.00,190.80,Emergency call
3b78be55-493e-4f0d-942a-340ce189b0b8,73bda81f-0072-4f4f-ba5c-545f4cbb8c0e,2025-08-19T00:44:03.299720+00:00,2025-08-19T08:24:48.497741+00:00,7.68,27.50,211.20,Routine maintenance
64b83a54-6a4c-4f6a-bb12-031c1b98856c,767e648c-0d40-42be-9f62-c499af838a70,2025-07-13T14:50:03.299720+00:00,2025-07-13T19:07:03.562907+00:00,4.28,22.50,96.30,Follow-up
6d62e8f6-1ede-4cd6-8d45-783096d320cc,9ff50c5d-8b27-4bb9-a09e-e584d1f6a6db,2025-07-28T08:47:03.299720+00:00,2025-07-28T11:43:23.972966+00:00,2.94,45.00,132.30,Preventive check
bf71ae64-6b10-411d-94ab-2979c1e6a499,4c41558f-7c2f-4d77-b870-f32959fa5754,2025-07-17T15:38:03.299720+00:00,2025-07-17T22:53:54.060878+00:00,7.26,40.00,290.40,Routine maintenance
48ee0e9d-0aa3-41e7-a727-15ed6ea36609,6799aa59-d754-46bf-80d0-b0a0b174ee74,2025-07-22T14:37:03.299720+00:00,2025-07-22T16:40:11.476010+00:00,2.05,40.00,82.00,Follow-up
e065fd02-eea2-471d-b18d-1b889e59f400,9b5b33d2-2532-4938-8c90-800cff442482,2025-07-28T01:33:03.299720+00:00,2025-07-28T07:12:00.448812+00:00,5.65,27.50,155.38,Emergency call
ec1b47b7-64b5-4529-83ac-4db91d13ee09,919d26dd-c2fb-46f5-9b70-107f85fba63e,2025-07-10T00:09:03.299720+00:00,2025-07-10T06:56:38.050021+00:00,6.79,50.00,339.50,Preventive check
4d0b96dd-5aca-464d-a9ed-7f86585c0fd1,a528cb71-685a-466e-8082-a71103c2d8fa,2025-07-26T09:20:03.299720+00:00,2025-07-26T11:06:26.849705+00:00,1.77,30.00,53.10,Routine maintenance
fa620d1c-ea6c-4ad7-845e-4f00de3a331e,076c0ddc-a3f2-4466-add0-c636d33e8861,2025-08-09T04:27:03.299720+00:00,2025-08-09T05:26:33.272832+00:00,0.99,22.50,22.28,Routine maintenance
a9a3cbde-ae88-4db1-a021-4d124b673e1a,447d42be-5cdf-4e7d-bcff-18dd79698ac5,2025-08-13T12:14:03.299720+00:00,2025-08-13T17:56:06.681213+00:00,5.70,50.00,285.00,Preventive check
4d0b96dd-5aca-464d-a9ed-7f86585c0fd1,5f5103d7-85b5-4661-90d6-f9ee86b3d574,2025-07-10T23:09:03.299720+00:00,2025-07-11T01:47:23.759096+00:00,2.64,45.00,118.80,Emergency call
95db44c8-628d-4150-b106-c91a6936f5ab,45d22573-763b-441f-9155-2d1ebcc918c9,2025-08-04T06:14:03.299720+00:00,2025-08-04T13:00:47.606091+00:00,6.78,25.00,169.50,
232ae9e5-99d9-419c-825f-6c4850ea4351,c0f3d85e-c9ab-4a85-a663-2ff375ef550c,2025-08-03T00:40:03.299720+00:00,2025-08-03T04:51:51.965510+00:00,4.20,45.00,189.00,Follow-up
68f8d89b-e1f9-45d9-8032-57843c79c0fe,66991287-a418-44c6-bc7c-e3de9783ac5f,2025-07-26T09:12:03.299720+00:00,2025-07-26T13:04:19.940530+00:00,3.87,27.50,106.43,Emergency call
6e0a862a-f8ab-429c-b473-d04045bb5c53,c0f074e3-b10b-4307-a860-b16b3ab9bff6,2025-07-30T02:52:03.299720+00:00,2025-07-30T09:55:38.792746+00:00,7.06,20.00,141.20,Follow-up
a717ceec-9aae-41c5-ac24-14336510004e,9083e491-c030-4a97-8c0f-64921406ac9a,2025-07-21T12:31:03.299720+00:00,2025-07-21T17:20:31.619688+00:00,4.82,22.50,108.45,Follow-up
