line1,line2,city,state,postal_code,country,created_at,updated_at
420 NE Heritage Dr,Unit 12,Grimes,IA,50111,USA,2024-12-27T01:04:12,2024-10-31T01:04:12
130 W 3rd St,,Grimes,IA,50111,USA,2024-10-10T01:04:12,2024-09-01T01:04:12
1038 Linden Blvd,Unit 12,Grimes,IA,50111,USA,2025-02-15T01:04:12,2025-03-09T01:04:12
156 Douglas Pkwy,Unit 12,Grimes,IA,50111,USA,2025-05-17T01:04:12,2025-03-03T01:04:12
591 Stonegate Dr,,Grimes,IA,50111,USA,2025-04-29T01:04:12,2024-10-22T01:04:12
1449 Ankeny Blvd,,Grimes,IA,50111,USA,2024-09-29T01:04:12,2025-04-23T01:04:12
1021 E 1st St,Apt 101,Grimes,IA,50111,USA,2025-04-21T01:04:12,2025-05-06T01:04:12
392 NE 2nd St,Floor 2,Grimes,IA,50111,USA,2024-12-18T01:04:12,2025-06-13T01:04:12
1639 Sunset Blvd,,Grimes,IA,50111,USA,2025-07-18T01:04:12,2024-11-23T01:04:12
1614 Ankeny Blvd,,Grimes,IA,50111,USA,2025-06-12T01:04:12,2025-08-18T01:04:12
1713 Brookside Dr,,Grimes,IA,50111,USA,2025-08-11T01:04:12,2024-10-20T01:04:12
893 Brookside Dr,Unit 12,Grimes,IA,50111,USA,2025-06-10T01:04:12,2025-01-21T01:04:12
1014 Linden Cir,Floor 2,Grimes,IA,50111,USA,2024-10-17T01:04:12,2025-07-08T01:04:12
1352 SE 37th St,Apt 101,Grimes,IA,50111,USA,2025-05-03T01:04:12,2024-11-06T01:04:12
158 E 1st St,Apt 101,Grimes,IA,50111,USA,2025-04-05T01:04:12,2025-02-04T01:04:12
685 NE 2nd St,Unit 12,Grimes,IA,50111,USA,2025-08-26T01:04:12,2024-11-17T01:04:12
1713 Stonegate Dr,Unit 12,Grimes,IA,50111,USA,2025-04-22T01:04:12,2025-02-26T01:04:12
1254 SE 37th St,Unit 12,Grimes,IA,50111,USA,2025-01-18T01:04:12,2025-05-18T01:04:12
1471 SE 37th St,,Grimes,IA,50111,USA,2025-08-01T01:04:12,2024-10-15T01:04:12
1865 Ankeny Blvd,Floor 2,Grimes,IA,50111,USA,2024-10-24T01:04:12,2024-11-10T01:04:12
878 NE Heritage Dr,,Grimes,IA,50111,USA,2024-11-24T01:04:12,2025-04-24T01:04:12
1581 SE 11th St,,Grimes,IA,50111,USA,2025-07-08T01:04:12,2025-01-19T01:04:12
246 Pinewood Dr,,Grimes,IA,50111,USA,2024-11-09T01:04:12,2025-07-04T01:04:12
240 Pinewood Dr,,Grimes,IA,50111,USA,2025-07-28T01:04:12,2025-02-18T01:04:12
356 SE 11th St,,Grimes,IA,50111,USA,2025-08-11T01:04:12,2025-06-10T01:04:12
