vendor_no,name,tax_id,remit_to,contact,attributes,active
V0001,Meridian Facilities LLC,41-3744854,"{""attention"":""Accounts Payable"",""address1"":""1779 Elm St"",""address2"":""Suite 658"",""city"":""Dallas Center"",""state"":""KS"",""postal"":""51041"",""country"":""US""}","{""name"":""Alex Williams"",""email"":""ap@meridianfacilitiesllc.com"",""phone"":""555-423-4811""}","{""payment_terms"":""Net 30"",""category"":""Transportation"",""preferred"":false}","1"
V0002,Prairie Wellness Solutions,10-2678638,"{""attention"":""Finance"",""address1"":""5674 Maple St"",""address2"":null,""city"":""Clive"",""state"":""NE"",""postal"":""53039"",""country"":""US""}","{""name"":""Reese Brown"",""email"":""ap@prairiewellnesssolutions.com"",""phone"":""555-567-6635""}","{""payment_terms"":""Net 60"",""category"":""Facilities"",""preferred"":false}","1"
V0003,Prime Services Co.,89-6067228,"{""attention"":""Accounts Payable"",""address1"":""1239 Main St"",""address2"":null,""city"":""Johnston"",""state"":""NE"",""postal"":""57628"",""country"":""US""}","{""name"":""Riley Gonzalez"",""email"":""ap@primeservicesco.com"",""phone"":""555-484-8428""}","{""payment_terms"":""Net 60"",""category"":""Foodservice"",""preferred"":false}","1"
V0004,Northstar Services Ltd.,41-2741438,"{""attention"":""Finance"",""address1"":""6316 Maple St"",""address2"":""Suite 755"",""city"":""Waukee"",""state"":""WI"",""postal"":""51832"",""country"":""US""}","{""name"":""Quinn Johnson"",""email"":""ap@northstarservicesltd.com"",""phone"":""555-523-7572""}","{""payment_terms"":""Net 60"",""category"":""Technology"",""preferred"":true}","1"
V0005,Granite Athletics Group,60-7698256,"{""attention"":""Accounts Payable"",""address1"":""4439 Oak St"",""address2"":null,""city"":""Johnston"",""state"":""KS"",""postal"":""69121"",""country"":""US""}","{""name"":""Reese Lopez"",""email"":""ap@graniteathleticsgroup.com"",""phone"":""555-424-3266""}","{""payment_terms"":""Due on Receipt"",""category"":""Technology"",""preferred"":false}","1"
V0006,Aurora Transportation Systems,59-6402509,"{""attention"":""Finance"",""address1"":""8769 Maple St"",""address2"":""Suite 981"",""city"":""Grimes"",""state"":""NE"",""postal"":""67595"",""country"":""US""}","{""name"":""Morgan Hernandez"",""email"":""ap@auroratransportationsystems.com"",""phone"":""555-314-5808""}","{""payment_terms"":""Due on Receipt"",""category"":""Foodservice"",""preferred"":false}","1"
V0007,Skyline Curriculum Ltd.,23-5007072,"{""attention"":""Accounts Payable"",""address1"":""2604 Maple St"",""address2"":""Suite 652"",""city"":""Grimes"",""state"":""WI"",""postal"":""66010"",""country"":""US""}","{""name"":""Alex Brown"",""email"":""ap@skylinecurriculumltd.com"",""phone"":""555-571-6038""}","{""payment_terms"":""Net 45"",""category"":""Facilities"",""preferred"":true}","1"
V0008,Cedar Services Solutions,78-2109911,"{""attention"":""Accounts Payable"",""address1"":""7887 3rd St"",""address2"":null,""city"":""Ankeny"",""state"":""MO"",""postal"":""67671"",""country"":""US""}","{""name"":""Cameron Martinez"",""email"":""ap@cedarservicessolutions.com"",""phone"":""555-608-7118""}","{""payment_terms"":""Due on Receipt"",""category"":""Consulting"",""preferred"":true}","1"
V0009,Oakstone Education Group,10-1191066,"{""attention"":""AP Dept"",""address1"":""3850 Main St"",""address2"":""Suite 980"",""city"":""Clive"",""state"":""NE"",""postal"":""66847"",""country"":""US""}","{""name"":""Quinn Rodriguez"",""email"":""ap@oakstoneeducationgroup.com"",""phone"":""555-885-8953""}","{""payment_terms"":""Net 45"",""category"":""Foodservice"",""preferred"":false}","1"
V0010,Evergreen Textbooks Group,62-3194548,"{""attention"":""AP Dept"",""address1"":""1688 Elm St"",""address2"":null,""city"":""Ankeny"",""state"":""KS"",""postal"":""65303"",""country"":""US""}","{""name"":""Jordan Brown"",""email"":""ap@evergreentextbooksgroup.com"",""phone"":""555-262-7596""}","{""payment_terms"":""Net 60"",""category"":""Technology"",""preferred"":true}","1"
V0011,Riverview Foodservice Systems,69-4191056,"{""attention"":""AP Dept"",""address1"":""7360 Cedar St"",""address2"":""Suite 663"",""city"":""Dallas Center"",""state"":""IA"",""postal"":""67713"",""country"":""US""}","{""name"":""Alex Williams"",""email"":""ap@riverviewfoodservicesystems.com"",""phone"":""555-971-4872""}","{""payment_terms"":""Net 45"",""category"":""Books"",""preferred"":false}","1"
V0012,Prime Technology Ltd.,59-4449368,"{""attention"":""Finance"",""address1"":""4773 2nd St"",""address2"":null,""city"":""West Des Moines"",""state"":""MN"",""postal"":""56222"",""country"":""US""}","{""name"":""Avery Miller"",""email"":""ap@primetechnologyltd.com"",""phone"":""555-259-9883""}","{""payment_terms"":""Net 30"",""category"":""Janitorial"",""preferred"":true}","1"
V0013,Westfield AV Media Ltd.,75-1344047,"{""attention"":""Accounts Payable"",""address1"":""1222 3rd St"",""address2"":null,""city"":""Waukee"",""state"":""KS"",""postal"":""53928"",""country"":""US""}","{""name"":""Dakota Davis"",""email"":""ap@westfieldavmedialtd.com"",""phone"":""555-792-1651""}","{""payment_terms"":""Net 30"",""category"":""Books"",""preferred"":false}","1"
V0014,Oakstone Curriculum Group,50-4004485,"{""attention"":""Billing"",""address1"":""6584 Oak St"",""address2"":null,""city"":""Johnston"",""state"":""SD"",""postal"":""60360"",""country"":""US""}","{""name"":""Taylor Smith"",""email"":""ap@oakstonecurriculumgroup.com"",""phone"":""555-669-2638""}","{""payment_terms"":""Net 30"",""category"":""Transportation"",""preferred"":false}","1"
V0015,Silverline Services Group,30-7351517,"{""attention"":""Billing"",""address1"":""8766 Main St"",""address2"":null,""city"":""Johnston"",""state"":""NE"",""postal"":""54400"",""country"":""US""}","{""name"":""Morgan Brown"",""email"":""ap@silverlineservicesgroup.com"",""phone"":""555-309-3546""}","{""payment_terms"":""Net 60"",""category"":""Security"",""preferred"":false}","1"
V0016,Harbor Curriculum Solutions,16-1548511,"{""attention"":""Finance"",""address1"":""4633 Main St"",""address2"":null,""city"":""Urbandale"",""state"":""IL"",""postal"":""55294"",""country"":""US""}","{""name"":""Emerson Moore"",""email"":""ap@harborcurriculumsolutions.com"",""phone"":""555-922-8007""}","{""payment_terms"":""Net 30"",""category"":""Technology"",""preferred"":true}","1"
V0017,Aurora Janitorial LLC,84-9269832,"{""attention"":""Accounts Payable"",""address1"":""7141 Oak St"",""address2"":null,""city"":""Clive"",""state"":""IA"",""postal"":""61724"",""country"":""US""}","{""name"":""Cameron Davis"",""email"":""ap@aurorajanitorialllc.com"",""phone"":""555-882-2684""}","{""payment_terms"":""Net 60"",""category"":""Books"",""preferred"":false}","1"
V0018,Vertex Transportation Ltd.,13-3009172,"{""attention"":""Billing"",""address1"":""6845 Cedar St"",""address2"":null,""city"":""Waukee"",""state"":""IL"",""postal"":""55216"",""country"":""US""}","{""name"":""Riley Gonzalez"",""email"":""ap@vertextransportationltd.com"",""phone"":""555-239-8711""}","{""payment_terms"":""Net 45"",""category"":""Transportation"",""preferred"":false}","1"
V0019,Blue Ridge Wellness Group,34-6685149,"{""attention"":""Billing"",""address1"":""4664 Cedar St"",""address2"":null,""city"":""Johnston"",""state"":""WI"",""postal"":""66692"",""country"":""US""}","{""name"":""Reese Moore"",""email"":""ap@blueridgewellnessgroup.com"",""phone"":""555-539-1452""}","{""payment_terms"":""Net 30"",""category"":""Security"",""preferred"":true}","1"
V0020,Northstar Technology Inc.,54-5262632,"{""attention"":""Finance"",""address1"":""8479 Main St"",""address2"":null,""city"":""Waukee"",""state"":""IL"",""postal"":""51454"",""country"":""US""}","{""name"":""Rowan Smith"",""email"":""ap@northstartechnologyinc.com"",""phone"":""555-732-9821""}","{""payment_terms"":""Net 45"",""category"":""Janitorial"",""preferred"":false}","1"
V0021,Oakstone Consulting Partners,25-5038571,"{""attention"":""Billing"",""address1"":""6791 Maple St"",""address2"":null,""city"":""Johnston"",""state"":""MN"",""postal"":""56286"",""country"":""US""}","{""name"":""Rowan Gonzalez"",""email"":""ap@oakstoneconsultingpartners.com"",""phone"":""555-893-3851""}","{""payment_terms"":""Net 60"",""category"":""Books"",""preferred"":false}",false
V0022,Blue Ridge Security Systems,87-5406444,"{""attention"":""Finance"",""address1"":""7338 2nd St"",""address2"":null,""city"":""West Des Moines"",""state"":""MN"",""postal"":""52778"",""country"":""US""}","{""name"":""Avery Taylor"",""email"":""ap@blueridgesecuritysystems.com"",""phone"":""555-879-6491""}","{""payment_terms"":""Net 30"",""category"":""Transportation"",""preferred"":false}","1"
V0023,Harbor Foodservice LLC,70-1221854,"{""attention"":""Finance"",""address1"":""6890 Elm St"",""address2"":null,""city"":""Ankeny"",""state"":""SD"",""postal"":""63095"",""country"":""US""}","{""name"":""Quinn Jones"",""email"":""ap@harborfoodservicellc.com"",""phone"":""555-871-1090""}","{""payment_terms"":""Net 30"",""category"":""Books"",""preferred"":true}","1"
V0024,Granite AV Media Solutions,41-2036059,"{""attention"":""Finance"",""address1"":""2284 Cedar St"",""address2"":null,""city"":""Clive"",""state"":""SD"",""postal"":""66540"",""country"":""US""}","{""name"":""Rowan Moore"",""email"":""ap@graniteavmediasolutions.com"",""phone"":""555-656-3607""}","{""payment_terms"":""Due on Receipt"",""category"":""Consulting"",""preferred"":true}","1"
V0025,Meridian Curriculum Solutions,45-7379837,"{""attention"":""AP Dept"",""address1"":""4781 Oak St"",""address2"":null,""city"":""Clive"",""state"":""NE"",""postal"":""54534"",""country"":""US""}","{""name"":""Casey Davis"",""email"":""ap@meridiancurriculumsolutions.com"",""phone"":""555-592-3503""}","{""payment_terms"":""Net 45"",""category"":""Technology"",""preferred"":false}","1"
V0026,Riverview Cloud LLC,63-6534336,"{""attention"":""AP Dept"",""address1"":""9532 2nd St"",""address2"":null,""city"":""Clive"",""state"":""IL"",""postal"":""62779"",""country"":""US""}","{""name"":""Rowan Moore"",""email"":""ap@riverviewcloudllc.com"",""phone"":""555-965-9947""}","{""payment_terms"":""Net 45"",""category"":""Consulting"",""preferred"":true}","1"
