building_code,space_code,tag,serial_no,manufacturer,model,category,status,install_date,warranty_expires_at,expected_life_months,attributes
FAC-109-BLDG-01,310,ASSET-000001,TPQ002657,Hanwha,X721A,Security Camera,In Service,2014-04-03,2016-06-27,84,"{""resolution_mp"": 5}"
FAC-109-BLDG-01,116,ASSET-000002,UCK332041,Trane,R142B,HVAC - AHU,Spare,2021-11-23,2025-12-27,240,"{""tonnage"": 30}"
FAC-109-BLDG-01,114,ASSET-000003,BFC263322,Traulsen,M702B,Refrigerator (Kitchen),Retired,2009-02-16,2010-07-12,180,
FAC-109-BLDG-01,102,ASSET-000004,FHU088409,Hanwha,Z429D,Security Camera,In Service,2007-07-24,2010-04-28,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-01,204,ASSET-000005,NTL539147,Aruba,Q611D,Wireless AP,Spare,2020-03-26,2024-10-01,60,"{""wifi"": ""802.11ax""}"
FAC-109-BLDG-01,307,ASSET-000006,WAT652614,York,X395E,HVAC - RTU,In Service,2007-06-20,2009-12-10,180,"{""tonnage"": 50}"
FAC-109-BLDG-01,,ASSET-000007,EJD999541,Notifier,M168C,Fire Alarm Panel,In Service,2016-10-06,2019-02-08,180,
FAC-109-BLDG-01,116,ASSET-000008,UDM528425,Taco,Q040D,Pump,In Service,2019-02-25,2024-02-24,120,"{""gpm"": 150}"
FAC-109-BLDG-01,118,ASSET-000009,PQA700035,LenelS2,Q420A,Access Control Panel,In Service,2012-10-10,2014-12-22,180,
FAC-109-BLDG-01,205,ASSET-000010,ECL447690,Canon,Q547E,Printer,In Service,2016-01-20,2017-08-30,60,
FAC-109-BLDG-01,110,ASSET-000011,VWC650072,Bosch,X148A,Security Camera,In Service,2012-11-12,2015-01-23,84,"{""resolution_mp"": 2}"
FAC-109-BLDG-01,,ASSET-000012,LYZ571295,Cisco,Z927C,Wireless AP,In Service,2006-11-20,2009-08-23,60,"{""wifi"": ""802.11ax""}"
FAC-109-BLDG-01,110,ASSET-000013,BBW495500,Ubiquiti,Q505E,Network Switch,In Service,2010-12-26,2014-11-30,84,"{""ports"": 48}"
FAC-109-BLDG-01,301,ASSET-000014,LYY065055,HP,R321D,Printer,In Service,2015-11-01,2017-03-20,60,
FAC-109-BLDG-01,305,ASSET-000015,NSP918287,Dell,M539E,Laptop,In Service,2017-05-05,2021-09-24,48,
FAC-109-BLDG-01,,ASSET-000016,CLG076275,Carrier,R249E,HVAC - AHU,In Service,2023-06-12,2025-01-26,240,"{""tonnage"": 30}"
FAC-109-BLDG-01,116,ASSET-000017,HXV882217,Dell,M851A,Laptop,Spare,2014-07-19,2019-01-10,48,
FAC-109-BLDG-01,307,ASSET-000018,THY888271,Epson,Q988A,Projector,Spare,2013-02-08,2015-05-09,72,
FAC-109-BLDG-01,109,ASSET-000019,HWZ263959,Weil-McLain,Z720A,Boiler,In Service,2017-10-21,2019-10-21,180,
FAC-109-BLDG-01,208,ASSET-000020,ZCX104586,Lennox,X537C,HVAC - RTU,Retired,2007-02-18,2011-11-22,180,"{""tonnage"": 15}"
FAC-109-BLDG-02,206,ASSET-000021,XNS365163,Axis,Q966A,Security Camera,In Service,2019-10-05,2024-03-17,84,"{""resolution_mp"": 8}"
FAC-109-BLDG-02,,ASSET-000022,HLS579762,Ubiquiti,Q327D,Wireless AP,In Service,2009-10-10,2012-08-26,60,"{""wifi"": ""802.11ac""}"
FAC-109-BLDG-02,102,ASSET-000023,QUL857331,Hanwha,Z810E,Security Camera,In Service,2006-10-27,2008-06-01,84,"{""resolution_mp"": 4}"
