id,student_id,section_meeting_id,date,code,minutes,notes,created_at,updated_at
3a654c3d-a703-44df-804e-99d424b4662a,0f89ea3a-a47d-4a92-91f5-8fda4b325cb8,67fae5a0-7373-4df7-a232-f80689541d74,2025-03-10,OSS,,Verified by office,2025-09-05T17:34:23.308114+00:00,2025-09-05T17:34:23.308114+00:00
28f6cffa-26aa-433e-ba1d-427fca0fedda,6df281b6-9e3e-4efb-a0fa-16b5b0fae2ab,686e2376-2918-4c6f-9f99-0288889a79c4,2025-04-08,ISS,60,Parent called,2025-09-05T17:34:23.308176+00:00,2025-09-05T17:34:23.308176+00:00
f4401b0e-010d-4265-86a0-09436319278f,1faa09eb-9b75-42a4-8573-529fcb02c2b1,99f996df-20b6-4041-ad57-a6c3500a0425,2025-07-24,T-UNX,5,Tardy due to bus delay,2025-09-05T17:34:23.308202+00:00,2025-09-05T17:34:23.308202+00:00
7e6dd7d4-68d3-4813-aeff-e2389212d69b,0f89ea3a-a47d-4a92-91f5-8fda4b325cb8,262f396b-bd8d-4e73-b6aa-c5f89ca08f03,2025-08-13,A-UNX,0,Parent called,2025-09-05T17:34:23.308224+00:00,2025-09-05T17:34:23.308224+00:00
86873445-b573-4410-94cb-588cd756b1f1,c151150b-a12c-41a0-a43f-8357bc1e8c20,57054ec7-91c2-49c6-a7d8-ed6fff038237,2025-03-22,MED,,Left early for appointment,2025-09-05T17:34:23.308244+00:00,2025-09-05T17:34:23.308244+00:00
ccad5d19-2245-408e-b7a1-0d0a043af79b,544e394a-b65c-499d-8919-81dfbd6eb6f7,1c8e2fc4-8979-4e69-a1fc-7e64c20f5a79,2025-03-25,A-EXC,0,Verified by office,2025-09-05T17:34:23.308265+00:00,2025-09-05T17:34:23.308265+00:00
7e9f7d06-b320-4ea1-ba88-ccc4c5150c42,ee9634bf-b92f-4093-89ba-fe9f20ed2adb,eab02b10-3603-4b3c-8a0d-f100fcc46815,2025-05-25,A-UNX,,Left early for appointment,2025-09-05T17:34:23.308286+00:00,2025-09-05T17:34:23.308286+00:00
fdee4104-0a70-4a4a-ba5e-4cdab35f0831,544e394a-b65c-499d-8919-81dfbd6eb6f7,2a56419e-2554-477d-9e5f-2d2b1533d639,2025-09-05,ED-EXC,10,Left early for appointment,2025-09-05T17:34:23.308305+00:00,2025-09-05T17:34:23.308305+00:00
60a3ff75-89e4-4f54-81a0-2c82e38582f9,9ad1e3df-1d4d-47c7-ba55-85a725f887bc,33e40e6b-23ff-4700-8a2a-a04463d1b5cc,2025-05-28,A-EXC,10,Tardy due to bus delay,2025-09-05T17:34:23.308325+00:00,2025-09-05T17:34:23.308325+00:00
6fc4a241-685e-41c6-a6a7-08d62cb1b8f3,c0ad55d4-dc88-448c-bf92-e8e04cb4a6f0,312345d3-18f5-47ab-a42e-a14f01f7aa6c,2025-08-21,MED,,Tardy due to bus delay,2025-09-05T17:34:23.308345+00:00,2025-09-05T17:34:23.308345+00:00
9a4339ca-8265-4819-93f0-89af86fc9949,544493a8-2346-46a3-bbfe-d7507ebbf876,0609db1f-302e-4015-9985-b16bb272f3c8,2025-07-09,A-EXC,30,Left early for appointment,2025-09-05T17:34:23.308364+00:00,2025-09-05T17:34:23.308364+00:00
403450ee-f661-4235-aa5c-c76b99a0e7aa,56c29032-427b-42e9-855a-f420c89ebb64,fc453b56-725d-4444-b2db-100aee1ec0eb,2025-07-05,ISS,10,Tardy due to bus delay,2025-09-05T17:34:23.308383+00:00,2025-09-05T17:34:23.308383+00:00
bcfb751d-a6f6-4c9e-97bc-5cb9a38c3545,ee9634bf-b92f-4093-89ba-fe9f20ed2adb,028cc8d3-63a2-48b4-abf9-78b69805cbb6,2025-04-19,T-EXC,,Left early for appointment,2025-09-05T17:34:23.308403+00:00,2025-09-05T17:34:23.308403+00:00
4b565cb2-d5d3-4f79-b179-ba606741d29a,8c7e92ed-d98a-4de5-b353-3539711d623d,2220bc27-9df2-4b42-b77b-9e3f12225d56,2025-04-21,FAM,45,,2025-09-05T17:34:23.308422+00:00,2025-09-05T17:34:23.308422+00:00
