facility_code,facility_name,name,code,year_built,floors_count,gross_sqft,use_type,address,attributes
FAC-109,Dallas Center-Grimes High School,Maintenance Shop,FAC-109-BLDG-01,1973,3,25629.17,Maintenance,"{""line1"": ""858 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-109,Dallas Center-Grimes High School,Science Wing,FAC-109-BLDG-02,1970,2,80570.55,Academic,"{""line1"": ""130 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-109,Dallas Center-Grimes High School,Main Academic Building,FAC-109-BLDG-03,1978,1,94921.11,Academic,"{""line1"": ""127 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-109,Dallas Center-Grimes High School,Administration,FAC-109-BLDG-04,1977,3,119780.12,Administration,"{""line1"": ""658 Elm St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-109,Dallas Center-Grimes High School,Performing Arts Center,FAC-109-BLDG-05,1979,2,109353.70,Arts,"{""line1"": ""928 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-109,Dallas Center-Grimes High School,Early Childhood Center,FAC-109-BLDG-06,2013,1,128079.98,Early Childhood,"{""line1"": ""448 Park Dr"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-209,Dallas Center-Grimes Middle School,Athletics Center,FAC-209-BLDG-01,1971,1,153769.03,Athletics,"{""line1"": ""718 Park Dr"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-209,Dallas Center-Grimes Middle School,Performing Arts Center,FAC-209-BLDG-02,2016,1,133513.87,Arts,"{""line1"": ""649 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-209,Dallas Center-Grimes Middle School,Library/Media Center,FAC-209-BLDG-03,1989,1,102950.99,Academic,"{""line1"": ""949 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-209,Dallas Center-Grimes Middle School,Science Wing,FAC-209-BLDG-04,2021,1,107304.57,Academic,"{""line1"": ""821 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-209,Dallas Center-Grimes Middle School,Field House,FAC-209-BLDG-05,1967,3,47198.50,Athletics,"{""line1"": ""396 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-209,Dallas Center-Grimes Middle School,Maintenance Shop,FAC-209-BLDG-06,2019,1,157035.19,Maintenance,"{""line1"": ""489 Park Dr"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-436,Dallas Center Elementary,Gymnasium,FAC-436-BLDG-01,1978,3,53920.19,Athletics,"{""line1"": ""799 Main St"", ""city"": ""Dallas Center"", ""region"": ""IA"", ""postal"": ""50063""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-436,Dallas Center Elementary,Maintenance Shop,FAC-436-BLDG-02,2003,3,37435.85,Maintenance,"{""line1"": ""846 Maple Ave"", ""city"": ""Dallas Center"", ""region"": ""IA"", ""postal"": ""50063""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-436,Dallas Center Elementary,Library/Media Center,FAC-436-BLDG-03,1975,2,73266.34,Academic,"{""line1"": ""755 Oak St"", ""city"": ""Dallas Center"", ""region"": ""IA"", ""postal"": ""50063""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-436,Dallas Center Elementary,Athletics Center,FAC-436-BLDG-04,1979,3,63776.63,Athletics,"{""line1"": ""886 Main St"", ""city"": ""Dallas Center"", ""region"": ""IA"", ""postal"": ""50063""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-436,Dallas Center Elementary,Bus Garage,FAC-436-BLDG-05,1979,1,146467.88,Transportation,"{""line1"": ""510 Park Dr"", ""city"": ""Dallas Center"", ""region"": ""IA"", ""postal"": ""50063""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-436,Dallas Center Elementary,Field House,FAC-436-BLDG-06,1969,1,165059.41,Athletics,"{""line1"": ""680 Park Dr"", ""city"": ""Dallas Center"", ""region"": ""IA"", ""postal"": ""50063""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-437,Heritage Elementary,Performing Arts Center,FAC-437-BLDG-01,1981,1,50419.93,Arts,"{""line1"": ""674 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-437,Heritage Elementary,Maintenance Shop,FAC-437-BLDG-02,1981,3,108548.79,Maintenance,"{""line1"": ""697 Elm St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-437,Heritage Elementary,Gymnasium,FAC-437-BLDG-03,1988,1,179540.03,Athletics,"{""line1"": ""241 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-437,Heritage Elementary,Cafeteria & Kitchen,FAC-437-BLDG-04,1996,1,137994.53,Dining,"{""line1"": ""981 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-437,Heritage Elementary,Bus Garage,FAC-437-BLDG-05,1974,3,35516.90,Transportation,"{""line1"": ""796 Elm St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-437,Heritage Elementary,Science Wing,FAC-437-BLDG-06,2003,1,74179.98,Academic,"{""line1"": ""710 Elm St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-418,North Ridge Elementary,Field House,FAC-418-BLDG-01,2021,2,137150.98,Athletics,"{""line1"": ""887 Park Dr"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-418,North Ridge Elementary,Administration,FAC-418-BLDG-02,1972,1,82779.62,Administration,"{""line1"": ""564 Main St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-418,North Ridge Elementary,Early Childhood Center,FAC-418-BLDG-03,2011,3,53302.92,Early Childhood,"{""line1"": ""612 Maple Ave"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-418,North Ridge Elementary,Main Academic Building,FAC-418-BLDG-04,1997,1,157729.19,Academic,"{""line1"": ""405 Oak St"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-418,North Ridge Elementary,Science Wing,FAC-418-BLDG-05,2003,1,34288.35,Academic,"{""line1"": ""880 Maple Ave"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
FAC-418,North Ridge Elementary,Library/Media Center,FAC-418-BLDG-06,1999,2,165980.88,Academic,"{""line1"": ""713 Park Dr"", ""city"": ""Grimes"", ""region"": ""IA"", ""postal"": ""50111""}","{""status"": ""active"", ""last_assessed"": ""2025-08-29""}"
