route_name,stop_name,arrival_time,departure_time,created_at,updated_at
DCG-01 — Dallas Center North,Stop 1: Lakeview & Highland Ave,06:24,06:28,2024-10-31T15:39:37Z,2024-12-01T15:39:37Z
DCG-01 — Dallas Center North,Stop 2: River & Birch Way,06:28,06:29,2024-11-20T15:39:37Z,2025-01-18T15:39:37Z
DCG-01 — Dallas Center North,Stop 3: Cedar & Oak Dr,06:34,06:37,2025-01-10T15:39:37Z,2025-04-28T15:39:37Z
DCG-01 — Dallas Center North,Stop 3: Cedar & Oak Dr,07:08,07:12,2024-09-04T15:39:37Z,2024-09-21T15:39:37Z
DCG-01 — Dallas Center North,Stop 4: Willow & Broad Pl,06:30,06:34,2025-04-30T15:39:37Z,2025-08-21T15:39:37Z
DCG-01 — Dallas Center North,Stop 4: Willow & Broad Pl,07:26,07:27,2025-03-04T15:39:37Z,2025-05-30T15:39:37Z
DCG-01 — Dallas Center North,Stop 5: Park & Highland Dr,06:42,06:43,2025-04-21T15:39:37Z,2025-05-16T15:39:37Z
DCG-01 — Dallas Center North,Stop 6: Birch & Ash Ct,06:42,06:44,2025-01-23T15:39:37Z,2025-03-15T15:39:37Z
DCG-01 — Dallas Center North,Stop 7: Elm & Hickory Way,06:58,06:59,2025-05-07T15:39:37Z,2025-05-26T15:39:37Z
DCG-01 — Dallas Center North,Stop 8: Sunset & Ridge Rd,06:54,06:55,2024-11-24T15:39:37Z,2025-01-21T15:39:37Z
DCG-01 — Dallas Center North,Stop 8: Sunset & Ridge Rd,07:22,07:23,2024-10-18T15:39:37Z,2025-02-05T15:39:37Z
DCG-01 — Dallas Center North,Stop 9: Maple & Park St,07:07,07:11,2025-04-24T15:39:37Z,2025-05-19T15:39:37Z
DCG-01 — Dallas Center North,Stop 10: Cedar & Hickory Ln,07:03,07:05,2025-05-02T15:39:37Z,2025-07-19T15:39:37Z
DCG-01 — Dallas Center North,Stop 10: Cedar & Hickory Ln,07:22,07:23,2024-12-28T15:39:37Z,2025-04-06T15:39:37Z
DCG-01 — Dallas Center North,Stop 11: Pine & Hickory Rd,07:05,07:08,2025-08-07T15:39:37Z,2025-12-04T15:39:37Z
DCG-01 — Dallas Center North,Stop 11: Pine & Hickory Rd,07:57,07:59,2025-04-19T15:39:37Z,2025-04-25T15:39:37Z
DCG-01 — Dallas Center North,Stop 12: Maple & Main Blvd,06:58,07:01,2025-08-23T15:39:37Z,2025-09-27T15:39:37Z
DCG-02 — Dallas Center South,Stop 1: Hickory & Broad Dr,07:04,07:07,2024-09-22T15:39:37Z,2024-12-05T15:39:37Z
DCG-02 — Dallas Center South,Stop 1: Hickory & Broad Dr,07:54,07:58,2025-02-12T15:39:37Z,2025-02-19T15:39:37Z
DCG-02 — Dallas Center South,Stop 2: Ridge & Valley Way,07:04,07:06,2025-03-15T15:39:37Z,2025-07-06T15:39:37Z
DCG-02 — Dallas Center South,Stop 3: Elm & Sunset Ln,07:11,07:14,2024-10-10T15:39:37Z,2025-01-18T15:39:37Z
DCG-02 — Dallas Center South,Stop 4: River & Broad Ave,07:09,07:11,2025-02-23T15:39:37Z,2025-04-03T15:39:37Z
DCG-02 — Dallas Center South,Stop 4: River & Broad Ave,07:48,07:52,2024-10-29T15:39:37Z,2025-01-22T15:39:37Z
DCG-02 — Dallas Center South,Stop 5: Ridge & Elm Dr,07:18,07:20,2025-01-31T15:39:37Z,2025-02-16T15:39:37Z
DCG-02 — Dallas Center South,Stop 5: Ridge & Elm Dr,08:10,08:12,2024-10-23T15:39:37Z,2025-02-17T15:39:37Z
DCG-02 — Dallas Center South,Stop 6: Lakeview & Ash St,07:33,07:35,2025-07-22T15:39:37Z,2025-11-09T15:39:37Z
DCG-02 — Dallas Center South,Stop 6: Lakeview & Ash St,08:05,08:08,2025-05-29T15:39:37Z,2025-07-25T15:39:37Z
