id,meeting_id,parent_id,position,title,description,time_allocated_minutes,subject_id,course_id,created_at,updated_at
7bd1227c-df56-4463-b0b0-76952caf20fb,004c413a-49f2-4784-aeaa-f24f834d511f,,1,Opening Remarks #1,Public comment period included.,15,f96b75f8-d191-49be-b03f-1ec332dd4fd5,af3ad713-1546-4f57-bd4d-fff22dd028be,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
c8a786e3-510b-44e5-8eec-b93307fa24c3,004c413a-49f2-4784-aeaa-f24f834d511f,,2,Action Items #2,Presentation from staff.,20,67153dc8-8449-4ce5-b8a7-d40b6b2bc4bd,5a20e27c-13b6-4ccd-b90e-5aef89926754,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
a8d39af8-f45a-4492-bc0f-a544ddb1d007,004c413a-49f2-4784-aeaa-f24f834d511f,c8a786e3-510b-44e5-8eec-b93307fa24c3,3,Old Business #3,Discussion led by chair.,15,ac35b494-9b9a-499e-ad65-931f3053a28f,ecb93b15-9c68-4858-84a2-fdf23e890ae1,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
d4279da9-03b1-44ca-8a10-ad095b375c36,5dc9af3c-2427-44f3-a98c-83116c8d847f,,1,Community Input #1,,10,4069b95c-df27-4bf9-9ace-6704587d0081,8309fc55-a452-4c92-a4ed-bc3cf5327998,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
028f9f58-8c5c-4bdb-ab38-7a7570aff9a4,5dc9af3c-2427-44f3-a98c-83116c8d847f,d4279da9-03b1-44ca-8a10-ad095b375c36,2,Community Input #2,Review supporting documents.,,49cdcc9d-72be-4316-8a25-04259436b224,22132c6e-ca31-4eb0-bab1-a0359d00186d,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
1462b682-aac1-42ac-a66d-77e77c7225f1,5dc9af3c-2427-44f3-a98c-83116c8d847f,028f9f58-8c5c-4bdb-ab38-7a7570aff9a4,3,Action Items #3,Review supporting documents.,10,d938c036-ecb3-4d75-9f08-a0374e343752,9f3654ea-3dac-40e7-827b-1bbe614d20b7,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
a73a32da-c738-4c79-a3ee-61ee65df85d1,5dc9af3c-2427-44f3-a98c-83116c8d847f,,4,Community Input #4,Review supporting documents.,30,5adc7c69-a5b5-480e-af53-44f0cc1529e0,269dd65a-06d5-47c7-bbe7-88c38c4fcab8,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
43712295-1783-484a-9b83-f475cba2d96f,6cd0df64-a72a-4729-9141-dda68dc0253f,,1,Policy Discussion #1,Public comment period included.,15,9c09501b-c7ce-4678-8cb8-e4218fb737b1,75037969-b0ca-412c-90c7-6a0e6eb68ce7,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
dc5ef43d-840d-43d1-9bf0-66b496dfc507,6cd0df64-a72a-4729-9141-dda68dc0253f,,2,New Business #2,,30,789a67f3-d8a7-4fda-831b-4de9c3df02a6,df06b7dc-7baa-4a80-b8ae-9f8a48cecf2d,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
35c354cf-a9ba-4497-b8a5-cc880cc8b809,6cd0df64-a72a-4729-9141-dda68dc0253f,,3,Curriculum Review #3,Discussion led by chair.,10,e0c2903c-ec84-4a12-9cf3-a7467c91dad7,8aadf2e6-8f5f-4c9b-86f2-840784d8f476,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
0d3d7dd6-c8aa-449d-9c98-62cb64014eae,6cd0df64-a72a-4729-9141-dda68dc0253f,43712295-1783-484a-9b83-f475cba2d96f,4,Assessment Alignment #4,Public comment period included.,30,31985851-0fa0-489f-b888-9b4d8fa25352,105b8fc5-46f5-4fa0-b5fb-3bc15e284815,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
0f139b59-a262-4d1f-8773-4bed690fa2c7,6cd0df64-a72a-4729-9141-dda68dc0253f,35c354cf-a9ba-4497-b8a5-cc880cc8b809,5,Curriculum Review #5,Public comment period included.,30,bafed724-17b7-4361-be4c-5da543691f1b,0799a366-10b1-447c-92fc-be232fd06a2e,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
e4f079c9-1cfb-4f80-bfe2-7b37d42201ff,e35fec2e-0e28-4416-bb4f-7047d3f68e10,,1,Opening Remarks #1,Review supporting documents.,30,57765369-06ab-48fa-a7d1-8d5e80675081,c36c8238-2629-4fa0-b164-48a1d47342ba,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
6d7ad201-95bb-4bd5-9742-71cc44638b26,e35fec2e-0e28-4416-bb4f-7047d3f68e10,,2,Community Input #2,,15,ba80f72f-4237-4103-8931-5d364a46312a,7ea21646-b68b-446d-b456-4a0ba744dd05,2025-09-03T02:33:29.887603+00:00,2025-09-03T02:33:29.887603+00:00
