id,organization_id,school_id,name,description,status,created_at,updated_at
023bf04f-7ac2-49c2-b14b-b6591194393b,307a842e-d2da-4437-bddc-a9cd2398f73a,,Facilities Planning,Publishes minutes and recommendations. Advises cabinet on related initiatives. Coordinates with site leadership.,active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
55451c29-9373-40ff-8d81-534169eaac9d,307a842e-d2da-4437-bddc-a9cd2398f73a,,Special Education Advisory,Advises cabinet on related initiatives. Coordinates with site leadership.,active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
f0281046-9961-42f5-ac6c-c19590742140,307a842e-d2da-4437-bddc-a9cd2398f73a,,Curriculum Council,"Aligns with strategic plan. Publishes minutes and recommendations. Includes staff, admin, and community members. Advises cabinet on related initiatives.",active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
3cd4c944-1c8d-4c98-8ad2-283fa362b8cd,307a842e-d2da-4437-bddc-a9cd2398f73a,,MTSS / RTI Team,Meets monthly to review priorities. Coordinates with site leadership.,active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
9c10ac69-7cab-4d09-b207-d1d4ce7b4ad4,307a842e-d2da-4437-bddc-a9cd2398f73a,,Professional Learning,Advises cabinet on related initiatives. Coordinates with site leadership.,inactive,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
86a4477c-a4e5-494a-94b7-11bd1a33bd6b,307a842e-d2da-4437-bddc-a9cd2398f73a,,Attendance & Truancy,Publishes minutes and recommendations. Meets monthly to review priorities. Coordinates with site leadership. Focus on continuous improvement and outcomes.,archived,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
7e0c4fd2-8267-4013-86b7-99c4c7fd788f,307a842e-d2da-4437-bddc-a9cd2398f73a,,Finance & Audit,Meets monthly to review priorities. Focus on continuous improvement and outcomes.,active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
503a1c18-5cb5-4127-b076-f2d5434e0622,307a842e-d2da-4437-bddc-a9cd2398f73a,,Assessment & Data Team,Aligns with strategic plan. Coordinates with site leadership. Focus on continuous improvement and outcomes.,inactive,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
eedbcb6b-f224-4da9-bc51-4373ac7b827c,307a842e-d2da-4437-bddc-a9cd2398f73a,,Safety Committee,Advises cabinet on related initiatives. Meets monthly to review priorities. Focus on continuous improvement and outcomes.,active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
2bdc700c-d85c-4c18-a1a0-c16d7525829f,307a842e-d2da-4437-bddc-a9cd2398f73a,,Family Partnership Council,Focus on continuous improvement and outcomes. Coordinates with site leadership. Advises cabinet on related initiatives.,inactive,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
d0f33146-73a6-46bd-b6fe-e380dcae0504,307a842e-d2da-4437-bddc-a9cd2398f73a,,Policy Review Committee,Aligns with strategic plan. Advises cabinet on related initiatives.,active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
71f8cb73-8bd6-411a-8302-f9f1ede23f6e,307a842e-d2da-4437-bddc-a9cd2398f73a,,Community Engagement,Meets monthly to review priorities. Publishes minutes and recommendations. Advises cabinet on related initiatives. Coordinates with site leadership.,active,2025-09-02T21:46:14.823654+00:00,2025-09-02T21:46:14.823654+00:00
