id,organization_id,school_id,name,description,status,created_at,updated_at
e2809220-3750-463a-a4ee-fbefbd45383a,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Safety Committee,Aligns with strategic plan. Focus on continuous improvement and outcomes. Publishes minutes and recommendations.,archived,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
9e9f04b8-cffa-4463-9219-23017702b81d,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Professional Learning,"Advises cabinet on related initiatives. Includes staff, admin, and community members. Meets monthly to review priorities. Coordinates with site leadership.",inactive,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
78f6f6f6-8b4a-4572-8b16-5b6b581bfed9,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,MTSS / RTI Team,Coordinates with site leadership. Meets monthly to review priorities.,active,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
006c9529-701c-4906-b649-a934f077bf76,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Community Engagement,"Publishes minutes and recommendations. Focus on continuous improvement and outcomes. Includes staff, admin, and community members.",archived,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
9836ab10-4a55-4a5f-b09e-b336b2d02161,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Equity & Inclusion Council,"Includes staff, admin, and community members. Advises cabinet on related initiatives. Aligns with strategic plan. Publishes minutes and recommendations.",inactive,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
fb724034-4226-4b0d-a564-c056433b1707,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Facilities Planning,"Includes staff, admin, and community members. Publishes minutes and recommendations. Advises cabinet on related initiatives. Coordinates with site leadership.",inactive,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
e94a5cb4-d117-477c-b1b3-5e55a1aa1b4c,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Policy Review Committee,Meets monthly to review priorities. Publishes minutes and recommendations.,active,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
8d0fac36-34ce-4b3a-be2e-e311afd26a62,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Wellness Committee,Coordinates with site leadership. Aligns with strategic plan. Focus on continuous improvement and outcomes. Publishes minutes and recommendations.,inactive,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
822a71a3-8f98-417c-9c05-bdb8a262236a,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Finance & Audit,"Aligns with strategic plan. Coordinates with site leadership. Focus on continuous improvement and outcomes. Includes staff, admin, and community members.",active,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
4c9dcf11-97b8-459f-8f30-d9eb9c073880,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Assessment & Data Team,Advises cabinet on related initiatives. Meets monthly to review priorities.,active,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
d1a9bf22-fffe-473b-a252-9af3587cca56,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Technology Advisory,"Focus on continuous improvement and outcomes. Includes staff, admin, and community members. Aligns with strategic plan. Meets monthly to review priorities.",archived,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
ca9f0db4-919f-4d38-bafa-ebc84bb56382,ba2066a9-7a1a-4a8a-bdf5-3daf97c279c1,,Special Education Advisory,"Coordinates with site leadership. Includes staff, admin, and community members. Publishes minutes and recommendations.",inactive,2025-09-04T16:25:00.611090+00:00,2025-09-04T16:25:00.611090+00:00
