type,value
attendance_phone,(608) 447-5280
fax,(902) 511-8652
website,https://www.dc-g-oak-view.school.org
attendance_phone,(335) 518-5629
website,https://www.dallas-center-elementary.k12.us
email,hello@dallas-center-elementary.edu
counseling_email,hello@dallas-center-grimes-high-school.k12.example
email,support@dallas-center-grimes-high-school.k12.us
attendance_phone,(425) 302-6481
attendance_phone,(200) 298-3331
fax,(860) 600-4306
counseling_email,admin@dallas-center-grimes-middle-school.school.org
email,admin@heritage-elementary.edu
phone,(225) 337-9455
fax,(684) 426-3911
website,https://www.north-ridge-elementary.k12.us
counseling_email,info@north-ridge-elementary.k12.us
attendance_phone,(430) 553-7441
attendance_phone,(657) 546-1824
email,info@south-prairie-elementary.k12.example
counseling_email,contact@south-prairie-elementary.k12.example
