school_name,subject_name,name,code,credit_hours
Dallas Center Elementary,English 9,English 9,ELA9,1.00
Dallas Center Elementary,English 10,English 10,ELA10,1.00
Dallas Center Elementary,English 11,English 11,ELA11,1.00
Dallas Center Elementary,English 12,English 12,ELA12,1.00
Dallas Center Elementary,Literature,Literature,LIT,1.00
Dallas Center Elementary,Writing/Composition,Writing/Composition,COMP,1.00
Dallas Center Elementary,Journalism,Journalism,JOUR,1.00
Dallas Center Elementary,Speech/Communications,Speech/Communications,SPEECH,1.00
Dallas Center Elementary,Reading,Reading,READ,1.00
Dallas Center Elementary,Math 6,Math 6,MATH6,1.00
Dallas Center Elementary,Pre-Algebra,Pre-Algebra,PREALG,1.00
Dallas Center Elementary,Algebra I,Algebra I,ALG1,1.00
Dallas Center Elementary,Geometry,Geometry,GEOM,1.00
Dallas Center Elementary,Algebra II,Algebra II,ALG2,1.00
Dallas Center Elementary,Precalculus,Precalculus,PRECALC,1.00
Dallas Center Elementary,Calculus,Calculus,CALC,1.00
Dallas Center Elementary,Statistics,Statistics,STATS,1.00
Dallas Center Elementary,Earth Science,Earth Science,EARTH,1.00
Dallas Center Elementary,Physical Science,Physical Science,PHYSCI,1.00
Dallas Center Elementary,Biology,Biology,BIO,1.00
Dallas Center Elementary,Chemistry,Chemistry,CHEM,1.00
Dallas Center Elementary,Physics,Physics,PHYS,1.00
Dallas Center Elementary,Environmental Science,Environmental Science,ENVS,1.00
Dallas Center Elementary,Anatomy & Physiology,Anatomy & Physiology,ANAT,1.00
Dallas Center Elementary,World History,World History,WHIST,1.00
Dallas Center Elementary,U.S. History,U.S. History,USHIST,1.00
Dallas Center Elementary,Government/Civics,Government/Civics,GOV,1.00
Dallas Center Elementary,Economics,Economics,ECON,1.00
Dallas Center Elementary,Geography,Geography,GEOG,1.00
Dallas Center Elementary,Psychology,Psychology,PSYCH,1.00
Dallas Center Elementary,Sociology,Sociology,SOC,1.00
Dallas Center Elementary,Spanish I,Spanish I,SPAN1,1.00
