provider,url,meta
vimeo,https://vimeo.com/277679e92b4,"{""provider"":""vimeo"",""title"":""Vimeo Embed 52a08e"",""created_at"":""2025-04-17T13:21:03.799153Z"",""dimensions"":{""width"":640,""height"":1080},""duration_sec"":629,""tags"":[""education"",""demo"",""meeting""],""public"":true}"
vimeo,https://vimeo.com/a594a879caa,"{""provider"":""vimeo"",""title"":""Vimeo Embed 03e100"",""created_at"":""2025-01-16T13:21:03.799360Z"",""dimensions"":{""width"":1440,""height"":1080},""duration_sec"":527,""tags"":[""talk""],""public"":false}"
tiktok,https://www.tiktok.com/@user/video/730dd65aeb4,"{""provider"":""tiktok"",""title"":""Tiktok Embed ce4e2e"",""created_at"":""2025-07-12T13:21:03.799581Z"",""dimensions"":{""width"":1080,""height"":360},""duration_sec"":695,""tags"":[""meeting""],""public"":false}"
tiktok,https://www.tiktok.com/@user/video/4016d9919c7,"{""provider"":""tiktok"",""title"":""Tiktok Embed a6760d"",""created_at"":""2025-07-07T13:21:03.799827Z"",""dimensions"":{""width"":720,""height"":360},""duration_sec"":644,""tags"":[""music""],""public"":true}"
youtube,https://www.youtube.com/watch?v=369d7c0f8fc,"{""provider"":""youtube"",""title"":""Youtube Embed 4e5e1f"",""created_at"":""2024-12-26T13:21:03.799912Z"",""dimensions"":{""width"":640,""height"":1080},""duration_sec"":540,""tags"":[""marketing"",""music"",""talk""],""public"":false}"
vimeo,https://vimeo.com/43a518b5d4c,"{""provider"":""vimeo"",""title"":""Vimeo Embed 7f54e4"",""created_at"":""2024-12-25T13:21:03.799987Z"",""dimensions"":{""width"":640,""height"":720},""duration_sec"":489,""tags"":[""music"",""talk"",""clip""],""public"":false}"
instagram,https://www.instagram.com/p/572ca99862d,"{""provider"":""instagram"",""title"":""Instagram Embed 8eb48a"",""created_at"":""2025-04-04T13:21:03.800065Z"",""dimensions"":{""width"":1080,""height"":360},""duration_sec"":247,""tags"":[""music"",""design"",""marketing"",""clip""],""public"":false}"
figma,https://www.figma.com/file/60b8e84ff58,"{""provider"":""figma"",""title"":""Figma Embed a33ec2"",""created_at"":""2024-10-13T13:21:03.800157Z"",""dimensions"":{""width"":720,""height"":480},""duration_sec"":482,""tags"":[""clip"",""talk"",""education"",""marketing""],""public"":true}"
vimeo,https://vimeo.com/4708e2117e7,"{""provider"":""vimeo"",""title"":""Vimeo Embed a00641"",""created_at"":""2025-08-08T13:21:03.800247Z"",""dimensions"":{""width"":1080,""height"":480},""duration_sec"":132,""tags"":[""education"",""marketing"",""demo""],""public"":true}"
instagram,https://www.instagram.com/p/610317f9c5e,"{""provider"":""instagram"",""title"":""Instagram Embed 1f3b8d"",""created_at"":""2024-10-19T13:21:03.800325Z"",""dimensions"":{""width"":1080,""height"":480},""duration_sec"":233,""tags"":[""meeting""],""public"":true}"
soundcloud,https://soundcloud.com/track/e37c1cc9916,"{""provider"":""soundcloud"",""title"":""Soundcloud Embed 556ce3"",""created_at"":""2024-12-26T13:21:03.800366Z"",""dimensions"":{""width"":640,""height"":1080},""duration_sec"":284,""tags"":[""meeting"",""marketing""],""public"":true}"
tiktok,https://www.tiktok.com/@user/video/e2bbebeed9b,"{""provider"":""tiktok"",""title"":""Tiktok Embed cb11f9"",""created_at"":""2025-03-30T13:21:03.800399Z"",""dimensions"":{""width"":640,""height"":480},""duration_sec"":544,""tags"":[""design""],""public"":false}"
vimeo,https://vimeo.com/030fe91a934,"{""provider"":""vimeo"",""title"":""Vimeo Embed 8303d4"",""created_at"":""2025-02-08T13:21:03.800430Z"",""dimensions"":{""width"":1440,""height"":480},""duration_sec"":486,""tags"":[""meeting"",""clip"",""marketing""],""public"":true}"
youtube,https://www.youtube.com/watch?v=0a6617bccc3,"{""provider"":""youtube"",""title"":""Youtube Embed cfb806"",""created_at"":""2024-10-07T13:21:03.800470Z"",""dimensions"":{""width"":720,""height"":480},""duration_sec"":244,""tags"":[""music"",""meeting""],""public"":false}"
tiktok,https://www.tiktok.com/@user/video/94ececb1347,"{""provider"":""tiktok"",""title"":""Tiktok Embed 2182d7"",""created_at"":""2025-08-20T13:21:03.800500Z"",""dimensions"":{""width"":640,""height"":720},""duration_sec"":663,""tags"":[""talk"",""demo"",""highlight""],""public"":false}"
twitter,https://twitter.com/i/status/dfefd45c287,"{""provider"":""twitter"",""title"":""Twitter Embed 828c99"",""created_at"":""2025-07-16T13:21:03.800544Z"",""dimensions"":{""width"":1080,""height"":360},""duration_sec"":184,""tags"":[""music"",""highlight"",""meeting"",""product""],""public"":false}"
tiktok,https://www.tiktok.com/@user/video/ee980d541b0,"{""provider"":""tiktok"",""title"":""Tiktok Embed dc527e"",""created_at"":""2025-05-22T13:21:03.800615Z"",""dimensions"":{""width"":1440,""height"":360},""duration_sec"":234,""tags"":[""meeting"",""product"",""music"",""talk""],""public"":true}"
soundcloud,https://soundcloud.com/track/4b6ba6a8440,"{""provider"":""soundcloud"",""title"":""Soundcloud Embed f56baa"",""created_at"":""2025-01-11T13:21:03.800679Z"",""dimensions"":{""width"":720,""height"":480},""duration_sec"":35,""tags"":[""meeting"",""demo"",""design"",""talk""],""public"":true}"
instagram,https://www.instagram.com/p/f20abf338ba,"{""provider"":""instagram"",""title"":""Instagram Embed 213119"",""created_at"":""2025-05-01T13:21:03.800732Z"",""dimensions"":{""width"":720,""height"":360},""duration_sec"":200,""tags"":[""music""],""public"":true}"
tiktok,https://www.tiktok.com/@user/video/96f5dcb4307,"{""provider"":""tiktok"",""title"":""Tiktok Embed 08e384"",""created_at"":""2024-11-29T13:21:03.800799Z"",""dimensions"":{""width"":640,""height"":480},""duration_sec"":144,""tags"":[""clip"",""education""],""public"":true}"
soundcloud,https://soundcloud.com/track/99cc9186570,"{""provider"":""soundcloud"",""title"":""Soundcloud Embed fa86fa"",""created_at"":""2025-04-06T13:21:03.800828Z"",""dimensions"":{""width"":720,""height"":720},""duration_sec"":178,""tags"":[""demo"",""education"",""marketing""],""public"":true}"
vimeo,https://vimeo.com/500987b706d,"{""provider"":""vimeo"",""title"":""Vimeo Embed 8d917e"",""created_at"":""2025-04-03T13:21:03.800856Z"",""dimensions"":{""width"":1440,""height"":720},""duration_sec"":90,""tags"":[""highlight""],""public"":false}"
twitter,https://twitter.com/i/status/7acd46e1bba,"{""provider"":""twitter"",""title"":""Twitter Embed 24de4c"",""created_at"":""2024-11-19T13:21:03.800883Z"",""dimensions"":{""width"":720,""height"":360},""duration_sec"":64,""tags"":[""talk"",""education"",""music"",""product""],""public"":false}"
loom,https://www.loom.com/share/2e2d510e6e0,"{""provider"":""loom"",""title"":""Loom Embed a10831"",""created_at"":""2024-12-15T13:21:03.800911Z"",""dimensions"":{""width"":1080,""height"":360},""duration_sec"":671,""tags"":[""demo"",""talk"",""design""],""public"":false}"
tiktok,https://www.tiktok.com/@user/video/e4e6e6aad63,"{""provider"":""tiktok"",""title"":""Tiktok Embed 801f93"",""created_at"":""2025-03-19T13:21:03.800941Z"",""dimensions"":{""width"":640,""height"":360},""duration_sec"":487,""tags"":[""design"",""meeting"",""education""],""public"":false}"
loom,https://www.loom.com/share/c63de06d8ca,"{""provider"":""loom"",""title"":""Loom Embed f377db"",""created_at"":""2024-09-04T13:21:03.800969Z"",""dimensions"":{""width"":1080,""height"":1080},""duration_sec"":644,""tags"":[""marketing"",""education"",""talk"",""design""],""public"":false}"
instagram,https://www.instagram.com/p/ce4e2777351,"{""provider"":""instagram"",""title"":""Instagram Embed aab20e"",""created_at"":""2025-05-01T13:21:03.801023Z"",""dimensions"":{""width"":640,""height"":480},""duration_sec"":403,""tags"":[""education"",""design""],""public"":false}"
tiktok,https://www.tiktok.com/@user/video/6aee4c9d188,"{""provider"":""tiktok"",""title"":""Tiktok Embed a05cce"",""created_at"":""2024-09-25T13:21:03.801071Z"",""dimensions"":{""width"":1440,""height"":360},""duration_sec"":484,""tags"":[""highlight"",""education"",""music""],""public"":false}"
figma,https://www.figma.com/file/e7400229433,"{""provider"":""figma"",""title"":""Figma Embed 71d8ac"",""created_at"":""2025-05-27T13:21:03.801106Z"",""dimensions"":{""width"":1080,""height"":360},""duration_sec"":609,""tags"":[""demo"",""talk"",""meeting"",""highlight""],""public"":true}"
