id,school_id,activity_id,title,summary,starts_at,ends_at,venue,status,attributes,created_at,updated_at
45e6c02a-8080-4c80-bbe6-03a770c57f5b,d0b696f8-8a54-4278-9585-3220e631fb01,ceaa8ed5-9f91-486a-a8e6-127b22b08346,Open House 2025,Join us for an evening of learning and celebration.,2025-12-16T13:57:00.831718+00:00,,Gymnasium,draft,,2025-09-04T16:25:00.831742+00:00,2025-09-04T16:25:00.831742+00:00
d3327995-1dcc-4f1d-b525-13badf0bf540,d0b696f8-8a54-4278-9585-3220e631fb01,90237a32-0331-4a0f-890c-c53f07abf1fd,Career Day – Community,Public meeting—agenda to be published.,2025-10-02T05:33:00.831788+00:00,2025-10-02T06:05:00.831788+00:00,Library,draft,"{""featured"": false, ""color"": ""green"", ""tags"": [""academics"", ""staff"", ""music""]}",2025-09-04T16:25:00.831810+00:00,2025-09-04T16:25:00.831810+00:00
4f54e140-ca65-43f0-8417-5d94bd1d1105,aacc97ab-c50a-4e1e-856b-b91c5494968e,fd0ea464-3b34-4b5d-abc7-a1744c2cf3ef,Career Day,,2025-10-08T16:30:00.831851+00:00,2025-10-08T19:28:00.831851+00:00,Room 101,published,"{""featured"": true, ""color"": ""orange"", ""tags"": [""students"", ""sports"", ""music""]}",2025-09-04T16:25:00.831869+00:00,2025-09-04T16:25:00.831869+00:00
67938d16-99a8-47e8-811c-408247430c3e,4d686129-916e-4a0e-b454-b4033d84419b,fd0ea464-3b34-4b5d-abc7-a1744c2cf3ef,Open House 2025,,2025-07-18T05:50:00.831900+00:00,2025-07-18T07:20:00.831900+00:00,Board Room,published,"{""featured"": false, ""color"": ""blue"", ""tags"": [""staff"", ""students""]}",2025-09-04T16:25:00.831916+00:00,2025-09-04T16:25:00.831916+00:00
00440184-ac2e-45c6-85f1-8eb29f2921de,4d686129-916e-4a0e-b454-b4033d84419b,96f7d566-e12b-4b4c-b967-f5c780f60b2d,Drama Club Performance 2025,Information session with Q&A.,2025-11-27T12:08:00.831945+00:00,2025-11-27T15:49:00.831945+00:00,Board Room,published,"{""featured"": false, ""color"": ""red"", ""tags"": [""community"", ""students"", ""sports""]}",2025-09-04T16:25:00.831960+00:00,2025-09-04T16:25:00.831960+00:00
f1c90939-38bb-4ea7-a6c0-5a479a97b7f2,aacc97ab-c50a-4e1e-856b-b91c5494968e,e7d17ffb-59b7-4392-8bc9-6cb5ae502fcb,Choir Concert – Evening,All families welcome.,2025-07-19T13:42:00.831990+00:00,2025-07-19T14:26:00.831990+00:00,Main Auditorium,draft,"{""featured"": false, ""color"": ""purple"", ""tags"": [""family"", ""community"", ""academics""]}",2025-09-04T16:25:00.832005+00:00,2025-09-04T16:25:00.832005+00:00
d5e8148a-2122-4ed6-af0f-2cfd631d32ae,d0b696f8-8a54-4278-9585-3220e631fb01,fd0ea464-3b34-4b5d-abc7-a1744c2cf3ef,STEM Expo (K-8),,2025-08-10T14:04:00.832035+00:00,2025-08-10T15:20:00.832035+00:00,Main Auditorium,published,,2025-09-04T16:25:00.832046+00:00,2025-09-04T16:25:00.832046+00:00
f05983b8-47ef-4377-b225-ef57da6da211,718ec127-7bb9-4ac7-bbd6-077c9792ad52,,Choir Concert,,2025-09-30T00:21:00.832071+00:00,2025-09-30T01:44:00.832071+00:00,Gymnasium,cancelled,"{""featured"": false, ""color"": ""orange"", ""tags"": [""community""]}",2025-09-04T16:25:00.832088+00:00,2025-09-04T16:25:00.832088+00:00
9b41db65-bb7b-41a9-9587-2c9c7eeeabf8,cf8d4e9e-a074-4403-b113-af8385be244b,,Drama Club Performance,Join us for an evening of learning and celebration.,2025-11-30T13:30:00.832119+00:00,2025-11-30T14:46:00.832119+00:00,Main Auditorium,cancelled,"{""featured"": false, ""color"": ""orange"", ""tags"": [""music"", ""staff""]}",2025-09-04T16:25:00.832135+00:00,2025-09-04T16:25:00.832135+00:00
584a077f-4e50-4b35-86c3-b04ce103f95b,4d686129-916e-4a0e-b454-b4033d84419b,b10dc877-336f-4552-a306-1718e69e3063,STEM Expo – Evening,Student-led event featuring exhibitions and performances.,2025-08-22T04:43:00.832166+00:00,2025-08-22T07:26:00.832166+00:00,Field A,published,"{""featured"": false, ""color"": ""blue"", ""tags"": [""students"", ""family""]}",2025-09-04T16:25:00.832180+00:00,2025-09-04T16:25:00.832180+00:00
