building_code,level_code,name
FAC-109-BLDG-01,1,Level 1
FAC-109-BLDG-01,2,Level 2
FAC-109-BLDG-01,3,Level 3
FAC-109-BLDG-02,1,Level 1
FAC-109-BLDG-02,2,Level 2
FAC-109-BLDG-03,1,Level 1
FAC-109-BLDG-04,B1,Basement 1
FAC-109-BLDG-04,1,Level 1
FAC-109-BLDG-04,2,Level 2
FAC-109-BLDG-04,3,Level 3
FAC-109-BLDG-05,1,Level 1
FAC-109-BLDG-05,2,Level 2
FAC-109-BLDG-06,1,Level 1
FAC-209-BLDG-01,1,Level 1
FAC-209-BLDG-02,1,Level 1
FAC-209-BLDG-03,1,Level 1
FAC-209-BLDG-04,1,Level 1
FAC-209-BLDG-05,B1,Basement 1
FAC-209-BLDG-05,1,Level 1
FAC-209-BLDG-05,2,Level 2
FAC-209-BLDG-05,3,Level 3
FAC-209-BLDG-06,1,Level 1
FAC-436-BLDG-01,B1,Basement 1
FAC-436-BLDG-01,1,Level 1
FAC-436-BLDG-01,2,Level 2
FAC-436-BLDG-01,3,Level 3
FAC-436-BLDG-02,1,Level 1
FAC-436-BLDG-02,2,Level 2
FAC-436-BLDG-02,3,Level 3
FAC-436-BLDG-03,1,Level 1
FAC-436-BLDG-03,2,Level 2
FAC-436-BLDG-04,1,Level 1
FAC-436-BLDG-04,2,Level 2
FAC-436-BLDG-04,3,Level 3
FAC-436-BLDG-05,1,Level 1
FAC-436-BLDG-06,1,Level 1
FAC-437-BLDG-01,1,Level 1
FAC-437-BLDG-02,1,Level 1
FAC-437-BLDG-02,2,Level 2
FAC-437-BLDG-02,3,Level 3
FAC-437-BLDG-03,1,Level 1
FAC-437-BLDG-04,1,Level 1
FAC-437-BLDG-05,B1,Basement 1
FAC-437-BLDG-05,1,Level 1
FAC-437-BLDG-05,2,Level 2
FAC-437-BLDG-05,3,Level 3
FAC-437-BLDG-06,1,Level 1
FAC-418-BLDG-01,1,Level 1
FAC-418-BLDG-01,2,Level 2
FAC-418-BLDG-02,1,Level 1
FAC-418-BLDG-03,1,Level 1
FAC-418-BLDG-03,2,Level 2
FAC-418-BLDG-03,3,Level 3
FAC-418-BLDG-04,1,Level 1
FAC-418-BLDG-05,1,Level 1
FAC-418-BLDG-06,1,Level 1
FAC-418-BLDG-06,2,Level 2
FAC-427-BLDG-01,1,Level 1
FAC-427-BLDG-02,1,Level 1
FAC-427-BLDG-02,2,Level 2
FAC-427-BLDG-03,1,Level 1
FAC-427-BLDG-04,1,Level 1
FAC-427-BLDG-05,1,Level 1
FAC-427-BLDG-05,2,Level 2
FAC-427-BLDG-06,1,Level 1
FAC-218-BLDG-01,1,Level 1
FAC-218-BLDG-02,1,Level 1
FAC-218-BLDG-03,1,Level 1
FAC-218-BLDG-04,1,Level 1
FAC-218-BLDG-04,2,Level 2
FAC-218-BLDG-05,1,Level 1
FAC-218-BLDG-05,2,Level 2
FAC-218-BLDG-06,1,Level 1
