agenda_item_id,text,moved_by_id,seconded_by_id,passed,tally_for,tally_against,tally_abstain
1ca02456-ef8e-4098-b4a7-3e677df1d971,Auto motion for agenda 1ca02456 (seeded by 0068),b063f3ee-9d36-478f-8728-ed4b2eaad7e4,,true,5,3,2
ff7c9f01-0365-409b-a5cc-1940100c639c,Auto motion for agenda ff7c9f01 (seeded by 0068),76ecd037-4d32-4084-9fab-8885da75de32,,true,3,2,0
cbf93a67-9718-41f7-a60b-9bf343401cf2,Auto motion for agenda cbf93a67 (seeded by 0068),9469a023-88ba-49ef-852b-833cfe47a010,b3976f34-0d97-41f8-9f34-a25a7112df7f,true,5,0,2
730e9805-863c-4d0e-9dc3-c50806055b48,Auto motion for agenda 730e9805 (seeded by 0068),3d5641ff-903c-4c1b-aea1-ffc5360a8e74,6c58fc08-9c6e-4010-8279-c8acdd12505d,true,4,3,2
1ca02456-ef8e-4098-b4a7-3e677df1d971,Auto motion for agenda 1ca02456 (seeded by 0068),5b14939d-4d18-48fb-ac19-ed5fbbcf4cdf,,false,2,9,2
cbf93a67-9718-41f7-a60b-9bf343401cf2,Auto motion for agenda cbf93a67 (seeded by 0068),5b14939d-4d18-48fb-ac19-ed5fbbcf4cdf,3deb86db-468e-416f-8ad8-712681f65d2d,true,9,1,2
ff7c9f01-0365-409b-a5cc-1940100c639c,Auto motion for agenda ff7c9f01 (seeded by 0068),7040d48e-4f49-4056-8096-02cbe2fc4695,15a98451-ba3a-42f0-9d59-252c5d827aa5,true,4,2,2
2c934785-5c94-4813-b9c3-4b99880458c7,Auto motion for agenda 2c934785 (seeded by 0068),0b083ec7-63d1-4904-bd95-582fafc34393,757ab787-9350-4017-b95a-ba1103d3a9ba,true,3,3,1
a8d6be76-077c-4373-98d6-ebceef1b3a77,Auto motion for agenda a8d6be76 (seeded by 0068),1e23af76-6a2b-4bd8-b8aa-74b01eea7f60,0012df62-5b33-478e-83e4-0fa17d229df4,true,3,0,0
1c467cd6-8449-4510-a10b-b06429ef1f29,Auto motion for agenda 1c467cd6 (seeded by 0068),294419b6-fb1b-42d3-87aa-e0663b2e5ac3,,true,7,2,0
6c77d15f-3a36-4ce4-a6f4-089a2f80825f,Auto motion for agenda 6c77d15f (seeded by 0068),e7d3438d-a4af-4a0d-b406-3d2616d84d66,938f54b7-2dea-4ca6-8815-966a3ff6c6ba,false,2,4,0
e6724a9d-c553-404f-9a54-debc4783f293,Auto motion for agenda e6724a9d (seeded by 0068),c65067ba-355f-4318-8c67-f745eae407c2,a678fc29-00e2-4ab3-ae90-0924dae7b981,true,6,2,2
6d2ceee9-022a-44d5-b69e-547867faf573,Auto motion for agenda 6d2ceee9 (seeded by 0068),c00ec1db-91d5-4bc8-9602-3c1944e6369c,6d454a7d-0ab5-4fa0-b4b5-a3b8db6a77fe,true,6,2,1
bc78d9de-97cd-4203-b2d5-761909ab2347,Auto motion for agenda bc78d9de (seeded by 0068),8529a50b-77d1-4a4d-a003-3de4d11061bf,116df1de-dd4c-4be0-8877-8187f5f0c108,true,6,2,1
bc78d9de-97cd-4203-b2d5-761909ab2347,Auto motion for agenda bc78d9de (seeded by 0068),4a7f2daa-30b2-466c-b399-fc47dd4876b7,47f5e9da-682a-41c1-a2bb-f90b6098d08f,true,9,2,1
6d2ceee9-022a-44d5-b69e-547867faf573,Auto motion for agenda 6d2ceee9 (seeded by 0068),b737b746-b6bc-4735-a890-3302a8afa9d0,33d41c74-59bc-4946-b9c7-9b67db4ddefd,true,4,0,1
58a80767-95a7-4ba5-a5bd-ff0b6680b5c3,Auto motion for agenda 58a80767 (seeded by 0068),736e4b8b-e771-42ed-85ed-2b575f13f2eb,9ab16a8e-16a6-4cb1-9cc8-2710eb10f028,,,,
5a3376aa-de6a-4e8b-a433-3f47b7cb23c4,Auto motion for agenda 5a3376aa (seeded by 0068),d7499c34-2fa7-4fa9-84a5-5ee6986a6699,1db2d8f9-0057-4963-82de-f2eb4c2643a5,true,7,1,1
1c467cd6-8449-4510-a10b-b06429ef1f29,Auto motion for agenda 1c467cd6 (seeded by 0068),a4d4ca04-6e97-4070-b367-8550b43e148a,,true,6,1,2
c21b59e3-ca58-4ba2-8ee4-b76e3966e155,Auto motion for agenda c21b59e3 (seeded by 0068),6d454a7d-0ab5-4fa0-b4b5-a3b8db6a77fe,b1c3a6c0-cac5-454c-8f62-17bd896faa93,true,5,1,2
0767fa02-f9f3-4bde-a9e9-c4fb3deffada,Auto motion for agenda 0767fa02 (seeded by 0068),4a3bdfed-cb7e-4659-ba79-83c4a3e8040b,c63f0fe3-5132-480e-ad9b-b46659194462,false,0,3,0
2038f500-714a-4a9d-9394-61a032f5f9dc,Auto motion for agenda 2038f500 (seeded by 0068),96fac4d8-d080-4968-8f99-c5b8b865f12a,736e4b8b-e771-42ed-85ed-2b575f13f2eb,true,3,2,1
bc78d9de-97cd-4203-b2d5-761909ab2347,Auto motion for agenda bc78d9de (seeded by 0068),1cc127bd-6161-44a4-905e-388896d1d8e5,76ecd037-4d32-4084-9fab-8885da75de32,true,5,2,0
e6724a9d-c553-404f-9a54-debc4783f293,Auto motion for agenda e6724a9d (seeded by 0068),c5547cd4-1894-4ba4-9ae7-a7cfea4d8cc2,76b6317f-9a2a-4433-8834-dca114cc16d2,,,,
99de43c9-c497-4c46-80f5-1f93b7c4f0ec,Auto motion for agenda 99de43c9 (seeded by 0068),4e79b285-e54c-4345-b978-2aef121b9892,757ab787-9350-4017-b95a-ba1103d3a9ba,,,,
0767fa02-f9f3-4bde-a9e9-c4fb3deffada,Auto motion for agenda 0767fa02 (seeded by 0068),e45ed92a-6306-4686-95f5-e3b48ddb4928,,true,9,0,2
69b1e64b-854a-4334-90e5-83825d8122d5,Auto motion for agenda 69b1e64b (seeded by 0068),e0dcbe6d-d34c-44e6-a4f2-813c8fea10f9,bb52eed7-2098-44a4-933e-69f3ebaf7fb8,true,8,2,1
b09c95d3-4d25-4422-af15-10a7693dddd0,Auto motion for agenda b09c95d3 (seeded by 0068),c4fec7d4-d541-4829-96e0-b6626bfc7d51,e2c1544c-23a6-400f-855a-a649a33499fb,,,,
8f848adb-76b2-40e8-bef0-d9f6600f7e9a,Auto motion for agenda 8f848adb (seeded by 0068),014d9981-faf2-4246-bb11-6e97f6883c76,46fbe915-33ca-4d50-bc2a-eb3e187a46dd,true,3,2,2
f0ff7059-4ab2-481a-9f5f-81a6224758c5,Auto motion for agenda f0ff7059 (seeded by 0068),bdabda06-ea1d-4573-83c7-8a7d0c26d1e8,ca695c91-2807-4fcc-ac0f-2e9acfee3da5,true,8,1,0
bc78d9de-97cd-4203-b2d5-761909ab2347,Auto motion for agenda bc78d9de (seeded by 0068),ee3ce870-8a61-41f5-b276-d9b380a07be0,,false,3,8,0
cbf93a67-9718-41f7-a60b-9bf343401cf2,Auto motion for agenda cbf93a67 (seeded by 0068),772880cc-4dd9-46d2-b9fa-7e05cba2c303,,,,,
6feb2972-25c6-4720-9c63-73e4d5970361,Auto motion for agenda 6feb2972 (seeded by 0068),1489ceb9-12ec-429e-bd97-84c4f7e3b132,e770d195-01b0-4525-adda-0ddbc67393e4,false,1,7,2
1ca02456-ef8e-4098-b4a7-3e677df1d971,Auto motion for agenda 1ca02456 (seeded by 0068),a8975515-5dd5-4304-a61e-e0b503a38dda,72e508cd-4c71-488d-be0a-cc3d067f63e7,true,5,1,1
2038f500-714a-4a9d-9394-61a032f5f9dc,Auto motion for agenda 2038f500 (seeded by 0068),0e0b9dca-a577-404e-a41c-6343b31d8d70,a4d4ca04-6e97-4070-b367-8550b43e148a,false,3,9,1
a8d6be76-077c-4373-98d6-ebceef1b3a77,Auto motion for agenda a8d6be76 (seeded by 0068),893cb0ba-86e6-493d-8b24-7daa671b1ccf,3b6e93d9-61fe-4000-8ebc-104f6ec9241c,false,3,8,0
2038f500-714a-4a9d-9394-61a032f5f9dc,Auto motion for agenda 2038f500 (seeded by 0068),4e7c7a3d-ab4b-4811-8c4e-9d465f25a744,0b6d47ba-6c5f-4c3f-9971-e2fa3d0e44d7,false,0,6,1
8f848adb-76b2-40e8-bef0-d9f6600f7e9a,Auto motion for agenda 8f848adb (seeded by 0068),e45ed92a-6306-4686-95f5-e3b48ddb4928,,true,7,3,2
8f848adb-76b2-40e8-bef0-d9f6600f7e9a,Auto motion for agenda 8f848adb (seeded by 0068),7040d48e-4f49-4056-8096-02cbe2fc4695,6d61181f-189e-4b77-a4b7-17da6d498cb4,true,5,3,0
bc78d9de-97cd-4203-b2d5-761909ab2347,Auto motion for agenda bc78d9de (seeded by 0068),e45ed92a-6306-4686-95f5-e3b48ddb4928,,true,6,3,1
