id,event_id,purchaser_user_id,total_cents,currency,status,external_ref,attributes,created_at,updated_at
7cf8bf3d-a189-4202-bed3-10e92ab90113,45e6c02a-8080-4c80-bbe6-03a770c57f5b,,4500,USD,refunded,ch_2158abdbc5c64019a267c6,"{""source"": ""web"", ""promo"": """", ""notes"": """"}",2025-08-25T07:25:00.933925+00:00,2025-08-25T07:31:00.933925+00:00
eb073df3-0a86-4b59-899a-25b698a3b778,45e6c02a-8080-4c80-bbe6-03a770c57f5b,11edd5af-5d93-4d2c-869a-e067f2ea65f9,2500,USD,paid,ch_f6c79cf247f94a4da4d992,"{""source"": ""pos"", ""promo"": """", ""notes"": ""Gift purchase""}",2025-07-08T11:25:00.933988+00:00,2025-07-08T18:24:00.933988+00:00
dbdf8c87-e9af-4c27-bb83-bbd67e665f8e,45e6c02a-8080-4c80-bbe6-03a770c57f5b,c84a1210-0865-4b8b-9103-ef1c1fadde77,7500,USD,paid,ch_271450df12344a58b45ee1,"{""source"": ""pos"", ""promo"": ""FALL25"", ""notes"": ""Gift purchase""}",2025-07-26T15:25:00.934029+00:00,2025-07-26T19:12:00.934029+00:00
f87af782-13a1-480c-bd9b-c6bb141b4e21,45e6c02a-8080-4c80-bbe6-03a770c57f5b,,500,USD,paid,ch_48c858df11544ceba6e0bf,"{""source"": ""web"", ""promo"": ""FALL25"", ""notes"": """"}",2025-08-16T14:25:00.934067+00:00,2025-08-16T20:07:00.934067+00:00
762bf408-846f-49bc-8ba2-12df5d7a7316,45e6c02a-8080-4c80-bbe6-03a770c57f5b,11edd5af-5d93-4d2c-869a-e067f2ea65f9,0,USD,pending,,,2025-09-02T14:25:00.934094+00:00,2025-09-02T20:45:00.934094+00:00
34ec8dfa-f7ed-4e3e-a3e5-bc28e33c9d47,45e6c02a-8080-4c80-bbe6-03a770c57f5b,8fc94abf-c2a6-4f17-8ff4-6bcd4b4c868d,500,USD,paid,ch_f3c4eef30f914f3e8f4cbb,"{""source"": ""mobile"", ""promo"": """", ""notes"": ""Gift purchase""}",2025-08-26T13:25:00.934124+00:00,2025-08-26T18:34:00.934124+00:00
a7495ffd-b769-4570-8786-e5e71081d52a,45e6c02a-8080-4c80-bbe6-03a770c57f5b,,1000,USD,paid,,,2025-07-30T09:25:00.934150+00:00,2025-07-30T15:30:00.934150+00:00
1d73b338-79c6-4637-a2a7-0386c0fdc3ef,45e6c02a-8080-4c80-bbe6-03a770c57f5b,,7500,USD,paid,ch_4776daf5e7374736aa2b05,"{""source"": ""web"", ""promo"": ""EARLYBIRD"", ""notes"": ""Gift purchase""}",2025-08-05T09:25:00.934183+00:00,2025-08-05T15:16:00.934183+00:00
e18f607c-03e4-4873-b78d-81a2b45ec3ed,45e6c02a-8080-4c80-bbe6-03a770c57f5b,0615fc94-9b57-445a-8a2b-0603e3c2cd74,500,USD,paid,ch_9949b7c1173f44f496c8d2,,2025-08-10T07:25:00.934219+00:00,2025-08-10T11:53:00.934219+00:00
d0df1070-c0f0-4a4b-87c4-03115dbff8fd,d3327995-1dcc-4f1d-b525-13badf0bf540,9fc9165d-e9c1-4f2a-bed7-ab86c9a5d0dc,3000,USD,paid,ch_750bf0ad54cc4d49946d46,"{""source"": ""web"", ""promo"": """", ""notes"": ""Gift purchase""}",2025-08-12T05:25:00.934252+00:00,2025-08-12T08:54:00.934252+00:00
685967db-2242-428d-955f-096ba6f072ef,d3327995-1dcc-4f1d-b525-13badf0bf540,252a0c04-e77c-4068-9e86-c216a7bfffe8,500,USD,paid,ch_d3c2532c290b496992a042,,2025-06-18T10:25:00.934283+00:00,2025-06-18T17:46:00.934283+00:00
b6aff839-b75e-40dc-9ef6-9ded021df81b,d3327995-1dcc-4f1d-b525-13badf0bf540,,10000,USD,paid,ch_78539894b8454009975c09,,2025-07-22T09:25:00.934307+00:00,2025-07-22T13:54:00.934307+00:00
51b27deb-d5eb-4bd3-b9d0-34970e09af69,d3327995-1dcc-4f1d-b525-13badf0bf540,,500,USD,paid,ch_9fcebfd4929b4912906aac,"{""source"": ""web"", ""promo"": ""FALL25"", ""notes"": ""Employee purchase""}",2025-06-08T11:25:00.934331+00:00,2025-06-08T13:05:00.934331+00:00
5a27303b-1344-4a8f-b63d-f8a4e35dd2ca,d3327995-1dcc-4f1d-b525-13badf0bf540,8fc94abf-c2a6-4f17-8ff4-6bcd4b4c868d,2500,USD,paid,ch_31ffcf45789f488bbc903b,,2025-07-10T10:25:00.934361+00:00,2025-07-10T15:41:00.934361+00:00
55f95a05-76d2-4fee-adbf-7862cc481590,d3327995-1dcc-4f1d-b525-13badf0bf540,9e8040e9-885a-43cc-bdeb-0fc6bc39e258,2000,USD,paid,,"{""source"": ""mobile"", ""promo"": ""EARLYBIRD"", ""notes"": """"}",2025-08-27T09:25:00.934380+00:00,2025-08-27T13:47:00.934380+00:00
8db2a798-6e9d-4ffa-ad64-94b1b155620f,d3327995-1dcc-4f1d-b525-13badf0bf540,eea2d6b5-c931-476b-b87a-970de2d86ec2,4500,USD,paid,ch_fb5efd40fed949d3becb50,"{""source"": ""web"", ""promo"": """", ""notes"": """"}",2025-08-15T11:25:00.934411+00:00,2025-08-15T17:12:00.934411+00:00
942bb481-0e51-4ee1-95b2-83703c5b79bb,d3327995-1dcc-4f1d-b525-13badf0bf540,8fc94abf-c2a6-4f17-8ff4-6bcd4b4c868d,2500,USD,paid,ch_dfcf95cc06434fc08ad07e,,2025-07-31T14:25:00.934440+00:00,2025-07-31T15:41:00.934440+00:00
e14b7527-3173-43f3-a787-56a31459703f,d3327995-1dcc-4f1d-b525-13badf0bf540,1f305da3-a14f-425d-877c-d6a30502c275,1000,USD,pending,,,2025-07-26T14:25:00.934458+00:00,2025-07-26T18:52:00.934458+00:00
19135fcc-50d6-4832-b4f1-4d2e52da8116,d3327995-1dcc-4f1d-b525-13badf0bf540,a742e327-8a16-426d-a75d-4bb2c1ab7bf5,6000,USD,paid,ch_04f5b7e171134effa81adf,,2025-06-12T06:25:00.934483+00:00,2025-06-12T10:40:00.934483+00:00
5a8df0fa-464f-4572-982f-58fa797989c8,d3327995-1dcc-4f1d-b525-13badf0bf540,7aa2b315-d7b5-4328-babc-71975b82c6aa,7500,USD,paid,ch_4136786b3d794bbdadcada,,2025-08-20T15:25:00.934506+00:00,2025-08-20T21:29:00.934506+00:00
b2843dca-49e3-4b6a-8c1c-cc38ae7765fb,d3327995-1dcc-4f1d-b525-13badf0bf540,44f72d04-8a9d-47f9-8add-48ef80f27ced,6000,USD,paid,ch_eacdd3a63c5149cb818649,,2025-07-12T09:25:00.934530+00:00,2025-07-12T17:39:00.934530+00:00
4c789959-279d-439e-9761-031b7b82976e,d3327995-1dcc-4f1d-b525-13badf0bf540,6bf68f3a-e17f-42d3-8949-c6353ed74dcb,1500,USD,paid,ch_1ea791d4fd2449f7bafbfa,,2025-07-27T07:25:00.934553+00:00,2025-07-27T13:48:00.934553+00:00
2ae35596-b025-4958-aa5d-f2805271a21f,d3327995-1dcc-4f1d-b525-13badf0bf540,,500,USD,paid,,,2025-08-28T15:25:00.934570+00:00,2025-08-28T16:46:00.934570+00:00
6f8f9d69-98db-44fb-b2f4-59f374336237,4f54e140-ca65-43f0-8417-5d94bd1d1105,338b2a0b-1866-488a-aae9-64dc4459bcf2,1000,USD,paid,,,2025-07-11T15:25:00.934590+00:00,2025-07-11T22:52:00.934590+00:00
dd5a59d1-f8f0-4e82-8bfb-836b0f164666,4f54e140-ca65-43f0-8417-5d94bd1d1105,36b342cf-d1e9-4a35-94d4-7451c941497c,6000,USD,paid,ch_73cd3a2d2c0a4c7dbcce6d,,2025-07-07T12:25:00.934615+00:00,2025-07-07T18:04:00.934615+00:00
11c877c4-fd23-463b-a39f-5fa26cc9a4f0,4f54e140-ca65-43f0-8417-5d94bd1d1105,e3650461-30dd-4345-bed5-989cbb007420,500,USD,paid,ch_7f278a693d3c4f5cbe161a,"{""source"": ""mobile"", ""promo"": ""FALL25"", ""notes"": """"}",2025-06-25T04:25:00.934640+00:00,2025-06-25T06:30:00.934640+00:00
feda4c46-929a-4703-a5dc-9dacb84f8302,4f54e140-ca65-43f0-8417-5d94bd1d1105,d036b37f-1966-4644-b94b-57465f359ad0,10000,USD,cancelled,,,2025-07-21T15:25:00.934664+00:00,2025-07-21T20:21:00.934664+00:00
eac91671-af7e-4be1-ae4d-1664b0902424,4f54e140-ca65-43f0-8417-5d94bd1d1105,f767100a-1320-427d-bf7c-64191a7b2821,4500,USD,cancelled,,"{""source"": ""web"", ""promo"": """", ""notes"": """"}",2025-06-21T12:25:00.934685+00:00,2025-06-21T15:08:00.934685+00:00
