school_id,name,project_type,status,start_date,end_date,budget,description,attributes
4744f7a3-ccc1-44c2-ab5a-4e52fcb74b6c,Curriculum Project 1,curriculum,active,2024-12-24,2025-03-27,37272.26,Seeded curriculum project for school 4744f7a3-ccc1-44c2-ab5a-4e52fcb74b6c.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 183967}"
4744f7a3-ccc1-44c2-ab5a-4e52fcb74b6c,Other Project 2,other,planned,2025-06-16,,309743.22,Seeded other project for school 4744f7a3-ccc1-44c2-ab5a-4e52fcb74b6c.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 78227}"
afe9f391-76de-459b-ac10-7cd98dbd0c79,Other Project 1,other,active,2024-12-05,2025-03-16,471977.48,Seeded other project for school afe9f391-76de-459b-ac10-7cd98dbd0c79.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 734192}"
afe9f391-76de-459b-ac10-7cd98dbd0c79,Construction Project 2,construction,planned,2025-08-18,2026-01-23,179098.86,Seeded construction project for school afe9f391-76de-459b-ac10-7cd98dbd0c79.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 643228}"
b3f52ac9-b6a8-4cea-ac37-7ff590bd1d62,Curriculum Project 1,curriculum,active,2025-03-11,2025-06-26,265222.12,Seeded curriculum project for school b3f52ac9-b6a8-4cea-ac37-7ff590bd1d62.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 442650}"
b3f52ac9-b6a8-4cea-ac37-7ff590bd1d62,Technology Project 2,technology,completed,2025-06-07,,293801.56,Seeded technology project for school b3f52ac9-b6a8-4cea-ac37-7ff590bd1d62.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 436268}"
baec5f06-0c6a-403c-991a-de9c09b5766a,Curriculum Project 1,curriculum,planned,2024-10-08,,153803.37,Seeded curriculum project for school baec5f06-0c6a-403c-991a-de9c09b5766a.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 249282}"
baec5f06-0c6a-403c-991a-de9c09b5766a,Other Project 2,other,planned,2024-12-21,,77795.14,Seeded other project for school baec5f06-0c6a-403c-991a-de9c09b5766a.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 487527}"
c07dbff4-2aa2-45e1-b241-47c4865588c8,Technology Project 1,technology,completed,2025-07-01,,489217.20,Seeded technology project for school c07dbff4-2aa2-45e1-b241-47c4865588c8.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 332900}"
c07dbff4-2aa2-45e1-b241-47c4865588c8,Technology Project 2,technology,planned,2025-03-27,2025-07-16,420259.89,Seeded technology project for school c07dbff4-2aa2-45e1-b241-47c4865588c8.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 446561}"
e35d4a7a-1588-42d4-8bfc-2d0c27ac806b,Technology Project 1,technology,active,2025-01-06,2025-03-17,51311.31,Seeded technology project for school e35d4a7a-1588-42d4-8bfc-2d0c27ac806b.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 992280}"
e35d4a7a-1588-42d4-8bfc-2d0c27ac806b,Curriculum Project 2,curriculum,active,2025-02-14,,266514.55,Seeded curriculum project for school e35d4a7a-1588-42d4-8bfc-2d0c27ac806b.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 111161}"
fdba18d4-b1e4-4a3b-a8ba-0c68e1b62f58,Other Project 1,other,completed,2025-01-06,,430546.55,Seeded other project for school fdba18d4-b1e4-4a3b-a8ba-0c68e1b62f58.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 147006}"
fdba18d4-b1e4-4a3b-a8ba-0c68e1b62f58,Construction Project 2,construction,planned,2025-08-27,2026-02-16,257313.80,Seeded construction project for school fdba18d4-b1e4-4a3b-a8ba-0c68e1b62f58.,"{""seeded"": true, ""seed_revision"": ""0090_populate_projects"", ""rand"": 742287}"
