organization_id,association_id,title,summary,status,submitted_at,attributes
f25f730d-bcef-4fe6-bd20-bca5816ff755,a9f2fe7c-a0c2-4273-a75f-c4dd879462f5,Seeded Proposal #1 (f25f730d→a9f2fe7c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 1}"
cfc98184-43bb-4312-b4fa-022d236bed9f,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #2 (cfc98184→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 2}"
b101e8ac-d401-4d8a-ba82-11bfeae7fdee,3386d33c-7ebc-4fcb-9313-e9accdb2e17d,Seeded Proposal #3 (b101e8ac→3386d33c),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 3}"
425d3166-c60e-4726-b494-79a9be542262,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #4 (425d3166→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 4}"
657f74b2-b212-4a2d-b62a-4a6f04fef492,efefc206-791b-4b2a-bceb-28d44e3875aa,Seeded Proposal #5 (657f74b2→efefc206),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 5}"
3ed150ff-1e9a-452b-a9a5-635df53d7d4f,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #6 (3ed150ff→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 6}"
9168cac7-46a3-4c76-91c8-42d5f1370ee7,efefc206-791b-4b2a-bceb-28d44e3875aa,Seeded Proposal #7 (9168cac7→efefc206),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 7}"
11659255-c958-479b-9ca9-254ea77971aa,de2c2cbd-818d-40a8-8cca-144689a78911,Seeded Proposal #8 (11659255→de2c2cbd),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 8}"
81c5be6d-0b9e-4711-85da-a698699997f0,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #9 (81c5be6d→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 9}"
9fdcab85-9465-43c9-821c-6015c4627811,8af698c6-9721-4003-a56d-34ad4aeb5521,Seeded Proposal #10 (9fdcab85→8af698c6),Autogenerated by migration 0072_populate_proposals for seeding.,draft,,"{""seed"": ""0072_populate_proposals"", ""row"": 10}"
