state_code,title,category,description,effective_date,reference_url,attributes
AK,Seeded Requirement 1 for AK,Reporting,Seeded requirement row 1 for AK (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
AL,Seeded Requirement 1 for AL,Assessment,Seeded requirement row 1 for AL (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
AR,Seeded Requirement 1 for AR,Curriculum,Seeded requirement row 1 for AR (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
AZ,Seeded Requirement 1 for AZ,Reporting,Seeded requirement row 1 for AZ (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
CA,Seeded Requirement 1 for CA,Reporting,Seeded requirement row 1 for CA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
CO,Seeded Requirement 1 for CO,Reporting,Seeded requirement row 1 for CO (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
CT,Seeded Requirement 1 for CT,General,Seeded requirement row 1 for CT (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
DC,Seeded Requirement 1 for DC,Curriculum,Seeded requirement row 1 for DC (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
DE,Seeded Requirement 1 for DE,Assessment,Seeded requirement row 1 for DE (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
FL,Seeded Requirement 1 for FL,Curriculum,Seeded requirement row 1 for FL (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
GA,Seeded Requirement 1 for GA,General,Seeded requirement row 1 for GA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
HI,Seeded Requirement 1 for HI,Curriculum,Seeded requirement row 1 for HI (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
IA,Seeded Requirement 1 for IA,Reporting,Seeded requirement row 1 for IA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
ID,Seeded Requirement 1 for ID,Assessment,Seeded requirement row 1 for ID (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
IL,Seeded Requirement 1 for IL,General,Seeded requirement row 1 for IL (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
IN,Seeded Requirement 1 for IN,Curriculum,Seeded requirement row 1 for IN (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
KS,Seeded Requirement 1 for KS,General,Seeded requirement row 1 for KS (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
KY,Seeded Requirement 1 for KY,General,Seeded requirement row 1 for KY (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
LA,Seeded Requirement 1 for LA,General,Seeded requirement row 1 for LA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
MA,Seeded Requirement 1 for MA,Assessment,Seeded requirement row 1 for MA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
MD,Seeded Requirement 1 for MD,Reporting,Seeded requirement row 1 for MD (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
ME,Seeded Requirement 1 for ME,Assessment,Seeded requirement row 1 for ME (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
MI,Seeded Requirement 1 for MI,Curriculum,Seeded requirement row 1 for MI (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
MN,Seeded Requirement 1 for MN,General,Seeded requirement row 1 for MN (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
MO,Seeded Requirement 1 for MO,Assessment,Seeded requirement row 1 for MO (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
MS,Seeded Requirement 1 for MS,Reporting,Seeded requirement row 1 for MS (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
MT,Seeded Requirement 1 for MT,General,Seeded requirement row 1 for MT (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
NC,Seeded Requirement 1 for NC,Assessment,Seeded requirement row 1 for NC (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
ND,Seeded Requirement 1 for ND,Curriculum,Seeded requirement row 1 for ND (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
NE,Seeded Requirement 1 for NE,Reporting,Seeded requirement row 1 for NE (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
NH,Seeded Requirement 1 for NH,Assessment,Seeded requirement row 1 for NH (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
NJ,Seeded Requirement 1 for NJ,Assessment,Seeded requirement row 1 for NJ (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
NM,Seeded Requirement 1 for NM,General,Seeded requirement row 1 for NM (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
NV,Seeded Requirement 1 for NV,Curriculum,Seeded requirement row 1 for NV (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
NY,Seeded Requirement 1 for NY,Assessment,Seeded requirement row 1 for NY (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
OH,Seeded Requirement 1 for OH,Assessment,Seeded requirement row 1 for OH (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
OK,Seeded Requirement 1 for OK,Assessment,Seeded requirement row 1 for OK (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
OR,Seeded Requirement 1 for OR,Reporting,Seeded requirement row 1 for OR (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
PA,Seeded Requirement 1 for PA,Assessment,Seeded requirement row 1 for PA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
RI,Seeded Requirement 1 for RI,Assessment,Seeded requirement row 1 for RI (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
SC,Seeded Requirement 1 for SC,Reporting,Seeded requirement row 1 for SC (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
SD,Seeded Requirement 1 for SD,Reporting,Seeded requirement row 1 for SD (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
TN,Seeded Requirement 1 for TN,Reporting,Seeded requirement row 1 for TN (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
TX,Seeded Requirement 1 for TX,Curriculum,Seeded requirement row 1 for TX (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
UT,Seeded Requirement 1 for UT,General,Seeded requirement row 1 for UT (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
VA,Seeded Requirement 1 for VA,Curriculum,Seeded requirement row 1 for VA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
VT,Seeded Requirement 1 for VT,General,Seeded requirement row 1 for VT (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
WA,Seeded Requirement 1 for WA,General,Seeded requirement row 1 for WA (alembic).,,,"{""seeded"": true, ""seed_revision"": ""0083_populate_requirements""}"
