name,description
School Board Member/Trustee,Elected/appointed governance of the district or school; sets policy and oversees superintendent/head.
Board Chair,Leads the governing board; sets agendas and presides over meetings.
Board Vice Chair,Supports/acts in place of the chair as needed.
Board Clerk,Records board actions; manages official records and notices.
Superintendent,Chief executive of a public school district; accountable to the board.
Head of School,Chief executive of an independent/private school.
Deputy Superintendent,Second-in-command over district operations or academics.
Associate Superintendent,"Senior executive over major divisions (e.g., teaching & learning)."
Assistant Superintendent,Executive leader over specific functions or clusters of schools.
Chief of Staff,"Coordinates executive priorities, cabinet operations, and cross-functional initiatives."
Chief Academic Officer,"Leads curriculum, instruction, assessment, and school improvement."
Chief Schools Officer,Oversees school portfolio and principals; drives performance.
Chief Operations Officer,"Oversees non-instructional operations (facilities, transport, nutrition, safety)."
Chief Financial Officer,"Leads finance, budgeting, accounting, and fiscal reporting."
Chief Information Officer,"Leads technology strategy, systems, data, and cybersecurity."
Chief Technology Officer,"Oversees IT infrastructure, networks, endpoints, and platforms."
Chief Human Resources Officer,"Leads talent strategy, employee relations, payroll/benefits, and compliance."
Chief Communications Officer,"Directs communications, media relations, branding, and engagement."
Chief Equity Officer,"Leads equity, diversity, inclusion initiatives and policy."
General Counsel,"Provides legal guidance; manages risk, contracts, and compliance."
Ombudsperson,"Independent, confidential resource for resolving concerns and complaints."
Principal,"School-site leader responsible for instruction, operations, and culture."
Assistant Principal,"Supports principal in instruction, discipline, operations, and staff supervision."
Associate Principal,Senior AP; often leads major school functions.
Vice Principal,Alternative title for assistant/associate principal.
Head of Upper School,Leads upper/secondary division in independent schools.
Head of Middle School,Leads middle division.
Head of Lower School,Leads lower/elementary division.
Dean of Students,"Leads student conduct, attendance, culture, and MTSS supports."
Dean of Academics,"Oversees curriculum, scheduling, grading, and academic quality."
Grade-Level Dean,Oversees a grade’s academic and behavioral support systems.
Director of Residential Life,Oversees dorms/residential programs (boarding schools).
Activities Director,"Leads student activities, clubs, and co-curriculars."
Athletics Director,"Leads athletics programs, compliance, facilities, and scheduling."
Assistant Athletics Director,Supports athletic director with operations and compliance.
Classroom Teacher,"Core instruction in content areas at elementary, middle, or high school."
Elementary Teacher,Self-contained or team-taught elementary grades.
Middle School Teacher,Departmentalized instruction for middle grades.
High School Teacher,Subject-specific instruction at high school level.
Art Teacher,Visual arts instruction and programming.
Music Teacher,General music or performance ensembles.
Band Director,Leads band program and performances.
Choir Director,Leads choral program and performances.
Theater Teacher,Drama instruction and productions.
Physical Education Teacher,"PE instruction; fitness, health, and wellness."
Health Teacher,Health education curriculum.
World Languages Teacher,Foreign/heritage language instruction.
Computer Science Teacher,CS/coding/programming instruction.
CTE Teacher,"Career & Technical Education (pathways, labs, certifications)."
Early Childhood Teacher,Pre-K and early learning instruction.
Reading Interventionist,Targeted literacy interventions and progress monitoring.
Math Interventionist,Targeted math interventions and progress monitoring.
Instructional Coach,Job-embedded coaching on pedagogy and curriculum.
Literacy Coach,Specialized coaching in reading and writing instruction.
Math Coach,Specialized coaching in mathematics instruction.
Mentor Teacher,Supports novice teachers with induction and practice.
Media Specialist,Library/media program; information literacy; collections.
Teacher-Librarian,Certified librarian providing instruction and curation.
Gifted & Talented Teacher,GT/advanced learners instruction and enrichment.
Gifted & Talented Coordinator,"Oversees GT identification, services, and compliance."
English Learner Teacher,EL/ESL/ML services and instruction.
English Learner Coordinator,"Oversees EL program, identification, and compliance."
Title I Teacher,Interventions funded under Title I.
Title I Coordinator,Oversees Title I compliance and services.
Alternative Program Teacher,Instruction in alternative education settings.
Virtual Program Teacher,Instruction in online/virtual programs.
Substitute Teacher,Short-term classroom coverage.
Long-Term Substitute,Extended coverage; curriculum and grading responsibilities.
Teacher Resident,Residency preparation role co-teaching with a mentor.
Student Teacher,Clinical practice under supervision.
Instructional Fellow,Early-career instructional support role.
Director of Special Education,Leads SPED/Exceptional Student Services and compliance (IDEA).
Special Education Teacher,Instruction and services for students with disabilities.
SPED Case Manager,"Coordinates IEPs, services, and progress reporting."
School Psychologist,"Evaluation, counseling, MTSS, and IEP support."
Speech-Language Pathologist,Speech/language therapy and evaluations.
Occupational Therapist,Fine-motor/sensory/ADL supports.
Certified Occupational Therapy Assistant,Supports OT service delivery.
Physical Therapist,Gross-motor/mobility therapy and evaluations.
Physical Therapist Assistant,Supports PT services.
Board Certified Behavior Analyst,"Behavior analysis, plans, and consultation."
Behavior Interventionist,Implements behavior plans and supports.
Vision Specialist,Services for students with visual impairments.
Orientation and Mobility Specialist,Travel/orientation training for visually impaired students.
