school_name,name,capacity,created_at,updated_at
Dallas Center Elementary,Library,72.0,2025-03-11T03:04:32Z,2025-03-26T16:52:32Z
Dallas Center Elementary,Gymnasium,125.0,2025-03-01T10:31:32Z,2025-03-08T11:36:32Z
Dallas Center Elementary,Main Office,9.0,2025-07-16T23:44:32Z,2025-09-06T15:20:32Z
Dallas Center Elementary,Conference Room 395,11.0,2025-04-30T15:54:32Z,2025-06-13T09:45:32Z
Dallas Center Elementary,Main Office,6.0,2024-12-16T16:00:32Z,2025-01-17T22:56:32Z
Dallas Center Elementary,Art Room 239,23.0,2025-02-10T03:14:32Z,2025-02-26T18:41:32Z
Dallas Center Elementary,Computer Lab 92,26.0,2025-02-03T22:39:32Z,2025-02-23T15:33:32Z
Dallas Center Elementary,Auditorium,477.0,2025-03-16T08:15:32Z,2025-04-05T23:30:32Z
Dallas Center Elementary,Conference Room 100,19.0,2024-10-28T06:29:32Z,2024-10-28T07:06:32Z
Dallas Center Elementary,Restroom 293,,2025-04-26T07:56:32Z,2025-04-30T20:33:32Z
Dallas Center Elementary,Conference Room 53,7.0,2025-08-19T10:09:32Z,2025-09-07T08:35:32Z
Dallas Center Elementary,Library,58.0,2025-01-06T10:44:32Z,2025-01-20T05:12:32Z
Dallas Center Elementary,Science Lab 354,26.0,2025-04-04T03:00:32Z,2025-04-19T05:17:32Z
Dallas Center Elementary,Conference Room 85,10.0,2024-09-03T07:52:32Z,2024-09-19T04:20:32Z
Dallas Center Elementary,Science Lab 293,28.0,2025-02-04T08:56:32Z,2025-03-06T02:10:32Z
Dallas Center Elementary,Library,69.0,2025-01-19T18:04:32Z,2025-01-29T19:55:32Z
Dallas Center Elementary,Science Lab 157,23.0,2025-02-27T10:15:32Z,2025-04-13T18:51:32Z
Dallas Center Elementary,Nurse Office,3.0,2024-11-07T08:41:32Z,2024-12-22T16:55:32Z
Dallas Center-Grimes High School,Science Lab 172,27.0,2025-01-30T05:04:32Z,2025-02-15T22:01:32Z
Dallas Center-Grimes High School,Nurse Office,4.0,2025-07-04T13:10:32Z,2025-07-28T22:20:32Z
Dallas Center-Grimes High School,Science Lab 254,22.0,2025-07-02T08:58:32Z,2025-08-17T20:10:32Z
