section_id,day_of_week,period_id,room_id
00b5b053-f99a-4b47-b31e-79df5fe6733e,1,,
00b5b053-f99a-4b47-b31e-79df5fe6733e,2,,
014926a6-2f4f-457c-81a2-61a7b20d7726,2,,
014926a6-2f4f-457c-81a2-61a7b20d7726,3,,
019d7986-22f4-4629-addb-33621ffec005,3,,
019d7986-22f4-4629-addb-33621ffec005,4,,
0622f77f-adb6-41bf-9441-4d492d9e2efd,4,,
0622f77f-adb6-41bf-9441-4d492d9e2efd,5,,
076b03e4-4ef7-434e-b735-8687ef82f954,5,,
076b03e4-4ef7-434e-b735-8687ef82f954,1,,
089bac20-b56b-45e2-866c-192da20b7778,1,,
089bac20-b56b-45e2-866c-192da20b7778,2,,
08de6a28-426d-4d7e-ae47-bd5dc04e32c7,2,,
08de6a28-426d-4d7e-ae47-bd5dc04e32c7,3,,
113c948e-11e7-4d68-bade-df0f5ee888fd,3,,
113c948e-11e7-4d68-bade-df0f5ee888fd,4,,
13859dba-478f-4d6c-9d01-f8791ed496fa,4,,
13859dba-478f-4d6c-9d01-f8791ed496fa,5,,
14ddb136-afaf-42b2-a7ed-98fb73f54a74,5,,
14ddb136-afaf-42b2-a7ed-98fb73f54a74,1,,
15296475-ad31-483e-bea4-501b34d32497,1,,
15296475-ad31-483e-bea4-501b34d32497,2,,
165cb1ef-5fa6-4903-bcb4-7949e3f62736,2,,
165cb1ef-5fa6-4903-bcb4-7949e3f62736,3,,
171e6029-17ba-4dd2-bb99-a499761030a6,3,,
171e6029-17ba-4dd2-bb99-a499761030a6,4,,
19ce8f05-6609-419d-a26d-206ad46f03ab,4,,
19ce8f05-6609-419d-a26d-206ad46f03ab,5,,
1adcd2c6-f32b-4dbc-9ae6-fb9a81a56bf4,5,,
1adcd2c6-f32b-4dbc-9ae6-fb9a81a56bf4,1,,
22f62c98-ad0e-4f74-925a-1e55b672dd6e,1,,
22f62c98-ad0e-4f74-925a-1e55b672dd6e,2,,
23878b03-704d-4352-aafb-be902740f52c,2,,
23878b03-704d-4352-aafb-be902740f52c,3,,
330f1e71-9f99-4d4e-a26f-780e6104f7d2,3,,
330f1e71-9f99-4d4e-a26f-780e6104f7d2,4,,
3a41933e-b6b4-4db5-8aba-f06d4164086a,4,,
3a41933e-b6b4-4db5-8aba-f06d4164086a,5,,
3acd7236-1763-4fca-b973-a71e20ac600c,5,,
3acd7236-1763-4fca-b973-a71e20ac600c,1,,
40413748-cc44-4986-bf93-f21a1e5e957c,1,,
40413748-cc44-4986-bf93-f21a1e5e957c,2,,
42fd57de-59ea-4d19-a6b9-9c3693695817,2,,
42fd57de-59ea-4d19-a6b9-9c3693695817,3,,
45550706-1151-46e7-acb6-8190d4976cdf,3,,
45550706-1151-46e7-acb6-8190d4976cdf,4,,
46e5e9d7-43a8-4cb0-943b-94457ba4961d,4,,
