id,event_id,name,price_cents,quantity_total,quantity_sold,sales_starts_at,sales_ends_at,attributes,created_at,updated_at
63a0833e-d350-4e80-8543-c590eb427cfb,18a5ed70-d7bb-4d98-84c8-20feb05b612e,VIP,3000,224,153,2025-09-06T08:40:24.453585+00:00,2025-09-14T15:40:24.453585+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
4dbfdfad-899a-4557-9239-23e85b08b279,18a5ed70-d7bb-4d98-84c8-20feb05b612e,General Admission,5000,472,414,2025-09-05T14:40:24.453585+00:00,2025-09-14T02:40:24.453585+00:00,"{""color"": ""purple"", ""transferable"": false, ""notes"": ""Limited availability""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
246e4846-a833-46ff-89cc-1c23d9942b5e,368be43d-ead6-4256-ac6b-89a56937665c,General Admission,0,416,47,2025-08-20T22:38:24.453678+00:00,2025-10-04T21:38:24.453678+00:00,"{""color"": ""red"", ""transferable"": false, ""notes"": ""Includes merch""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
6f1f7298-2545-4306-8f2e-6b411bd0addf,368be43d-ead6-4256-ac6b-89a56937665c,Staff,500,150,101,2025-08-21T06:38:24.453678+00:00,2025-10-04T06:38:24.453678+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
b15f0244-71f4-4a3a-8911-936c8114b4e9,368be43d-ead6-4256-ac6b-89a56937665c,Premium,1500,209,26,2025-08-21T10:38:24.453678+00:00,2025-10-03T21:38:24.453678+00:00,"{""color"": ""green"", ""transferable"": false, ""notes"": ""Includes merch""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
6fcb3d81-6e68-49db-b4e0-638dba63b833,ff0c3a12-dfe8-4546-ac80-29d006ae7e15,General Admission,1000,403,73,2025-11-10T23:28:24.453730+00:00,2025-12-20T16:28:24.453730+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
f5d4f2dc-3123-443d-bbe5-ac0c1cd798fc,ff0c3a12-dfe8-4546-ac80-29d006ae7e15,Late Entry,1000,199,107,2025-11-10T11:28:24.453730+00:00,2025-12-20T16:28:24.453730+00:00,"{""color"": ""red"", ""transferable"": false, ""notes"": """"}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
d5eff71e-dc3e-48a1-af39-b4d87d33d3b5,5bb7471f-ac69-4989-ac36-81566b4e3866,Family,1500,64,43,2025-11-26T19:08:24.453764+00:00,2025-12-29T06:08:24.453764+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
5ed79005-a7ad-4b6d-adc2-b608b8ef3c1d,5bb7471f-ac69-4989-ac36-81566b4e3866,Student,1000,195,168,2025-11-26T21:08:24.453764+00:00,2025-12-29T05:08:24.453764+00:00,"{""color"": ""purple"", ""transferable"": false, ""notes"": ""Non-refundable""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
bb2b6f03-c68d-479e-b836-a90b11cd08ad,5bb7471f-ac69-4989-ac36-81566b4e3866,Premium,2000,135,105,2025-11-26T23:08:24.453764+00:00,2025-12-29T19:08:24.453764+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
e59d1de6-e513-43a7-8e20-14fd5eb59f91,c25be91c-8dc1-4eb8-81ec-cfa6a6ec47c5,Late Entry,2000,461,83,2025-09-19T00:52:24.453807+00:00,2025-10-30T00:52:24.453807+00:00,"{""color"": ""orange"", ""transferable"": false, ""notes"": ""Includes merch""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
b174c046-485d-45a0-823d-c3af05b4c5fb,c25be91c-8dc1-4eb8-81ec-cfa6a6ec47c5,Staff,1000,144,29,2025-09-18T21:52:24.453807+00:00,2025-10-30T05:52:24.453807+00:00,"{""color"": ""red"", ""transferable"": true, ""notes"": ""Includes merch""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
b0ce160c-9a75-4d2c-83c2-dd808b0f637d,c25be91c-8dc1-4eb8-81ec-cfa6a6ec47c5,Premium,500,464,55,2025-09-18T15:52:24.453807+00:00,2025-10-29T22:52:24.453807+00:00,"{""color"": ""purple"", ""transferable"": true, ""notes"": ""Includes merch""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
efd7fd92-0d04-48ca-962f-4f99d92b1cab,a356b79c-a1ab-4a71-a5b0-d3a5dff8469f,Staff,1500,276,216,2025-11-15T06:08:24.453837+00:00,2025-12-29T06:08:24.453837+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
24904cdd-d056-4155-8781-8b83e09854f7,a356b79c-a1ab-4a71-a5b0-d3a5dff8469f,Early Bird,4000,100,25,2025-11-14T18:08:24.453837+00:00,2025-12-29T02:08:24.453837+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
b3de6ca6-9997-44fb-9e17-095fdfe57731,ad96a18d-033d-4bf7-be64-34b24e049ed0,Staff,5000,284,275,2025-08-03T13:56:24.453880+00:00,2025-08-31T21:56:24.453880+00:00,,2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
4289f160-5c8e-4344-b24c-781ab11f29f5,ad96a18d-033d-4bf7-be64-34b24e049ed0,Late Entry,4000,68,38,2025-08-03T17:56:24.453880+00:00,2025-08-31T06:56:24.453880+00:00,"{""color"": ""purple"", ""transferable"": false, ""notes"": ""Non-refundable""}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
0c7bba4d-50ca-4670-9f9e-b8becb5185a8,82b2b5b4-b155-4aee-973d-9413641360d0,Family,0,237,149,2025-09-02T07:40:24.453922+00:00,2025-10-13T13:40:24.453922+00:00,"{""color"": ""purple"", ""transferable"": false, ""notes"": """"}",2025-09-05T17:34:25.277100+00:00,2025-09-05T17:34:25.277100+00:00
