table_schema,table_name
public,academic_terms
public,accommodations
public,activities
public,addresses
public,agenda_item_approvals
public,agenda_item_files
public,agenda_items
public,agenda_workflow_steps
public,agenda_workflows
public,alembic_version
public,alignments
public,ap_vendors
public,approvals
public,asset_parts
public,assets
public,assignment_categories
public,assignments
public,attendance
public,attendance_codes
public,attendance_daily_summary
public,attendance_events
public,audit_logs
public,behavior_codes
public,behavior_interventions
public,bell_schedules
public,buildings
public,bus_routes
public,bus_stop_times
public,bus_stops
public,calendar_days
public,calendars
public,channels
public,cic_agenda_items
public,cic_committees
public,cic_meeting_documents
public,cic_meetings
public,cic_memberships
public,cic_motions
public,cic_proposal_documents
public,cic_proposal_reviews
public,cic_proposals
public,cic_publications
public,cic_resolutions
public,cic_votes
public,class_ranks
public,comm_search_index
public,compliance_records
public,consents
public,consequence_types
public,consequences
public,contacts
public,course_prerequisites
public,course_sections
public,courses
public,curricula
public,curriculum_units
public,curriculum_versions
public,data_quality_issues
public,data_sharing_agreements
public,deduction_codes
public,deliveries
public,department_position_index
public,departments
public,document_activity
public,document_links
public,document_notifications
public,document_permissions
public,document_search_index
public,document_versions
public,documents
public,earning_codes
public,education_associations
public,ell_plans
public,embeds
public,emergency_contacts
public,employee_deductions
public,employee_earnings
public,entity_tags
public,evaluation_assignments
public,evaluation_cycles
public,evaluation_files
public,evaluation_questions
public,evaluation_reports
public,evaluation_responses
public,evaluation_sections
public,evaluation_signoffs
public,evaluation_templates
public,events
public,export_runs
public,external_ids
public,facilities
public,family_portal_access
public,feature_flags
public,fees
public,files
public,final_grades
public,fiscal_periods
public,fiscal_years
public,floors
public,folders
public,frameworks
public,gl_account_balances
public,gl_account_segments
public,gl_accounts
public,gl_segment_values
public,gl_segments
public,goals
public,google_accounts
public,governing_bodies
public,gpa_calculations
public,grade_levels
public,grade_scale_bands
public,grade_scales
public,gradebook_entries
public,grading_periods
public,guardians
public,health_profiles
public,hr_employees
public,hr_position_assignments
public,hr_positions
public,iep_plans
public,immunization_records
public,immunizations
public,incident_participants
public,incidents
public,initiatives
public,invoices
public,journal_batches
public,journal_entries
public,journal_entry_lines
public,kpi_datapoints
public,kpis
public,leases
public,library_checkouts
public,library_fines
public,library_holds
public,library_items
public,maintenance_requests
public,meal_accounts
public,meal_eligibility_statuses
public,meal_transactions
public,medication_administrations
public,medications
public,meeting_files
public,meeting_permissions
public,meeting_publications
public,meeting_search_index
public,meetings
public,message_recipients
public,messages
public,meters
public,minutes
public,motions
public,move_orders
public,notifications
public,nurse_visits
public,objectives
public,order_line_items
public,orders
public,organizations
public,pages
public,part_locations
public,parts
public,pay_periods
public,paychecks
public,payments
public,payroll_runs
public,periods
public,permissions
public,person_addresses
public,person_contacts
public,personal_notes
public,persons
public,plan_alignments
public,plan_assignments
public,plan_filters
public,plan_search_index
public,plans
public,pm_plans
public,pm_work_generators
public,policies
public,policy_approvals
public,policy_comments
public,policy_files
public,policy_legal_refs
public,policy_publications
public,policy_search_index
public,policy_versions
public,policy_workflow_steps
public,policy_workflows
public,post_attachments
public,posts
public,project_tasks
public,projects
public,proposal_standard_map
public,proposals
public,report_cards
public,requirements
public,retention_rules
public,review_requests
public,review_rounds
public,reviewers
public,reviews
public,role_permissions
public,roles
public,rooms
public,round_decisions
public,scan_requests
public,scan_results
public,schools
public,scorecard_kpis
public,scorecards
public,section504_plans
public,section_meetings
public,section_room_assignments
public,sis_import_jobs
public,space_reservations
public,spaces
public,special_education_cases
public,staff
public,standardized_tests
public,standards
public,state_reporting_snapshots
public,states
public,student_guardians
public,student_program_enrollments
public,student_school_enrollments
public,student_section_enrollments
public,student_transportation_assignments
public,students
public,subjects
public,subscriptions
public,tags
public,teacher_section_assignments
public,test_administrations
public,test_results
public,ticket_scans
public,ticket_types
public,tickets
public,transcript_lines
public,unit_standard_map
public,user_accounts
public,users
public,vendors
public,votes
public,waivers
public,warranties
public,webhooks
public,work_order_parts
public,work_order_tasks
public,work_order_time_logs
public,work_orders
